time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/n_updates
23,2901,0.93255175,10,289.1,-19.089067280973516,,
45,5661,0.86838175,20,282.05,-17.775854887943062,,
70,8661,0.7986317499999999,30,287.7,-20.90883864783934,,
99,11554,0.7313695000000001,40,287.85,-20.122260765238263,0.00960515239421511,776
130,14161,0.67075675,50,282.22,-19.161215541225133,0.00038954923365963623,2080
164,17027,0.6041222500000003,60,282.78333333333336,-19.09449194059579,0.0007626899750903249,3512
198,19832,0.5389059999999999,70,282.3142857142857,-18.690594202108986,0.0016064979718066752,4912
234,22784,0.4702719999999999,80,283.8,-18.904109185602053,0.010345954986405559,6384
270,25692,0.40266099999999994,90,284.46666666666664,-18.90515137656356,0.0035810628833132796,7840
307,28692,0.33291099999999985,100,285.92,-19.014096135663227,0.01323143840272678,9344
344,31692,0.263161,110,286.91,-19.003127438767375,0.0014733821226400323,10840
382,34692,0.19341100000000044,120,289.31,-19.319638116129887,0.0013659379837918095,12344
420,37692,0.12366100000000035,130,289.31,-18.522617703448923,0.0025274652070947923,13840
455,40436,0.07,140,287.82,-18.494953367565625,0.010951247299090028,15216
494,43436,0.07,150,291.75,-19.092721937466653,0.0018468881025910378,16712
527,46025,0.07,160,288.98,-18.905168543546083,0.001719243184197694,18008
563,48765,0.07,170,288.33,-19.0902016566977,0.0017918478188221343,19376
601,51765,0.07,180,288.81,-19.502094851967392,0.0015463924100913573,20880
641,54765,0.07,190,289.73,-19.73761473751903,0.0017204774667334277,22376
675,57302,0.07,200,285.1,-19.311618573869943,0.012651347278733738,23648
710,60052,0.07,210,282.6,-19.463966555927712,0.014142569758405443,25024
748,63052,0.07,220,282.6,-19.348261287370704,0.0015943456892273389,26520
784,65839,0.07,230,280.47,-19.226297888377697,0.014280413699452765,27912
819,68590,0.07,240,280.54,-19.07138607570347,0.002475616325682495,29288
858,71590,0.07,250,280.54,-18.949125458065108,0.013023595824051881,30792
896,74590,0.07,260,284.65,-19.34351960215493,0.0020059627349837683,32288
934,77590,0.07,270,287.25,-19.61341250546829,0.007189127325545996,33792
969,80394,0.07,280,285.29,-19.403973330608224,0.00533994040597463,35192
1007,83394,0.07,290,285.29,-19.588000845123503,0.005006199840863701,36696
1044,86356,0.07,300,289.54,-19.973313213068227,0.008608467120211571,38176
1082,89356,0.07,310,292.04,-19.873334849674453,0.001569979554915335,39672
1120,92356,0.07,320,292.04,-19.951525533596,0.01643948177661514,41176
1155,95093,0.07,330,291.54,-20.261905504416756,0.002877925959182903,42544
1191,97927,0.07,340,292.37,-20.82476458056507,0.0026016359333880246,43960
1228,100927,0.07,350,292.37,-20.737820570336336,0.020292772256652825,45456
1265,103927,0.07,360,292.37,-20.896028719271154,0.042509688399150036,46960
1302,106927,0.07,370,292.37,-21.068949576297296,0.01310550083144335,48456
1339,109927,0.07,380,294.33,-21.04945280893135,0.006680678663542494,49960
1374,112767,0.07,390,292.73,-20.800555289838734,0.03937611046421807,51376
1411,115767,0.07,400,293.11,-20.980514420745376,0.011663416073133703,52880
1448,118767,0.07,410,293.11,-21.20035478064603,0.029047586242086254,54376
1483,121584,0.07,420,291.28,-21.01733417671803,0.01249102578003658,55784
1520,124584,0.07,430,293.91,-21.054388263599666,0.003238544857595116,57288
1557,127584,0.07,440,295.57,-20.89862859296576,0.0017349822810501792,58784
1593,130395,0.07,450,293.68,-20.674978806212412,0.0032620860802126117,60192
1630,133395,0.07,460,293.68,-20.322725771552197,0.0026417873305035755,61696
1668,136395,0.07,470,293.68,-19.892159107155987,0.014770949928788468,63192
1706,139395,0.07,480,293.68,-19.515716309003537,0.001925114389450755,64696
1738,141927,0.07,490,290.6,-19.092079279273396,0.009136397748079617,65960
1776,144927,0.07,500,290.6,-18.994387924731953,0.0061952350588398986,67456
1809,147590,0.07,510,287.23,-18.306725103370912,0.014154649201373104,68792
1847,150590,0.07,520,289.06,-18.619626552371255,0.011746626725653186,70288
1885,153577,0.07,530,288.93,-18.20742837755287,0.014116774538706522,71784
1923,156577,0.07,540,288.93,-18.175856329118545,0.020338355265266728,73288
1961,159577,0.07,550,290.82,-18.70048542363206,0.009105630539124832,74784
1999,162577,0.07,560,290.82,-19.02976652827245,0.013368580155656673,76288
2037,165577,0.07,570,290.82,-19.328912001430616,0.0042990092624677345,77784
2076,168577,0.07,580,290.82,-19.707160567964014,0.0037225038395263255,79288
2114,171577,0.07,590,295.5,-20.129400405727214,0.0028003352490486577,80784
2151,174444,0.07,600,294.17,-19.974978925822423,0.002888954244554043,82216
2190,177444,0.07,610,297.54,-20.636817263302884,0.0030713386368006468,83720
2229,180444,0.07,620,297.54,-20.930342213136587,0.002190712999436073,85216
2267,183444,0.07,630,297.67,-21.007890393195,0.016636160224152263,86720
2303,186194,0.07,640,295.17,-21.0895354582971,0.002762583906587679,88096
2342,189194,0.07,650,295.17,-21.219358367799128,0.0018732841199380346,89592
2380,192194,0.07,660,295.17,-21.15971250086609,0.0017915272765094414,91096
2416,194977,0.07,670,293.0,-20.906814497825454,0.0021304329129634425,92488
2455,197977,0.07,680,293.0,-20.807575055123813,0.00274217312107794,93984
