time/episodes,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/n_updates
10,3000,0.9302499999999999,16,299.0,-22.53803857564646,,
20,5960,0.8614299999999998,29,297.0,-19.359034932911122,,
30,8960,0.7916800000000003,44,297.6666666666667,-19.67447852920047,,
40,11901,0.7233017499999999,62,296.525,-19.33549956715497,0.0002309306200913852,944
50,14901,0.6535517499999999,84,297.02,-19.43400237125129,0.0004728805033664685,2448
60,17735,0.5876612499999998,105,294.5833333333333,-19.296110087717796,0.0006328577073873021,3864
70,20322,0.5275135000000002,125,289.3142857142857,-19.23762118804287,0.0008222573997045401,5160
80,23080,0.4633900000000003,146,287.5,-18.899096607525017,0.0011617227792157792,6536
90,25886,0.3981505000000004,167,286.6222222222222,-18.247221596429203,0.001025090808980167,7936
100,28592,0.3352360000000001,189,284.92,-17.654907475851886,0.0011788446354330517,9288
110,31592,0.2654860000000002,212,284.92,-16.785259419857063,0.012201534293126315,10792
120,34509,0.1976657500000003,234,284.49,-16.589394100238284,0.011630006112682167,12248
130,37398,0.13049650000000013,256,283.38,-15.702220112163314,0.0016257051902357489,13696
140,40398,0.07,280,283.97,-15.50512814646339,0.0015345659921877086,15192
150,43253,0.07,302,282.52,-14.922941494909061,0.003041183445020579,16624
160,46043,0.07,323,282.08,-14.408411722766083,0.011155722073453944,18016
170,48626,0.07,343,282.04,-13.723207306253153,0.0012799183969036676,19312
180,51374,0.07,364,281.94,-13.332722447036879,0.0020051562205480877,20680
190,53909,0.07,384,279.23,-13.231653333909044,0.010353401965403464,21952
200,56375,0.07,403,276.83,-13.153929699755224,0.0013957792689325288,23184
210,58770,0.07,422,270.78,-12.712633339842036,0.01374122758716112,24384
220,61245,0.07,441,266.36,-12.544308176449208,0.01557684022191097,25616
230,64245,0.07,465,267.47,-12.957119846279317,0.012084680514817592,27120
240,66423,0.07,482,259.25,-12.245246710484981,0.0018665433126443531,28208
250,69255,0.07,504,259.02,-12.174938093317476,0.011752080074074911,29624
260,71809,0.07,524,256.66,-12.080154861157482,0.0020064293712493964,30904
270,74603,0.07,545,258.77,-12.325865544884559,0.011107732367236167,32296
280,77224,0.07,566,257.5,-12.378465696619896,0.015669667165639112,33608
290,79963,0.07,587,259.54,-12.357676935894325,0.003995806924649514,34976
300,82568,0.07,607,260.93,-12.399745318948739,0.0035670913421199657,36280
310,84994,0.07,626,261.24,-12.64573180220629,0.010633377019985346,37496
320,87319,0.07,644,259.74,-12.353141890047628,0.02854035583732184,38656
330,89792,0.07,664,254.47,-12.127487074256857,0.008969596558017656,39888
340,92003,0.07,682,254.8,-12.357029688904468,0.01176556331847678,41000
350,94514,0.07,701,251.59,-12.113602365260892,0.005855718314705882,42256
360,97030,0.07,721,251.21,-12.017945701965928,0.006378202000632882,43512
370,99200,0.07,738,244.97,-11.61653015924639,0.00477419733942952,44592
380,102023,0.07,760,246.99,-11.69173405045108,0.003386177748325281,46008
390,104675,0.07,782,246.12,-11.710621150525682,0.003892071603331715,47336
400,106990,0.07,800,243.22,-11.600879605698147,0.008361436550330836,48488
410,109845,0.07,823,247.51,-11.813765876035308,0.04101560330673237,49920
420,112310,0.07,1450,248.91,-12.079510960841162,0.028400937142578186,51152
430,115032,0.07,1469,251.4,-11.963568570799852,0.010941194959741551,52512
440,117154,0.07,1482,250.51,-11.73614693160875,0.032866795401787385,53576
450,119647,0.07,1500,250.33,-11.964768424282974,0.007118857374734944,54816
460,122021,0.07,1518,248.91,-12.17658917541246,0.03147950747734285,56008
470,124571,0.07,1536,252.71,-12.410536371103763,0.01713750750059262,57280
480,126947,0.07,1554,248.24,-12.343552712569657,0.022854405819089152,58472
490,129513,0.07,1574,247.38,-12.550863012448483,0.007275792140717385,59752
500,132126,0.07,1594,250.36,-12.608547775568956,0.03677551733562723,61056
510,134508,0.07,1611,245.63,-12.293956370974513,0.05241665695939446,62248
520,136670,0.07,1627,242.6,-12.127176314263853,0.012948563395184465,63328
530,139283,0.07,1647,241.51,-12.316461183636054,0.047650894965045154,64640
540,141608,0.07,1666,243.54,-12.43070671076268,0.03552902246883605,65800
550,143998,0.07,1683,242.51,-12.2690414156617,0.03639937163097784,66992
560,146204,0.07,1700,240.83,-12.102074183485824,0.05604170431615785,68096
570,148552,0.07,1718,238.81,-11.887779744717362,0.019994115260487888,69272
580,151067,0.07,1738,240.2,-12.045454885301604,0.02266974712256342,70528
590,153727,0.07,1762,241.14,-12.134144166531874,0.053851278498768806,71856
600,156460,0.07,1791,242.34,-12.641383309770108,0.03280276613077149,73224
610,158616,0.07,1808,240.08,-12.638814347824159,0.04011100064963102,74304
620,161135,0.07,1828,243.65,-12.666680981122926,0.020085557553102262,75560
630,163288,0.07,1845,239.05,-12.279622474232308,0.03195993095141603,76640
640,166118,0.07,1867,244.1,-12.532246781499218,0.036892864358378574,78056
650,168575,0.07,1885,244.77,-12.630713617734077,0.057584616472013295,79280
660,171402,0.07,1907,250.98,-12.798924384379147,0.045344081256189384,80696
670,173595,0.07,1923,249.43,-12.815880466256193,0.03636596775322687,81792
680,176050,0.07,1942,248.83,-12.458884401477901,0.05812435375992209,83024
690,178526,0.07,1960,246.99,-11.996203310823068,0.055337806028546765,84256
700,181277,0.07,1980,247.17,-11.631199472654307,0.037339635367970914,85632
710,183415,0.07,1996,246.99,-11.797734275045642,0.03873576944170054,86704
720,186230,0.07,2016,249.95,-11.8436029412231,0.061471003078622743,88112
730,188666,0.07,2033,252.78,-11.979479671590612,0.051371279085287824,89328
740,190846,0.07,2049,246.28,-11.850892491549013,0.029683704109629616,90416
750,193394,0.07,2068,247.19,-11.725301201732725,0.03264637071697507,91696
760,195677,0.07,2084,241.75,-11.425062422382698,0.05222687267814763,92832
770,198084,0.07,2102,243.89,-11.372915659390253,0.016094173508463427,94040
