rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
299.0,10,15,-18.838110484712303,0.9302499999999999,3000,,
295.35,20,29,-17.995420889396975,0.8621972500000001,5927,,
296.56666666666666,30,44,-18.329613041622093,0.7924472500000002,8927,,
292.85,40,61,-18.55265622011913,0.7267195000000001,11754,872,0.0002631981642480241
294.08,50,82,-18.87780795558141,0.6569695,14754,2376,0.0004382162915135268
294.9,60,104,-18.979796676422765,0.5872195,17754,3872,0.01003463280358119
295.48571428571427,70,126,-18.788252539584356,0.5174694999999999,20754,5376,0.0011118274560431018
289.3,80,147,-18.41596856403058,0.46004200000000006,23224,6608,0.001262553323613247
288.6,90,172,-18.063157245629732,0.39401200000000014,26064,8024,0.021038164806668647
289.64,100,198,-17.71854145171607,0.32426200000000005,29064,9528,0.0018000664422288537
289.64,110,225,-17.27081662400101,0.25451200000000007,32064,11024,0.001576930306327995
288.55,120,251,-17.09739166935088,0.18899350000000037,34882,12440,0.0016765759064583108
286.08,130,275,-16.44713288501848,0.1249862500000003,37635,13816,0.0013017885794397444
287.81,140,334,-15.930930530840929,0.07,40635,15312,0.001406002564181108
285.44,150,381,-15.234666811547935,0.07,43398,16696,0.0018415145095787011
282.41,160,425,-14.621126748167494,0.07,46095,18040,0.001404813265253324
282.41,170,481,-14.232225552440239,0.07,49095,19544,0.0012950812160852365
285.84,180,521,-14.070546284232314,0.07,51908,20952,0.02013316766897333
282.02,190,568,-13.744469077991582,0.07,54366,22176,0.0009522260079393163
281.75,200,627,-13.764072866423259,0.07,57339,23664,0.0013102505399729125
281.34,210,688,-13.468576483403119,0.07,60298,25144,0.0006553995335707441
280.26,220,749,-13.257884557490724,0.07,63008,26496,0.011577478060644353
275.18,230,796,-13.16630337741693,0.07,65253,27624,0.023824068615795113
268.88,240,848,-12.975956324302146,0.07,67623,28808,0.0014793393638683483
258.81,250,888,-12.381432574325766,0.07,69379,29688,0.0013284744782140478
260.1,260,952,-12.609839209849163,0.07,72205,31096,0.0008609125980001409
256.82,270,991,-12.621803972872979,0.07,74877,32432,0.00223349139560014
258.44,280,1014,-12.3631769044758,0.07,77852,33920,0.00910216297779698
263.86,290,1036,-12.740429813314222,0.07,80852,35424,0.013414519868092611
261.17,300,1056,-12.70909092167401,0.07,83556,36776,0.020571967608702835
258.98,310,1076,-12.689996174767579,0.07,86296,38144,0.02741136989061488
260.86,320,1098,-12.789486485167707,0.07,89194,39592,0.0010177799849770963
266.97,330,1119,-12.856801281786975,0.07,92050,41024,0.0030899602170393337
267.09,340,1136,-12.749395568893462,0.07,94432,42208,0.012476989588321885
276.2,350,1156,-13.135879119917918,0.07,97099,43544,0.026579941291856812
271.72,360,1174,-12.46786671606028,0.07,99477,44736,0.014869344660837669
