rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates
299.0,0.9302499999999999,3000,14,-23.316728949865457,10,,
294.65,0.8625227500000002,5913,28,-21.49801585407912,20,,
296.1,0.7927727500000001,8913,42,-21.65704912760949,30,,
293.275,0.72632425,11771,60,-20.907101191155554,40,0.0002649402595125139,880
294.42,0.65657425,14771,79,-20.4831382568002,50,0.0005076779452792834,2384
295.18333333333334,0.58682425,17771,99,-20.01376928524342,60,0.010364983922045212,3880
295.72857142857146,0.5170742499999998,20771,119,-19.711619849022828,70,0.0014981359126977623,5384
296.1375,0.44732424999999987,23771,140,-19.541532730536176,80,0.0008626915150671266,6880
296.4555555555556,0.3775742499999998,26771,162,-19.51125063954141,90,0.0020721324181067757,8384
295.35,0.31098625000000035,29635,183,-19.148867679791305,100,0.011708190293575171,9816
290.72,0.25200100000000003,32172,201,-18.13752158009458,110,0.023602294379088562,11080
288.43,0.18959800000000016,34856,221,-17.420223635966714,120,0.0013611141621368006,12424
286.31,0.1247769999999998,37644,242,-16.649039446121584,130,0.0017667106440057978,13816
283.41,0.07,40212,261,-16.093730879084045,140,0.001452793352655135,15104
280.09,0.07,42880,281,-15.520663690816031,150,0.0016785208717919886,16432
272.25,0.07,45096,298,-15.012269443798807,160,0.0026501617758185603,17544
269.86,0.07,47857,319,-14.602043565152023,170,0.0020187436748528853,18928
264.21,0.07,50292,336,-14.080879684982284,180,0.0020774780477950117,20144
256.89,0.07,52560,352,-13.264948330957374,190,0.00284318517515203,21272
254.75,0.07,55210,371,-12.976471429339702,200,0.0020502026745816693,22600
251.97,0.07,57469,388,-12.8285112337584,210,0.0024323569232365116,23728
252.43,0.07,60199,408,-12.815930840377302,220,0.0019641894214146305,25096
249.28,0.07,62672,426,-12.446926926878422,230,0.014248775623855181,26328
244.96,0.07,64808,442,-11.935418444085801,240,0.0037140189961064607,27400
242.55,0.07,67235,460,-11.96137293453083,250,0.002708166044612881,28616
247.96,0.07,69992,480,-12.220004938572266,260,0.014313771462184377,29992
244.52,0.07,72409,497,-12.014669750826851,270,0.0031844720942899585,31200
235.8,0.07,73972,509,-11.331325407810661,280,0.0135323403737857,31984
234.07,0.07,76067,524,-11.148390852783093,290,0.0023206533151096664,33032
234.94,0.07,78804,544,-11.373452842503413,300,0.033904068171978,34400
237.28,0.07,81297,563,-11.627641433602196,310,0.014608515695726965,35648
233.6,0.07,83659,580,-11.389809066809098,320,0.012217270792461932,36824
237.84,0.07,86556,602,-11.892241974859115,330,0.015187324403086677,38272
243.98,0.07,89306,623,-12.651873813202123,340,0.005419223100034287,39648
245.54,0.07,91889,642,-12.366599184044647,350,0.002005369147809688,40944
236.8,0.07,93772,657,-11.785082283534548,360,0.007014262359007262,41880
240.09,0.07,96518,678,-11.831173488626062,370,0.027174125774763525,43256
249.91,0.07,99063,696,-12.648141753031172,380,0.004097754746908322,44528
257.09,0.07,101876,717,-12.945971125337449,390,0.021269670221954584,45936
