time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
10,-21.28188665194277,19,3000,299.0,0.9302499999999999,,
20,-21.384524017827914,38,6000,299.0,0.8604999999999999,,
30,-21.513004109661903,57,9000,299.0,0.7907499999999998,,
40,-21.33281647528107,79,12000,299.0,0.7209999999999999,992,0.0002514299158065114
50,-21.26968389845792,102,15000,299.0,0.6512500000000003,2496,0.00027040441091230605
60,-20.20636255587932,122,17539,291.31666666666666,0.5922182500000002,3768,0.000941782785957912
70,-19.80403813883679,145,20483,291.6142857142857,0.5237702499999999,5240,0.0010270428247167729
80,-18.720838683490463,165,23129,288.1125,0.46225075000000004,6560,0.0013191132820793428
90,-18.146375118947542,188,26129,289.3222222222222,0.39250074999999995,8064,0.0015339148230850697
100,-17.332810714564502,205,28486,283.86,0.33770049999999985,9240,0.0021956400014460087
110,-16.587968398501673,228,31486,283.86,0.2679505000000003,10736,0.0022977729531703517
120,-15.808469983730815,250,34486,283.86,0.19820050000000022,12240,0.0012578089736052789
130,-14.984468369397671,271,37306,282.06,0.13263550000000024,13648,0.0013843489068676718
140,-14.340398907987142,293,40306,282.06,0.07,15152,0.011359800402715337
150,-13.582099341319303,315,43306,282.06,0.07,16648,0.013005000131670386
160,-13.539533456491702,336,46181,285.42,0.07,18088,0.0013315170581336133
170,-13.094674547005548,356,48910,283.27,0.07,19448,0.0013465539304888807
180,-13.537428207521806,377,51785,285.56,0.07,20888,0.002200356226239819
190,-13.51967070531623,397,54513,282.84,0.07,22256,0.0013851865041942801
200,-13.8351355753521,419,57513,289.27,0.07,23752,0.012696952151600271
210,-13.549056904136735,436,59795,282.09,0.07,24896,0.002118450833222596
220,-13.094713824565956,453,62085,274.99,0.07,26040,0.013658763218700187
230,-13.000554885684439,472,64691,272.85,0.07,27344,0.0023618337654625066
240,-12.685753366601643,490,67209,268.03,0.07,28600,0.002091644459142117
250,-12.68784958435382,511,69947,265.41,0.07,29968,0.003991485180449672
260,-12.58396959454078,533,72947,266.66,0.07,31472,0.014429643069888698
270,-12.625192686962416,554,75823,268.13,0.07,32904,0.003470209499937482
280,-12.418916575260386,573,78457,265.72,0.07,34224,0.0027668580296449363
290,-12.457267672710184,594,81303,266.9,0.07,35648,0.004378417561383685
300,-12.786552456314578,616,84303,266.9,0.07,37144,0.005308043608238222
310,-12.761563451964061,636,86957,270.62,0.07,38472,0.014590456390578765
320,-13.40781896069665,658,89935,277.5,0.07,39960,0.011745287138182903
330,-13.499131793501647,677,92511,277.2,0.07,41248,0.003641002345830202
340,-13.280016885059078,691,94408,270.99,0.07,42200,0.010934258869383484
350,-13.282727416954744,710,96870,268.23,0.07,43432,0.004120222736673895
360,-13.015897959836515,726,99136,260.89,0.07,44560,0.018828260457667056
370,-12.93104849511122,748,101946,260.23,0.07,45968,0.001866961993073346
380,-12.925281065043709,769,104778,262.21,0.07,47384,0.0010882978822337463
390,-12.84947644809253,788,107314,259.11,0.07,48656,0.0136637001123745
400,-12.349985524608506,807,109949,255.46,0.07,49968,0.01126844274403993
410,-12.677964447570984,827,112623,255.66,0.07,51304,0.01617987211284344
420,-12.15554510174074,844,114927,248.92,0.07,52456,0.023116211545129772
430,-12.191491822419017,864,117665,250.54,0.07,53832,0.029355804319493473
440,-12.537032088184054,883,120215,257.07,0.07,55104,0.010860525973839685
450,-12.368417474294231,904,123071,261.01,0.07,56528,0.024814270225760993
460,-12.479815777777066,922,125544,263.08,0.07,57768,0.018062776087390375
470,-12.588612779536252,941,128155,261.09,0.07,59072,0.016099324722745223
480,-12.759547861625533,960,130659,257.81,0.07,60328,0.015188639648840763
490,-12.81047581273631,979,133273,258.59,0.07,61632,0.043340964475646615
500,-12.973640877842186,1000,136159,261.1,0.07,63072,0.030660253138194093
510,-12.650721215230945,1016,138285,255.62,0.07,64136,0.006541823015140835
520,-12.866892961282444,1034,140642,256.15,0.07,65320,0.029993730371643323
530,-12.767545108149973,1053,143197,254.32,0.07,66592,0.023419861361617222
540,-12.473932998597807,1067,145156,248.41,0.07,67576,0.005779688348411582
550,-12.520712707197351,1086,147712,245.41,0.07,68848,0.02950395259540528
560,-12.495129357053491,1102,149933,242.89,0.07,69960,0.009555992226523813
570,-12.252975664867211,1120,152352,240.97,0.07,71168,0.03382737357605947
580,-11.881438445337517,1139,154860,241.01,0.07,72424,0.04178353828683612
590,-11.86435694330682,1159,157552,241.79,0.07,73768,0.02044988974375883
600,-11.90883396413725,1179,160374,241.15,0.07,75184,0.01864035696053179
610,-12.173787605288151,1198,162922,245.37,0.07,76456,0.00661239249893697
620,-11.991099267600218,1218,165540,247.98,0.07,77768,0.028224257315741852
630,-12.131717392692181,1237,168151,248.54,0.07,79072,0.08690108195878565
640,-12.133179250631404,1251,170008,247.52,0.07,80000,0.02218843095761258
650,-12.078596468802909,1267,172194,243.82,0.07,81096,0.053490695092477836
660,-12.435508514336288,1287,174962,249.29,0.07,82480,0.026032339344965294
670,-12.667060040957256,1307,177688,252.36,0.07,83840,0.07070868706796318
680,-12.884851929979767,1328,180530,255.7,0.07,85264,0.020709628734039143
690,-12.717027259109116,1348,183099,254.47,0.07,86544,0.044443437036534306
700,-12.173204692025493,1362,185083,246.09,0.07,87536,0.05860960770951351
710,-11.862368375411132,1377,187051,240.29,0.07,88520,0.018734101053269114
720,-12.048805352056661,1395,189474,238.34,0.07,89736,0.03548132881405763
730,-11.770470309587047,1413,191996,237.45,0.07,90992,0.05737167253391817
740,-11.905096069211691,1428,193956,238.48,0.07,91976,0.0465981474990258
750,-12.092336994133788,1446,196363,240.69,0.07,93176,0.02418428692908492
760,-12.138815986702866,1468,199348,242.86,0.07,94672,0.025953654178010765
