rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.93199375,15,-20.40786983614037,2925,291.5,10,,
0.86224375,30,-20.126448548423973,5925,295.25,20,,
0.7924937499999999,45,-19.53439084649171,8925,296.5,30,,
0.7227437499999998,65,-20.10811183230487,11925,297.125,40,960,0.00014069438839214854
0.6529937500000003,86,-19.953895243762844,14925,297.5,50,2456,0.0002047987436526455
0.5832437500000003,108,-19.835476986620506,17925,297.75,60,3960,0.0002349342503293883
0.5134937500000002,132,-19.86002450202942,20925,297.92857142857144,70,5456,0.00043063155135314446
0.44448774999999985,155,-19.86164373881837,23893,297.6625,80,6944,0.00034045577012875583
0.37859725000000033,178,-19.63810139908113,26727,295.96666666666664,90,8360,0.0010812556065502577
0.30884725000000024,201,-19.868201635363807,29727,296.27,100,9856,0.00046929052405175753
0.23909725000000015,224,-19.889288554289806,32727,297.02,110,11360,0.0008989316738734487
0.16934725000000006,249,-19.98109294013237,35727,297.02,120,12856,0.0005229314519965556
0.09959725000000019,278,-19.901075884806513,38727,297.02,130,14360,0.000773631087213289
0.07,306,-19.871189810915613,41727,297.02,140,15856,0.0014292142586782575
0.07,334,-20.008559571792816,44727,297.02,150,17360,0.001078760928066913
0.07,362,-19.83949194642068,47727,297.02,160,18856,0.0008042435511015356
0.07,392,-19.895648797834337,50727,297.02,170,20360,0.012108319762774045
0.07,423,-19.957302212248948,53727,297.34,180,21856,0.001885182355181314
0.07,454,-19.869789862669233,56727,299.0,190,23360,0.0021248258926789276
0.07,483,-19.92961917396001,59727,299.0,200,24856,0.001013911583868321
0.07,511,-19.581111534507073,62727,299.0,210,26360,0.0008794544519332703
0.07,537,-19.354397032565863,65531,297.04,220,27760,0.0012643685258808546
0.07,567,-19.621145098267117,68531,297.04,230,29264,0.0011832385789602995
0.07,596,-19.50893875610283,71434,296.07,240,30712,0.0010101209591084626
0.07,627,-19.24242294175307,74434,296.07,250,32216,0.0013447338933474384
0.07,658,-19.705698662686405,77434,296.07,260,33712,0.0013847389709553681
0.07,688,-19.447051397562948,80434,296.07,270,35216,0.0012752687180181965
0.07,718,-19.480367240734722,83434,296.07,280,36712,0.0011574086456676014
0.07,747,-19.658035026333486,86434,296.07,290,38216,0.0008347758775926195
0.07,774,-19.21826362834958,89434,296.07,300,39712,0.012924963179102633
0.07,798,-19.242184364069374,92434,296.07,310,41216,0.0017998234870901797
0.07,823,-19.286814864286818,95434,298.03,320,42712,0.0013315666583366692
0.07,847,-19.12004720463664,98434,298.03,330,44216,0.0009322496698587202
0.07,871,-19.00951172050807,101434,299.0,340,45712,0.0009161128327832557
0.07,896,-19.357045273461118,104434,299.0,350,47216,0.013141608313162578
0.07,920,-19.306782694679622,107434,299.0,360,48712,0.0008952507632784545
0.07,944,-19.413419871049115,110434,299.0,370,50216,0.0009374062865390442
0.07,969,-19.237204772807033,113434,299.0,380,51712,0.0007561769671156071
0.07,993,-19.503710711021224,116434,299.0,390,53216,0.0011650241212919354
0.07,1017,-19.35070383743492,119316,297.82,400,54656,0.0008811643419903703
0.07,1043,-19.632118018214683,122316,297.82,410,56152,0.0015364484715973958
0.07,1068,-19.550997287317145,125316,297.82,420,57656,0.0010068135270557832
0.07,1094,-19.756872378274256,128316,297.82,430,59152,0.0131993283466727
0.07,1118,-19.96915470662229,131316,297.82,440,60656,0.0012093935220036656
0.07,1142,-19.635837944632843,134316,297.82,450,62152,0.001016348509438103
0.07,1164,-19.124156538503577,137137,296.03,460,63568,0.0006867361371405423
0.07,1188,-19.602715943099486,140137,296.03,470,65064,0.0007572537324449513
0.07,1212,-19.825969869217808,143137,296.03,480,66568,0.0008628939613117836
0.07,1237,-19.478943127173217,146137,296.03,490,68064,0.0005866262363269925
0.07,1261,-20.13157816470705,149137,297.21,500,69568,0.0013498058870027307
0.07,1286,-20.187252245604466,152137,297.21,510,71064,0.001360261121590156
0.07,1310,-20.368154068518407,155137,297.21,520,72568,0.0009648627528804354
0.07,1335,-20.267518415358378,158137,297.21,530,74064,0.0010224781653960235
0.07,1359,-20.179783595464002,161137,297.21,540,75568,0.0011701166804414243
0.07,1384,-20.21245207395118,164137,297.21,550,77064,0.0009162492860923521
0.07,1408,-20.522581774808536,167137,299.0,560,78568,0.0013996942361700349
0.07,1433,-20.386368372023636,170137,299.0,570,80064,0.001601600248250179
0.07,1458,-20.296395973058456,173137,299.0,580,81568,0.0009552843293931801
0.07,1482,-20.60079162103837,176115,298.78,590,83056,0.0011021941172657534
0.07,1506,-20.290114016661537,179115,298.78,600,84552,0.0009456222323933616
0.07,1528,-19.856435467857203,181933,296.96,610,85960,0.00105768303910736
0.07,1552,-19.84480328874176,184933,296.96,620,87464,0.0012198963486298453
0.07,1576,-19.762886147204256,187933,296.96,630,88960,0.0010365789203206077
0.07,1600,-19.875762234137785,190933,296.96,640,90464,0.0011593230738071725
0.07,1623,-19.98899777016563,193824,295.87,650,91904,0.0008683912456035614
0.07,1647,-19.804879423746204,196824,295.87,660,93408,0.0008303635404445231
0.07,1670,-19.52642379814336,199824,295.87,670,94904,0.0012324636772973463
