rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.9333887499999999,12,-17.11568056341902,2865,285.5,10,,
0.8636387499999998,26,-18.821302758895875,5865,292.25,20,,
0.7938887500000003,41,-18.974324089391512,8865,294.5,30,,
0.7241387500000003,59,-19.782908181041336,11865,295.625,40,928,0.009530124746561341
0.6543887500000002,79,-19.802522457599164,14865,296.3,50,2432,0.00026157770298596006
0.5846387500000001,100,-19.616112122450453,17865,296.75,60,3928,0.0003890977932314854
0.5148887500000001,121,-20.25673760865873,20865,297.07142857142856,70,5432,0.0005824996114824899
0.44513875,143,-20.21073702738708,23865,297.3125,80,6928,0.0005022197474318091
0.37538874999999994,165,-20.166772788213066,26865,297.5,90,8432,0.000508128014189424
0.30563874999999985,188,-20.087848227375293,29865,297.65,100,9928,0.0005839822260895744
0.23588874999999976,211,-20.545702759374894,32865,299.0,110,11432,0.0006410813075490296
0.16613875000000022,234,-20.47652988832769,35865,299.0,120,12928,0.0007968273275764659
0.09638875000000013,257,-20.525531463269726,38865,299.0,130,14432,0.0007021289420663379
0.07,281,-20.414178739017533,41865,299.0,140,15928,0.0005977887558401562
0.07,304,-20.241812961686474,44865,299.0,150,17432,0.0007890182168921456
0.07,328,-20.59320947465186,47865,299.0,160,18928,0.000788007011578884
0.07,352,-20.339782744000125,50865,299.0,170,20432,0.011095004294475075
0.07,376,-20.08858167055174,53865,299.0,180,21928,0.0010455844821990468
0.07,400,-20.080078744558204,56865,299.0,190,23432,0.001378706016112119
0.07,423,-20.08326600976566,59865,299.0,200,24928,0.0012031944788759574
0.07,446,-19.756332449637842,62722,297.57,210,26360,0.00166174718469847
0.07,470,-20.01568118933739,65722,297.57,220,27856,0.0013082974328426644
0.07,494,-19.754736830386545,68655,296.9,230,29320,0.001836134324548766
0.07,517,-19.66118422340466,71541,295.76,240,30768,0.0035275135742267594
0.07,542,-19.86563168688557,74541,295.76,250,32264,0.004950244619976729
0.07,566,-19.346477880433316,77541,295.76,260,33768,0.006475256726844236
0.07,591,-19.10842904883557,80541,295.76,270,35264,0.006074168748455122
0.07,615,-19.06213572441608,83541,295.76,280,36768,0.005419020017143339
0.07,639,-18.803595629113083,86487,295.22,290,38240,0.010984433203702793
0.07,664,-18.973642277408445,89487,295.22,300,39736,0.02412132773315534
0.07,689,-19.077173417712608,92487,296.65,310,41240,0.04194973490666598
0.07,713,-18.968625059406893,95487,296.65,320,42736,0.024222482228651643
0.07,738,-19.426463306544715,98487,297.32,330,44240,0.04142455640248954
0.07,763,-19.461836783507493,101487,298.46,340,45736,0.051998112932778895
0.07,787,-19.29552967105253,104476,298.35,350,47232,0.020324586890637875
0.07,810,-19.22000247396246,107309,296.68,360,48648,0.02837017155252397
0.07,835,-19.32389238432124,110309,296.68,370,50152,0.028765362570993602
0.07,859,-19.430831640533277,113309,296.68,380,51648,0.03867136186454445
0.07,883,-19.460716993678815,116169,295.82,390,53080,0.0368620736990124
0.07,907,-19.227344644486696,119169,295.82,400,54584,0.08869735547341406
0.07,932,-19.22796842731616,122169,295.82,410,56080,0.03089675074443221
0.07,957,-18.99200848388959,125169,295.82,420,57584,0.04337087809108198
0.07,981,-18.670637978162937,128169,295.82,430,59080,0.04272943967953324
0.07,1006,-18.665921948489373,131169,295.82,440,60584,0.033162855776026845
0.07,1030,-18.72438757644363,134169,295.93,450,62080,0.031356590799987316
0.07,1054,-18.808533714377244,137082,296.73,460,63536,0.03741941228508949
0.07,1079,-18.4981693003921,140082,296.73,470,65040,0.04100329615175724
0.07,1103,-18.621768434208477,143082,296.73,480,66536,0.07028227241244167
0.07,1128,-18.81115770779378,146082,298.13,490,68040,0.038869497599080205
0.07,1153,-18.444934428821806,149082,298.13,500,69536,0.034966240637004375
0.07,1176,-18.567654346171857,151988,297.19,510,70992,0.030848973896354437
0.07,1199,-18.474957400784277,154878,296.09,520,72432,0.030021808808669448
0.07,1223,-18.476568696923167,157878,296.09,530,73936,0.04334230604581535
0.07,1246,-18.11957776592246,160770,295.01,540,75384,0.018966343603096902
0.07,1269,-17.807683091835194,163752,294.83,550,76872,0.016977917752228677
0.07,1293,-18.244898790636345,166752,295.7,560,78368,0.01531165192136541
0.07,1317,-18.428270799106716,169752,295.7,570,79872,0.01387561287265271
0.07,1341,-18.562250397408327,172752,295.7,580,81368,0.014586976147256792
0.07,1365,-18.43173377630028,175752,295.7,590,82872,0.019987465115264058
0.07,1389,-18.732535002084326,178752,295.7,600,84368,0.014904065290465951
0.07,1413,-18.723970565288276,181752,296.64,610,85872,0.009565807587932795
0.07,1437,-18.944776053516044,184752,297.74,620,87368,0.016592955158557743
0.07,1460,-18.99260174610775,187752,297.74,630,88872,0.008720066689420491
0.07,1484,-19.21668193590069,190702,298.32,640,90344,0.014717303914949298
0.07,1508,-19.792289560906298,193702,298.5,650,91848,0.012555555847939104
0.07,1531,-19.465030466605377,196528,296.76,660,93256,0.0100715221487917
0.07,1555,-19.625400541266778,199528,296.76,670,94760,0.01010075758676976
