rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss
0.9302499999999999,3000,10,299.0,18,-20.083714352058813,,
0.8604999999999999,6000,20,299.0,38,-20.579689979316157,,
0.7907499999999998,9000,30,299.0,57,-20.55544556444621,,
0.7209999999999999,12000,40,299.0,79,-20.913969237316795,992,0.00017255365128221456
0.6512500000000003,15000,50,299.0,103,-20.66350680213287,2496,0.0003765776073123561
0.5834762500000003,17915,60,297.5833333333333,125,-20.183530538761985,3952,0.0004490328392421361
0.5137262500000002,20915,70,297.7857142857143,149,-19.863480907038035,5456,0.0005102478935441468
0.4439762500000002,23915,80,297.9375,174,-19.886640290847616,6952,0.0006647258232987951
0.3742262500000001,26915,90,298.05555555555554,198,-19.935876147472758,8456,0.001018427879898809
0.30519700000000005,29884,100,297.84,221,-19.87202788961284,9936,0.0009018516793730669
0.2389577500000003,32733,110,296.33,244,-19.70876895364819,11360,0.0006270987141760997
0.1692077500000002,35733,120,296.33,268,-19.7452337967805,12864,0.0010786430466396268
0.09945775000000012,38733,130,296.33,292,-19.590495810542656,14360,0.0007285726314876229
0.07,41733,140,296.33,316,-19.204600718784697,15864,0.0008611870798631571
0.07,44733,150,296.33,340,-19.210566245689623,17360,0.0006794328328396659
0.07,47733,160,297.18,364,-19.547426464421957,18864,0.0006773720742785372
0.07,50701,170,296.86,388,-19.566087855392645,20344,0.0013144126642146148
0.07,53701,180,296.86,412,-19.61209007358168,21848,0.0016598238798906095
0.07,56701,190,296.86,436,-19.431908869838693,23344,0.0011506026858114637
0.07,59701,200,297.17,460,-19.71748186904322,24848,0.000624672004050808
0.07,62701,210,298.68,483,-19.72543046199482,26344,0.0007396480032184627
0.07,65701,220,298.68,507,-19.348767172968806,27848,0.0014962261411710642
0.07,68701,230,298.68,531,-19.4150880320325,29344,0.0017918133635248523
0.07,71701,240,298.68,554,-19.468719070754467,30848,0.0021333127369871363
0.07,74701,250,298.68,578,-19.329053678251274,32344,0.0007547807254013605
0.07,77701,260,298.68,602,-19.097213841683832,33848,0.0010196535840805154
0.07,80701,270,299.0,626,-19.456872988198562,35344,0.0016666548763168976
0.07,83701,280,299.0,650,-19.600239277220336,36848,0.0011715647342498414
0.07,86701,290,299.0,674,-20.090449291865898,38344,0.0007411241458612494
0.07,89592,300,297.91,697,-19.523115224125853,39792,0.0015481859300052747
0.07,92592,310,297.91,720,-19.61545737894783,41288,0.0009834889242483769
0.07,95592,320,297.91,744,-19.962340830926276,42792,0.002101997655699961
0.07,98592,330,297.91,768,-19.997337283793843,44288,0.013499292654159945
0.07,101592,340,297.91,791,-20.032252220828592,45792,0.014143599317321787
0.07,104508,350,297.07,814,-20.136106174486027,47248,0.001531380861706566
0.07,107508,360,297.07,838,-20.349242589397377,48752,0.001015170622849837
0.07,110414,370,296.13,861,-20.115673419901295,50200,0.0013844053137290757
0.07,113414,380,296.13,885,-20.03286697709507,51704,0.0010698436890379526
0.07,116414,390,296.13,909,-19.546828864292095,53200,0.0011238963779760525
0.07,119414,400,297.22,932,-19.975156172779204,54704,0.0019986378429166507
0.07,122414,410,297.22,956,-19.77644771143079,56200,0.0011493460224301089
0.07,125303,420,296.11,979,-19.465408062388953,57648,0.013143528281943873
0.07,128303,430,296.11,1003,-19.441525733125612,59144,0.0015767816585139371
0.07,131303,440,296.11,1027,-19.489444814519512,60648,0.001570671855006367
0.07,134161,450,295.53,1050,-19.302828456155666,62080,0.0018053723615594208
0.07,137161,460,295.53,1074,-19.00321106382412,63576,0.0018003538571065292
0.07,140161,470,296.47,1097,-19.466982311312588,65080,0.0030093510358710773
0.07,143161,480,296.47,1121,-19.372867406194523,66576,0.003017917479155585
0.07,146161,490,296.47,1145,-19.517281820328446,68080,0.0030105060868663713
0.07,149161,500,296.47,1169,-19.017358714114845,69576,0.0033237462484976277
0.07,152161,510,296.47,1193,-19.356096624877225,71080,0.0033108088246081024
0.07,155145,520,297.42,1216,-19.668952086911524,72568,0.004686497893999331
0.07,158145,530,297.42,1240,-19.681723263189596,74072,0.0035282692115288228
0.07,161145,540,297.42,1263,-19.754821921035,75568,0.004926801746478304
0.07,164145,550,298.84,1287,-20.050969960287173,77072,0.017307621834333986
0.07,167145,560,298.84,1310,-20.02252242132438,78568,0.007027470972388983
0.07,170145,570,298.84,1334,-19.56690632010663,80072,0.007819732942152768
0.07,172972,580,297.11,1356,-19.246490699521942,81480,0.013767622673185542
0.07,175972,590,297.11,1380,-19.17765341952724,82984,0.00631753567722626
0.07,178972,600,297.11,1404,-19.490967979122342,84480,0.009418112691491842
0.07,181949,610,296.88,1427,-19.03486498715279,85968,0.009066316299140453
0.07,184949,620,297.04,1451,-18.991925713502816,87472,0.015571322583127767
0.07,187874,630,296.29,1474,-18.609867029938908,88936,0.01498313806951046
0.07,190874,640,296.29,1497,-18.328309404109188,90432,0.009939723706338555
0.07,193874,650,296.29,1521,-18.203580249000066,91936,0.014358878397615626
0.07,196874,660,296.29,1545,-18.30204743910035,93432,0.008103863685391843
0.07,199874,670,296.29,1568,-18.153100547278147,94936,0.013000004139030352
