rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss
0.9302499999999999,3000,10,299.0,18,-21.134573653385452,,
0.8628482499999998,5899,20,293.95,37,-20.67687191002633,,
0.7930982500000002,8899,30,295.6333333333333,56,-19.98772061271058,,
0.7233482500000001,11899,40,296.475,77,-20.339693569680623,944,0.00018232740694656968
0.6571322500000001,14747,50,293.94,100,-20.01956470341445,2368,0.00032289868249790743
0.58738225,17747,60,294.78333333333336,124,-19.632582605942037,3872,0.0004180394171271473
0.5176322499999999,20747,70,295.3857142857143,147,-19.85909087382079,5368,0.0008769106862018816
0.4478822499999999,23747,80,295.8375,171,-19.806967637328214,6872,0.0011034792478312738
0.3781322500000004,26747,90,296.18888888888887,196,-19.834498369683278,8368,0.0008442853031738196
0.30838224999999986,29747,100,296.47,220,-19.945665313963854,9872,0.0018027156984317116
0.23863225000000032,32747,110,296.47,243,-19.5921064653111,11368,0.0049588628025958315
0.16888225000000023,35747,120,297.48,267,-19.81956609364592,12872,0.009440879221074283
0.09913225000000014,38747,130,297.48,291,-19.805251307175574,14368,0.0032081612007459626
0.07,41740,140,297.41,315,-19.67359663742516,15864,0.00379230196995195
0.07,44740,150,298.93,339,-19.763619674108174,17368,0.004023005865747109
0.07,47740,160,298.93,363,-20.065135414138847,18864,0.004315334852435626
0.07,50740,170,298.93,387,-20.011704756452037,20368,0.005469431809615344
0.07,53740,180,298.93,411,-20.395646762187084,21864,0.003958348039304838
0.07,56740,190,298.93,434,-20.19185894300387,23368,0.0032520028325961903
0.07,59590,200,297.43,457,-19.65862135802939,24792,0.0023088956950232387
0.07,62590,210,297.43,481,-20.162499468529376,26288,0.0026601985737215728
0.07,65457,220,296.1,504,-19.60557288137887,27728,0.0032769101235317066
0.07,68457,230,296.1,528,-19.66144594834205,29224,0.002849719821824692
0.07,71457,240,296.17,552,-19.601287662480978,30728,0.002541829220717773
0.07,74457,250,296.17,576,-19.66789555553475,32224,0.0035795133298961446
0.07,77457,260,296.17,600,-19.73048564916728,33728,0.002345979562960565
0.07,80457,270,296.17,624,-19.449484642713976,35224,0.002486633966327645
0.07,83457,280,296.17,648,-19.13860326940963,36728,0.002759404684184119
0.07,86457,290,296.17,672,-19.23907523861075,38224,0.004743467681691982
0.07,89457,300,297.67,696,-19.568297337707595,39728,0.0033081670408137143
0.07,92427,310,297.37,719,-19.247558146767812,41208,0.004125933890463784
0.07,95356,320,297.99,743,-19.418002482521278,42672,0.0027406946755945683
0.07,98356,330,297.99,767,-19.534117846733338,44176,0.005979739944450557
0.07,101356,340,297.99,790,-19.371711011113078,45672,0.007076161273289472
0.07,104356,350,297.99,814,-19.522626859713498,47176,0.004289486794732511
0.07,107278,360,297.21,837,-19.18133013412597,48632,0.005077561741927639
0.07,110183,370,296.26,860,-19.482154543349246,50088,0.006455908209318295
0.07,113183,380,296.26,884,-19.589753225941898,51584,0.00704502644657623
0.07,116082,390,295.25,907,-19.336966062532696,53040,0.005467483686516061
0.07,119082,400,295.25,930,-19.54335768985254,54536,0.007576860283734277
0.07,122082,410,295.55,954,-19.459596590915098,56040,0.012299828202230856
0.07,125082,420,296.26,977,-19.47090045989746,57536,0.009355098532978445
0.07,127944,430,294.88,1000,-19.294159987575625,58968,0.008050475618802011
0.07,130914,440,294.58,1023,-19.2732746578277,60456,0.021395682531874627
0.07,133914,450,294.58,1047,-19.06264608023669,61952,0.010903585760388523
0.07,136736,460,293.58,1069,-18.99737798497953,63360,0.011336185212712735
0.07,139736,470,294.53,1093,-19.03577612773578,64864,0.013311158429132774
0.07,142736,480,294.53,1117,-18.820484902698524,66360,0.007687633886234835
0.07,145736,490,295.54,1141,-19.197958698469428,67864,0.007292041787877679
0.07,148736,500,295.54,1165,-19.146551616203126,69360,0.007552694296464324
0.07,151736,510,295.54,1189,-19.131894116829855,70864,0.006977149227168411
0.07,154628,520,294.46,1212,-19.031840124167665,72312,0.008455624803900719
0.07,157628,530,295.84,1236,-19.009462943443342,73808,0.008082437358098105
0.07,160628,540,296.14,1260,-19.01537691610119,75312,0.004394824965856969
0.07,163628,550,296.14,1284,-19.08055616918771,76808,0.010846147808479145
0.07,166628,560,297.92,1309,-19.521059104703642,78312,0.004892807090072893
0.07,169628,570,297.92,1332,-19.464742095435884,79808,0.003399086941499263
0.07,172469,580,296.33,1355,-19.36155275807288,81232,0.003080103255342692
0.07,175369,590,295.33,1378,-19.015775477053243,82680,0.0038767103105783463
0.07,178335,600,294.99,1402,-18.75565019979761,84160,0.004954516916768625
0.07,181335,610,294.99,1427,-18.89360459842457,85664,0.004533447063295171
0.07,184335,620,296.07,1451,-18.985266528847927,87160,0.014327912911539897
0.07,187157,630,294.29,1473,-18.73383143362743,88576,0.004508125493885018
0.07,190157,640,294.29,1497,-18.910410806426686,90072,0.011708669480867684
0.07,193017,650,292.89,1519,-18.330871762299843,91504,0.005116674699820578
0.07,196017,660,292.89,1543,-17.895526209429644,93008,0.0048560843570157886
0.07,198908,670,291.8,1565,-17.62660650893254,94448,0.00538439214869868
