time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/loss,train/n_updates
10,-174.2961107154061,299.0,3000,30,0.965125,,
20,-155.38561202827646,290.7,5834,51,0.93217975,,
30,-144.26728640419242,276.6333333333333,8329,69,0.9031753749999999,,
40,-137.1831065798396,275.5,11060,89,0.8714275,,
50,-132.0359325034905,276.14,13857,109,0.8389123749999999,,
60,-132.48915493837538,279.95,16857,132,0.8040373750000002,,
70,-129.08513752602317,278.6714285714286,19577,152,0.7724173750000001,,
80,-133.60419164025856,278.725,22378,177,0.7398557499999999,0.025424668681807816,1184
90,-127.87176025717115,272.14444444444445,24583,197,0.7142226250000001,0.01258624461479485,2288
100,-123.00048956363216,268.54,26954,218,0.68665975,0.01919592684134841,3472
110,-110.91891361986276,258.89,28989,236,0.6630028750000001,0.052899844478815794,4488
120,-102.88032653869539,253.01,31235,257,0.6368931250000002,0.036164078395813704,5616
130,-96.25232700937424,254.5,33879,281,0.6061566250000001,0.05076211178675294,6936
140,-91.66793094753855,252.4,36400,304,0.5768500000000002,0.03444952378049493,8192
150,-91.54151337635561,251.89,39146,331,0.5449277500000002,0.03265237342566252,9568
160,-83.15994081732619,242.76,41233,351,0.5206663750000002,0.052355363266542554,10616
170,-77.59048874671552,233.41,43018,368,0.4999157500000001,0.036718707997351885,11504
180,-67.09216475128984,227.75,45253,389,0.47393387500000017,0.06078103883191943,12624
190,-67.51318315730761,231.97,47880,413,0.443395,0.11795734986662865,13936
200,-65.24964331137659,230.87,50141,434,0.4171108750000002,0.061131649650633335,15064
210,-66.22012414868226,235.0,52589,457,0.3886528750000001,0.05036988575011492,16288
220,-65.72306780425608,235.55,54890,479,0.36190374999999997,0.08549845265224576,17440
230,-63.96889564689363,227.51,56730,497,0.34051375000000017,0.10907271131873131,18360
240,-62.6917819864775,225.91,59091,520,0.313067125,0.05647552292793989,19544
250,-55.53648566581226,220.32,61278,541,0.28764325000000024,0.09157609101384878,20632
260,-54.16461739624193,219.32,63265,560,0.2645443750000003,0.10640861093997955,21632
270,-52.55417730216553,220.62,65180,579,0.24228249999999996,0.19469358399510384,22584
280,-51.193139299149735,219.1,67263,599,0.21806762500000032,0.0691897994838655,23624
290,-47.91612073219295,217.75,69755,623,0.189098125,0.09416011907160282,24872
300,-47.08022376087414,221.4,72381,649,0.15857087500000033,0.07551042176783085,26184
