time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
10,299.0,20,0.965125,3000,-148.6632068380025,,
20,299.0,41,0.9302499999999999,6000,-174.40509455496297,,
30,295.93333333333334,61,0.8964445,8908,-162.8087236905026,,
40,296.7,82,0.8615694999999999,11908,-159.14340545613965,,
50,297.16,104,0.8266944999999999,14908,-158.4687737737068,,
60,293.21666666666664,124,0.7947838749999999,17653,-151.8607717179336,,
70,294.04285714285714,147,0.7599088750000002,20653,-153.0602373246803,320,0.03099130396731198
80,289.025,169,0.7302767500000003,23202,-144.10082837034798,1600,0.021247704979032278
90,288.8222222222222,194,0.6967735000000002,26084,-140.64114800608874,3040,0.03336503962054849
100,287.73,219,0.6643513750000001,28873,-138.28121039073292,4432,0.05617066542617977
110,270.74,231,0.6492272499999999,30174,-126.80187246936337,5080,0.04857118800282478
120,261.02,249,0.6256517500000001,32202,-116.14977218861101,6096,0.08689586538821459
130,255.33,270,0.598460875,34541,-110.6963501414221,7264,0.0955588249489665
140,251.28,293,0.5682939999999999,37136,-103.87690885695955,8560,0.09976322529837489
150,238.89,309,0.547822375,38897,-93.76833281987646,9448,0.12080786190927029
160,235.39,331,0.5199805000000001,41292,-89.75641556141198,10640,0.12316644750535488
170,223.2,347,0.499276375,43073,-80.06127855824953,11536,0.1525321938097477
180,220.45,368,0.472841125,45347,-81.5604621915223,12672,0.14240155462175608
190,215.06,389,0.44560374999999997,47690,-78.69052302000473,13840,0.13475476298481226
200,204.51,405,0.4254460000000001,49424,-72.91740565201091,14704,0.1619258839637041
210,209.68,422,0.40431174999999997,51242,-76.44213419763109,15616,0.18444287404417992
220,206.66,438,0.3842470000000002,52968,-73.43644027834388,16480,0.21754133608192205
230,205.94,459,0.3578931249999999,55235,-72.19394384520962,17616,0.19767022132873535
240,198.74,476,0.3360962500000002,57110,-72.07199360216677,18552,0.20827893447130919
250,199.79,493,0.314404,58976,-72.11884011879486,19480,0.2802239526063204
260,196.41,512,0.290491375,61033,-75.14082104164892,20512,0.2827693894505501
270,194.97,528,0.2714612500000001,62670,-75.57953763428904,21328,0.30667185224592686
280,187.22,542,0.25403537500000006,64169,-70.28036138498777,22080,0.2544635385274887
290,181.91,559,0.23297087500000002,65981,-67.4078213188116,22984,0.3219404108822346
300,177.01,571,0.21850937500000012,67225,-65.34815962836421,23608,0.32461997866630554
310,166.55,578,0.20953487500000023,67997,-60.61539873331967,23992,0.34592171758413315
320,157.82,587,0.19961875000000018,68850,-56.57313844270284,24424,0.2697233725339174
330,145.1,596,0.1880518750000001,69845,-52.50665732386592,24920,0.36469333805143833
340,133.67,603,0.17954237500000014,70577,-46.57918208219518,25288,0.3534245938062668
350,123.62,612,0.16953325000000008,71438,-43.817554784600844,25712,0.3841857425868511
360,109.76,618,0.1617328750000001,72109,-34.56888901540857,26048,0.352606687694788
370,99.43,624,0.1547113750000001,72713,-29.49187785241189,26352,0.3510761559009552
380,90.86,631,0.14724812499999984,73355,-27.302781038861305,26672,0.42160122096538544
390,78.3,636,0.140784625,73911,-23.281807701727686,26952,0.4966081567108631
400,72.85,643,0.13265875000000005,74610,-21.418043014596474,27304,0.4461865462362766
410,73.93,652,0.12242874999999998,75490,-22.35633495405599,27744,0.36992018669843674
420,71.29,657,0.11558162499999991,76079,-21.736076598724484,28032,0.45571427792310715
430,68.87,665,0.10682799999999992,76832,-20.757453415517208,28408,0.4728664234280586
440,71.95,675,0.09473800000000032,77872,-22.05595578370225,28928,0.4541305638849735
450,71.08,682,0.08574025000000007,78646,-21.477558109595574,29320,0.5432115085422993
460,72.7,691,0.07605662500000021,79479,-22.57608447043763,29736,0.5096328593790531
470,73.0,697,0.07,80113,-22.841096466135777,30056,0.4580817297101021
480,71.81,702,0.07,80636,-22.192203699662027,30312,0.5824674852192402
490,72.91,709,0.07,81302,-22.572973714143245,30648,0.5828348472714424
500,74.28,717,0.07,82138,-22.82022318564135,31064,0.6006981730461121
510,71.3,723,0.07,82720,-21.666146768950625,31352,0.5619574151933193
520,73.73,731,0.07,83552,-22.795156444477037,31768,0.5961793400347233
530,73.75,738,0.07,84307,-22.824314566147027,32152,0.6276217214763165
540,71.13,746,0.07,85085,-21.524715785691527,32536,0.6214056313037872
550,71.97,754,0.07,85943,-21.754615550578748,32968,0.623222004622221
560,68.94,760,0.07,86473,-20.336062832350258,33232,0.583054706454277
570,69.6,766,0.07,87173,-20.399619821760606,33584,0.7301601096987724
580,68.75,771,0.07,87611,-20.072432880592523,33800,0.6687495186924934
590,69.41,778,0.07,88343,-20.085714626294905,34168,0.6796877533197403
600,68.11,785,0.07,89049,-19.405628557826212,34520,0.780359759926796
610,66.87,789,0.07,89507,-18.751582036329616,34752,0.7160695120692253
620,66.6,797,0.07,90312,-18.34221688992411,35152,0.8607394695281982
630,64.73,803,0.07,90880,-17.6814787234501,35432,0.8189982548356056
640,63.68,809,0.07,91553,-17.580719961963737,35776,0.7093266323208809
650,60.45,815,0.07,92088,-16.747521743040686,36040,0.8771291896700859
660,61.01,821,0.07,92674,-17.121373490005965,36336,0.7918659374117851
670,62.14,829,0.07,93487,-17.732953085350886,36736,0.7666591703891754
680,66.86,837,0.07,94397,-19.154656768550993,37192,0.8356338664889336
690,64.64,843,0.07,94907,-18.520583105082846,37448,0.8183348923921585
700,64.65,849,0.07,95614,-18.939262255379454,37800,0.8344364836812019
710,64.76,854,0.07,96083,-18.927008949126563,38040,0.8216854780912399
720,62.02,859,0.07,96614,-18.148011751891232,38304,0.9455076605081558
730,61.84,865,0.07,97164,-18.111376602280874,38576,0.9596049785614014
740,60.55,870,0.07,97708,-17.922241285676204,38848,0.785857193171978
750,60.06,875,0.07,98194,-17.804781412542706,39096,1.007412850856781
760,61.45,882,0.07,98919,-18.585186501441886,39456,0.9639267176389694
770,58.46,887,0.07,99433,-17.574873662951124,39712,0.988130122423172
780,55.78,894,0.07,100075,-16.56240728526661,40032,0.8886649161577225
790,55.81,899,0.07,100588,-16.7597142568221,40288,0.9060493111610413
800,53.1,903,0.07,101024,-15.756565476152284,40504,0.9484841898083687
810,53.75,908,0.07,101558,-15.901093951113724,40776,0.9320982098579407
820,53.06,913,0.07,102020,-15.510649685285546,41008,0.8967864289879799
830,56.07,921,0.07,102871,-16.86033643602868,41432,1.0090280398726463
840,56.21,927,0.07,103429,-16.556949058007227,41712,0.9975988268852234
850,55.67,931,0.07,103861,-16.35806138650672,41928,0.921882338821888
860,53.79,936,0.07,104398,-15.498897468580376,42192,1.0136559307575226
870,53.44,941,0.07,104877,-15.299807550215478,42432,0.960690401494503
880,52.38,946,0.07,105413,-15.357263888558494,42704,0.9478142634034157
890,54.37,953,0.07,106125,-16.314791606333387,43056,0.8552351891994476
900,54.51,958,0.07,106575,-16.57491484737071,43280,0.9180472120642662
910,53.84,962,0.07,107042,-16.46058798491151,43520,0.9594095945358276
920,54.43,967,0.07,107563,-16.66641036298,43776,1.0751365572214127
930,51.88,973,0.07,108159,-15.29880065581469,44072,1.081316091120243
940,54.0,981,0.07,108929,-16.345186705792063,44464,1.2443787455558777
950,54.62,986,0.07,109423,-16.508710079872404,44704,1.0136423110961914
960,55.06,991,0.07,110004,-16.699220352479042,45000,1.007113367319107
970,56.37,997,0.07,110614,-17.149007280835168,45304,1.0124368593096733
980,60.72,1007,0.07,111585,-18.96615870688644,45792,1.13948193192482
990,60.37,1013,0.07,112262,-18.238136625601953,46128,1.026678092777729
1000,60.94,1018,0.07,112769,-18.570659292300974,46384,1.0449975207448006
1010,61.45,1024,0.07,113287,-18.646351878394572,46640,1.1086907759308815
1020,60.71,1028,0.07,113734,-18.403159185231242,46864,1.1263631135225296
1030,59.28,1033,0.07,114187,-18.14706803384502,47088,0.9508102014660835
1040,56.69,1038,0.07,114698,-17.248462197695673,47344,1.195626400411129
1050,57.64,1043,0.07,115287,-17.475009396179427,47640,1.090059094130993
1060,56.53,1048,0.07,115757,-17.041216394524668,47872,0.9789711013436317
1070,56.16,1054,0.07,116330,-17.00406372807838,48160,0.9660238698124886
1080,51.76,1059,0.07,116861,-14.98642977270139,48424,1.0962685942649841
1090,49.89,1064,0.07,117351,-14.674278968548895,48672,1.086342215538025
1100,49.74,1069,0.07,117843,-14.55843416854534,48920,1.1086656227707863
1110,50.47,1075,0.07,118434,-14.779425559486688,49216,1.2748497053980827
1120,50.65,1079,0.07,118899,-14.837646167081656,49448,1.1454941481351852
1130,52.12,1085,0.07,119499,-15.429804850191909,49744,1.166610710322857
1140,51.37,1089,0.07,119935,-15.188624191141614,49960,1.2318313270807266
1150,50.26,1094,0.07,120413,-15.01459097796462,50200,1.1439877301454544
1160,51.56,1100,0.07,121013,-15.339479849357708,50504,1.2902365326881409
1170,51.11,1105,0.07,121541,-14.946852089129031,50768,1.3092409074306488
1180,51.69,1111,0.07,122130,-15.05765712994711,51064,1.1642479449510574
1190,50.75,1115,0.07,122526,-14.603045258076035,51256,1.142923817038536
1200,51.3,1120,0.07,123073,-14.685745364895501,51536,1.1574969813227654
1210,49.32,1124,0.07,123466,-14.05949396596943,51728,1.1637976989150047
1220,49.55,1129,0.07,123954,-14.174952409081424,51976,1.1400149315595627
1230,50.08,1136,0.07,124607,-14.15824032732147,52296,1.2831076979637146
1240,50.14,1140,0.07,125049,-14.178571562742558,52520,1.33637323230505
1250,52.35,1147,0.07,125748,-14.53557228240009,52872,1.142189510166645
1260,51.01,1152,0.07,126214,-14.136956691851047,53104,1.332696557044983
1270,52.61,1158,0.07,126902,-14.309021003096767,53448,1.2255922332406044
1280,51.67,1163,0.07,127397,-14.091720779078482,53696,1.3701297789812088
1290,52.89,1168,0.07,127915,-14.567658584661991,53952,1.3398417010903358
1300,51.82,1173,0.07,128355,-14.066414421619038,54176,1.2815335988998413
1310,53.37,1178,0.07,128903,-14.57839615759427,54448,1.2770177945494652
1320,53.92,1183,0.07,129446,-14.587579427788812,54720,1.564524233341217
1330,52.76,1189,0.07,129983,-14.25560674055522,54984,1.266149491071701
1340,52.67,1193,0.07,130416,-14.123934022486116,55200,1.2133160904049873
1350,51.93,1199,0.07,131041,-14.09443973081833,55520,1.361845150589943
1360,54.84,1207,0.07,131798,-14.959436375291235,55896,1.3635917231440544
1370,53.0,1212,0.07,132302,-14.692309809284538,56144,1.2750066220760345
1380,54.03,1218,0.07,132900,-15.17334344337781,56448,1.2557523474097252
1390,55.47,1224,0.07,133562,-15.553676143199489,56776,1.2859002947807312
1400,56.33,1229,0.07,134088,-15.767252529502933,57040,1.2718606740236282
1410,55.55,1234,0.07,134558,-15.498238653369025,57272,1.3090611174702644
1420,56.66,1240,0.07,135212,-15.715592338510657,57600,1.2285280674695969
1430,61.25,1250,0.07,136208,-16.774949436626134,58096,1.3235323280096054
1440,64.66,1257,0.07,136982,-17.668164907636196,58488,1.1695119366049767
1450,65.13,1264,0.07,137654,-17.630016136291356,58824,1.3735338523983955
1460,64.58,1271,0.07,138356,-17.187436904058224,59176,1.1754348427057266
1470,64.08,1275,0.07,138810,-16.904917988710352,59400,1.2784072756767273
1480,63.47,1281,0.07,139347,-16.572185643933977,59672,1.293027326464653
1490,61.78,1286,0.07,139840,-16.11455572681081,59912,1.17300945520401
1500,60.95,1290,0.07,140283,-16.028290080771864,60136,1.2165037393569946
1510,63.05,1297,0.07,140963,-16.41980077305266,60480,1.3640179634094238
1520,63.23,1303,0.07,141635,-16.422853653683255,60816,1.336301513016224
1530,60.52,1310,0.07,142360,-16.148912811847914,61176,1.1747785210609436
1540,59.58,1317,0.07,143040,-15.909606977931933,61512,1.4407942295074463
1550,58.0,1322,0.07,143554,-15.595261063037515,61776,1.2177654653787613
1560,59.18,1330,0.07,144374,-16.418428794795656,62184,1.4812187403440475
1570,60.5,1336,0.07,144960,-16.655191389793796,62472,1.211011789739132
1580,61.21,1342,0.07,145568,-16.88306019152035,62776,1.1799623668193817
1590,63.14,1348,0.07,146254,-17.347546687983876,63120,1.391155481338501
1600,65.81,1355,0.07,146964,-18.014734609732592,63480,1.2557219117879868
1610,63.77,1360,0.07,147440,-17.588627269511967,63712,1.3329512029886246
1620,62.51,1366,0.07,147986,-17.360935562450777,63992,1.2132278457283974
1630,60.34,1373,0.07,148494,-16.437417511931624,64240,1.3055057674646378
1640,58.8,1378,0.07,149020,-16.052223219932547,64504,1.0702560245990753
1650,58.74,1383,0.07,149528,-16.038531171370114,64760,1.1852301508188248
1660,54.98,1388,0.07,149972,-14.649779404075694,64984,1.2728789746761322
1670,53.52,1392,0.07,150412,-14.535815966129855,65200,1.1735720708966255
1680,54.12,1399,0.07,151080,-14.32194008604415,65536,1.2088453024625778
1690,52.8,1404,0.07,151634,-14.00143046707021,65816,1.1682256236672401
1700,50.05,1409,0.07,152069,-13.20395602975953,66032,1.1747522428631783
1710,51.24,1415,0.07,152664,-13.635399654851435,66328,1.197273388504982
1720,50.86,1420,0.07,153172,-13.519359293838725,66584,1.237814724445343
1730,51.46,1426,0.07,153740,-13.535094976935149,66864,1.0244716852903366
1740,52.45,1432,0.07,154365,-13.908166502443926,67176,1.2817430943250656
1750,52.35,1437,0.07,154863,-13.920834893008083,67424,1.1772740334272385
1760,53.56,1443,0.07,155428,-14.222217543988707,67712,1.036395788192749
1770,55.5,1449,0.07,156062,-14.569059448279576,68024,1.22653628885746
1780,55.76,1456,0.07,156756,-15.130273702851682,68376,1.1067992225289345
1790,55.97,1462,0.07,157331,-15.395844514945601,68664,1.0570515990257263
1800,56.32,1467,0.07,157801,-15.451376886483326,68896,1.051798976957798
1810,55.88,1472,0.07,158352,-15.262886581980604,69168,1.1217477843165398
1820,56.34,1478,0.07,158906,-15.206488345072982,69448,1.1120167523622513
1830,59.38,1486,0.07,159778,-16.265574611359394,69888,1.0972109138965607
1840,58.23,1491,0.07,160288,-15.767120413707817,70136,1.1526316851377487
1850,59.01,1497,0.07,160864,-15.769541174126433,70424,1.1418800130486488
1860,58.23,1502,0.07,161351,-15.20409625948587,70672,1.0757751762866974
1870,58.0,1508,0.07,161962,-15.538673951421776,70976,1.119182676076889
1880,55.77,1513,0.07,162433,-14.741729626630642,71216,1.0333554670214653
1890,54.43,1518,0.07,162874,-14.017825900990426,71432,1.208523191511631
1900,54.88,1523,0.07,163389,-14.015193765365574,71688,1.2264252305030823
1910,55.32,1529,0.07,163984,-13.877976277552545,71984,1.0797162652015686
1920,54.9,1534,0.07,164496,-13.782359055556057,72240,1.0233494862914085
1930,51.14,1539,0.07,164992,-12.694878321689497,72488,1.1445371508598328
1940,51.84,1545,0.07,165572,-12.843192869921825,72784,1.0513792484998703
1950,52.0,1551,0.07,166164,-12.830909206135905,73080,1.084435597062111
1960,52.89,1557,0.07,166740,-13.28414885240762,73368,1.0004420280456543
1970,53.4,1564,0.07,167402,-12.96412697988503,73696,1.128053605556488
1980,56.9,1572,0.07,168223,-13.725078138103544,74104,1.091072142124176
1990,58.96,1578,0.07,168870,-14.13600364260531,74432,0.9966746121644974
2000,60.02,1585,0.07,169491,-14.567138811693766,74744,1.0046652555465698
2010,59.85,1590,0.07,170069,-14.865961324013199,75032,1.072917677462101
2020,59.52,1595,0.07,170548,-15.047784855128818,75272,1.0067807510495186
2030,60.55,1601,0.07,171147,-15.33680130154125,75568,0.9413281232118607
2040,61.04,1608,0.07,171776,-15.364879409644232,75880,0.9302742555737495
2050,63.48,1616,0.07,172612,-16.53440149953959,76304,0.8582243695855141
2060,65.51,1626,0.07,173391,-17.409045592090582,76688,0.9940143600106239
2070,64.67,1632,0.07,173969,-17.21234165317361,76984,0.9035946577787399
2080,65.31,1641,0.07,174854,-16.634888386705345,77424,0.9362219274044037
2090,69.21,1652,0.07,175891,-17.054622423892393,77944,0.8966390043497086
2100,70.46,1659,0.07,176637,-17.29479581707878,78312,0.8919302821159363
2110,71.07,1666,0.07,177276,-16.862949083603883,78632,0.943556658923626
2120,82.1,1683,0.07,178858,-18.13057036528819,79424,0.8510788381099701
2130,82.61,1689,0.07,179508,-18.064213241472377,79752,0.8662769049406052
2140,91.83,1705,0.07,181059,-18.755365049485945,80528,0.8141172751784325
2150,93.2,1714,0.07,182032,-18.44418402686507,81008,0.8351367712020874
2160,104.92,1734,0.07,183983,-21.134937402258444,81984,0.6904217600822449
2170,112.0,1747,0.07,185269,-22.61860911601531,82632,0.8695743530988693
2180,111.54,1756,0.07,186108,-22.831037343656263,83048,0.8486870676279068
2190,112.13,1767,0.07,187204,-22.98826650180662,83600,0.7673482298851013
2200,123.98,1786,0.07,189135,-26.04611909470693,84560,0.7182029783725739
2210,131.72,1801,0.07,190548,-29.004990088564423,85272,0.6948792040348053
2220,135.44,1820,0.07,192502,-30.44352558933619,86248,0.6855229586362839
2230,139.14,1830,0.07,193522,-30.884176342382162,86760,0.6520306244492531
2240,130.28,1837,0.07,194187,-30.191042360814333,87088,0.7027612924575806
2250,126.89,1843,0.07,194821,-29.992964478313414,87408,0.7101339921355247
2260,115.48,1851,0.07,195631,-26.66025653955402,87808,0.618477113544941
2270,111.63,1860,0.07,196532,-25.31164534206761,88264,0.6518333256244659
2280,110.6,1868,0.07,197268,-25.346248138257206,88632,0.675753690302372
2290,106.44,1874,0.07,197948,-25.143248699646,88968,0.6775886714458466
2300,99.72,1887,0.07,199207,-22.236553796471743,89600,0.6211850382387638
2310,92.29,1894,0.07,199877,-19.761843109030174,89936,0.6291293203830719
