time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
2805,0.9673918750000001,10,-123.95279946366108,279.5,22,,
5805,0.9325168750000001,20,-134.38759374563273,289.25,46,,
8805,0.897641875,30,-149.36507632016048,292.5,71,,
11805,0.862766875,40,-148.38935405296655,294.125,96,,
14805,0.8278918749999999,50,-159.95165854133984,295.1,121,,
17805,0.793016875,60,-162.24598491768617,295.75,148,,
20805,0.758141875,70,-162.59712440363896,296.2142857142857,176,400,0.01312592881731689
23805,0.723266875,80,-156.66636030636002,296.5625,208,1896,0.011951735010370612
26805,0.6883918749999999,90,-153.5047976202057,296.8333333333333,240,3400,0.018431634991429746
29369,0.658585375,100,-147.57061776508115,292.69,268,4680,0.03342816838994622
32247,0.625128625,110,-146.09328342299895,293.42,300,6120,0.03542141825892031
34769,0.595810375,120,-141.02914946872426,288.64,328,7384,0.04514653468504548
37271,0.566724625,130,-131.4679419406256,283.66,355,8632,0.06312629580497742
40118,0.5336282499999999,140,-129.32116562970913,282.13,386,10056,0.057892248034477234
43118,0.49875325000000015,150,-119.07558347952559,282.13,416,11552,0.05925087397918105
44083,0.48753512500000007,160,-104.38208427058512,261.78,425,12040,0.07622446212917566
46795,0.456008125,170,-100.20968247369572,258.9,455,13392,0.10398196429014206
49795,0.4211331250000002,180,-96.01172324532563,258.9,488,14896,0.08832720946520567
52505,0.38962937500000006,190,-94.29096795848491,256.0,518,16248,0.10553343780338764
55505,0.35475437499999996,200,-93.34243170048045,260.36,551,17752,0.12966291885823011
58505,0.3198793750000002,210,-94.04525240758213,261.58,585,19248,0.14633027836680412
61505,0.285004375,220,-95.6101138414888,266.36,619,20752,0.1655335444957018
64505,0.2501293750000002,230,-97.74453887957304,271.34,653,22248,0.18420708738267422
67395,0.2165331250000001,240,-95.82885908555707,271.77,686,23696,0.19994811713695526
70395,0.18165812500000034,250,-94.17728256535968,271.77,720,25192,0.2126887571066618
73119,0.14999162500000007,260,-99.94673480375883,289.36,752,26552,0.2622899077832699
75844,0.11831350000000007,270,-95.40817272336861,289.49,784,27920,0.27006168104708195
78585,0.08644937500000016,280,-97.44050782812023,286.9,815,29288,0.3006455060094595
80833,0.07,290,-93.5013898505218,282.28,842,30416,0.3049169983714819
83035,0.07,300,-90.56026553895136,274.3,867,31512,0.3553868606686592
85240,0.07,310,-85.08703523377912,266.35,894,32616,0.38393833115696907
86748,0.07,320,-79.1356573623316,251.43,911,33368,0.3321223706007004
87342,0.07,330,-69.72857687664306,227.37,917,33664,0.36029326543211937
87511,0.07,340,-59.44754124413138,200.16,919,33752,0.3781130313873291
87950,0.07,350,-51.3705513341009,174.55,923,33968,0.3802603967487812
88120,0.07,360,-43.15799375570873,149.01,925,34056,0.38223931565880775
88379,0.07,370,-35.87559757642216,124.35,928,34184,0.4039308875799179
88667,0.07,380,-27.089479513809806,99.82,931,34328,0.4077400751411915
88896,0.07,390,-20.376664161569373,79.63,933,34440,0.398068331182003
89104,0.07,400,-15.244885496712111,59.69,936,34544,0.4288315512239933
89356,0.07,410,-9.692916478218066,40.16,938,34672,0.4510941505432129
89531,0.07,420,-4.993444888368394,26.83,940,34760,0.44733602926135063
89752,0.07,430,-4.285228564692206,23.1,942,34872,0.47084375098347664
