rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
-15.583554894430483,20,3000,0.965125,299.0,10,,
-14.999367553928693,39,5867,0.931796125,292.35,20,,
-15.963735263020816,60,8867,0.896921125,294.56666666666666,30,,
-16.13931963490962,81,11867,0.862046125,295.675,40,,
-16.549619427631434,102,14867,0.827171125,296.34,50,,
-16.698176570379665,123,17867,0.7922961250000002,296.78333333333336,60,,
-16.523227289654283,146,20867,0.7574211250000001,297.1,70,432,0.0001394664168401505
-16.173315102282466,172,23867,0.722546125,297.3375,80,1928,6.023688092682278e-05
-15.512628761924075,196,26564,0.6911935000000002,294.15555555555557,90,3280,0.0001881628377304878
-14.863456905183716,216,28873,0.6643513750000001,287.73,100,4432,0.0003020058575202711
-14.297068362472228,242,31873,0.6294763750000001,287.73,110,5936,0.00040737446761340834
-13.879757256676644,268,34873,0.5946013750000001,289.06,120,7432,0.009745592582476093
-12.821101701912946,293,37777,0.5608423750000001,288.1,130,8888,0.00895147707342403
-11.948395187708519,318,40603,0.5279901250000001,286.36,140,10296,0.001038880589476321
-10.677028105758298,336,42549,0.5053678750000001,275.82,150,11272,0.001199033169541508
-9.560325319835568,355,44676,0.48064150000000005,267.09,160,12336,0.002455088178976439
-8.62643173662878,372,46547,0.45889112499999996,255.8,170,13272,0.0022552982554771006
-7.8743679729327365,391,48585,0.43519937499999994,246.18,180,14288,0.0029116982041159645
-7.2172537822265905,402,49840,0.42061000000000015,231.76,190,14912,0.004178004543064162
-6.801273051307069,417,51423,0.40220762500000007,224.5,200,15704,0.027309991011861712
-6.361267155896395,428,52636,0.38810650000000013,206.63,210,16312,0.00740076438523829
-5.592722020239702,435,53440,0.3787600000000001,184.67,220,16712,0.021668820292688906
-5.326997534984448,447,54671,0.3644496250000001,167.94,230,17328,0.011292217648588121
-4.747517004641385,454,55437,0.3555448750000001,147.34,240,17712,0.019732578773982823
-4.418664013046592,461,56130,0.34748875,134.81,250,18064,0.011931687477044761
-4.004056036606304,467,56776,0.33997900000000014,120.0,260,18384,0.022847108950372785
-3.6370912001783178,474,57525,0.331271875,108.78,270,18760,0.01748209714423865
-3.2568882550960336,481,58255,0.3227856250000002,95.7,280,19120,0.04007733962498605
-3.091965793671499,487,58894,0.31535725000000014,89.54,290,19440,0.04184859408996999
-2.787899234652422,492,59510,0.30819625000000017,79.87,300,19752,0.03940425009932369
-2.41193127299916,498,60077,0.3016048750000001,73.41,310,20032,0.038635879987850785
-2.4071821174492025,505,60814,0.29303725,72.74,320,20400,0.049798801308497787
-2.1781371064085953,511,61462,0.2855042500000001,66.91,330,20728,0.025348295224830508
-2.145351131737559,516,62011,0.2791221250000002,64.74,340,21000,0.039843135979026556
-2.1621369627856617,522,62665,0.2715193749999999,64.35,350,21328,0.03474718891084194
-2.1298878984305314,527,63209,0.2651953750000001,63.33,360,21600,0.03892260557040572
-2.095168945835386,533,63835,0.2579181250000001,62.1,370,21912,0.05548762599937618
-2.078999874901777,539,64485,0.2503618750000002,61.3,380,22240,0.054609369952231646
-2.0451470977000152,544,65012,0.24423550000000005,60.18,390,22504,0.05968687427230179
-2.044261681964349,550,65566,0.2377952499999999,59.56,400,22776,0.05627964483574033
-2.034867613192169,554,66071,0.23192462500000022,58.94,410,23032,0.04935491783544421
-1.9521700437650134,559,66594,0.22584475000000004,56.8,420,23296,0.05003429506905377
-1.8988150152356205,565,67161,0.21925337499999997,55.99,430,23576,0.04873766750097275
