time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
3000,-16.64408973023459,10,0.965125,299.0,21,,
5904,-14.623385467617808,20,0.931366,294.2,40,,
8904,-17.275544831110533,30,0.896491,295.8,61,,
11766,-16.830765808957114,40,0.8632202499999999,293.15,81,,
14766,-16.405525745078037,50,0.8283452499999999,294.32,102,,
17766,-16.018170866302317,60,0.7934702500000002,295.1,122,,
20766,-16.232424343136532,70,0.75859525,295.65714285714284,145,0.00014818943236605264,376
23315,-15.700417268445307,80,0.7289631250000002,290.4375,167,8.608963162259897e-05,1656
25531,-14.708266238852465,90,0.7032021250000001,282.6777777777778,186,0.009395067373588972,2760
26325,-13.409145292808386,100,0.6939718750000001,262.25,193,0.000230980787819135,3160
27513,-12.052094228676015,110,0.6801613750000002,244.13,203,0.009534054948744597,3752
28255,-10.973461445799764,120,0.671535625,222.51,210,0.0009035140319610946,4120
29320,-8.935900176636752,130,0.6591549999999999,203.16,219,0.0279664674308151,4656
29786,-7.477828213971955,140,0.6537377500000001,179.2,223,0.018721086293226108,4888
30199,-6.1145482741458785,150,0.6489366250000002,153.33,227,0.009971232371754013,5096
30548,-4.769884097412195,160,0.6448795,126.82,230,0.018995639969944023,5272
30971,-3.093327923376315,170,0.6399621250000002,101.05,234,0.011020011676009744,5480
31359,-1.9858634617341884,180,0.635451625,79.44,238,0.01267116138478741,5672
31747,-1.385637726358655,190,0.6309411250000001,61.16,241,0.028071856824681163,5872
32180,-1.3203119456336396,200,0.6259075,57.55,245,0.04771329945651814,6088
32505,-1.0806179467083243,210,0.622129375,48.92,248,0.03599447716260329,6248
32952,-0.9941239564554898,220,0.616933,45.97,252,0.05506086366949603,6472
33308,-0.857032498220674,230,0.6127945,38.88,255,0.024119758629240096,6648
33824,-0.8685962873132597,240,0.6067960000000001,39.38,260,0.04739598440937698,6904
34259,-0.8650522785166318,250,0.6017391250000002,39.6,264,0.044721187208779156,7128
34926,-0.9833022813891662,260,0.5939852499999999,42.78,270,0.06506338203325868,7456
35462,-1.038843828644037,270,0.5877542500000001,43.91,274,0.05909845931455493,7728
35796,-1.0214591628455993,280,0.5838714999999999,43.37,277,0.07665175083093345,7896
36238,-1.0448610244649996,290,0.5787332500000002,43.91,281,0.06244682474061847,8112
36623,-1.0229189798731608,300,0.574257625,43.43,285,0.08474858524277806,8304
36996,-1.0438167548575725,310,0.5699215,43.91,288,0.06529578473418951,8496
37654,-1.1853818655546446,320,0.5622722500000003,46.02,294,0.08241856982931495,8824
38007,-1.1867232598548818,330,0.5581686250000002,45.99,297,0.08763597393408418,9000
38425,-1.1731142653108488,340,0.553309375,45.01,301,0.09079165803268552,9208
38747,-1.1502999709275654,350,0.5495661250000001,43.88,304,0.11118777189403772,9368
39026,-1.0232070864776182,360,0.54632275,40.0,306,0.11142760189250112,9512
40015,-1.333044183067105,370,0.5348256250000001,44.53,315,0.07455583801493049,10000
40483,-1.3906021483327302,380,0.529385125,45.87,319,0.10483721317723393,10240
41138,-1.4887074148288009,390,0.52177075,48.0,325,0.10841230256482959,10568
41671,-1.6080507635922598,400,0.515574625,49.48,330,0.1239091930910945,10832
41960,-1.5766086010799367,410,0.5122150000000001,48.64,332,0.1300454270094633,10976
42252,-1.4060946586674572,420,0.5088205,44.98,335,0.12452831212431192,11120
43062,-1.5812555329433955,430,0.4994042500000001,49.55,342,0.1665735375136137,11528
43587,-1.6657378670296321,440,0.4933011250000001,50.62,347,0.14090733882039785,11792
43923,-1.6729393417934546,450,0.48939512500000004,50.76,350,0.1466544196009636,11960
44236,-1.6897336854786622,460,0.48575650000000026,51.1,353,0.13746639154851437,12112
44530,-1.311969220405875,470,0.48233875000000004,44.15,356,0.1342722224071622,12264
45263,-1.511110749930912,480,0.473817625,46.8,362,0.11471107136458158,12624
45465,-1.3486734288170996,490,0.4714693750000001,42.27,364,0.1611407157033682,12728
45916,-1.2554997513456512,500,0.4662265000000001,41.45,368,0.1415915871039033,12952
46215,-1.2615342243383458,510,0.4627506250000001,41.55,371,0.1710500894114375,13104
46552,-1.2599877577654752,520,0.45883300000000016,42.0,374,0.18705354444682598,13272
46862,-1.0673941870953823,530,0.45522925000000003,37.0,377,0.1527706179767847,13424
47169,-0.9652203885142216,540,0.4516603750000001,34.82,380,0.13954538758844137,13584
47469,-0.9391061477718433,550,0.448172875,34.46,382,0.17915718257427216,13728
47761,-0.9319607254736388,560,0.4447783750000003,34.25,385,0.15160185284912586,13880
48403,-1.0821105356634881,570,0.43731512500000014,37.73,391,0.1839674236252904,14200
48691,-0.8203991165896448,580,0.4339671250000001,33.28,394,0.1786516923457384,14344
48925,-0.8320163377792095,590,0.43124687500000014,33.6,396,0.15483831241726875,14456
49241,-0.7973048968823124,600,0.42757337500000003,32.25,399,0.16502613574266434,14616
49518,-0.787706309178445,610,0.4243532500000001,32.03,401,0.13072500564157963,14752
49711,-0.7590589720865922,620,0.42210962500000015,30.59,403,0.16825909726321697,14848
49948,-0.7440807264020698,630,0.4193545000000002,29.86,405,0.14971225894987583,14968
50190,-0.7271624900603971,640,0.4165412500000001,29.21,408,0.15691890567541122,15088
50444,-0.7158581014707335,650,0.4135885,28.75,410,0.15968968160450459,15216
50815,-0.7451619679930556,660,0.40927562500000003,29.54,413,0.15666481014341116,15400
51102,-0.5929111960481966,670,0.40593925,25.99,416,0.15087782125920057,15544
51349,-0.5768634017799734,680,0.4030678750000001,25.58,419,0.13851071801036596,15672
51548,-0.5696848835514646,690,0.4007544999999999,25.23,420,0.14850705489516258,15768
51776,-0.536483033563669,700,0.3981040000000001,24.35,423,0.12615495081990957,15880
51973,-0.5204789385794303,710,0.3958138750000001,23.55,424,0.16044747829437256,15984
52316,-0.5686018375002196,720,0.3918265000000003,25.05,428,0.1306083407253027,16152
52558,-0.565325672539481,730,0.38901324999999987,25.1,430,0.13176006730645895,16272
52820,-0.5586104054225371,740,0.3859675,25.3,432,0.16484190057963133,16408
53055,-0.5479307818954776,750,0.3832356250000002,25.11,435,0.1515508210286498,16520
53368,-0.5260040510380231,760,0.3795970000000002,24.53,438,0.14791699685156345,16680
53856,-0.607816048026068,770,0.37392400000000015,26.54,442,0.12484832853078842,16920
54439,-0.7305174308709194,780,0.36714662500000017,29.9,447,0.13272661436349154,17216
54669,-0.7362007516699984,790,0.36447287500000025,30.21,449,0.12685881834477186,17328
54978,-0.7568164571525529,800,0.36088075,31.02,452,0.11644105706363916,17488
55196,-0.7590405711665886,810,0.3583465000000001,31.23,454,0.1311087291687727,17592
55397,-0.705628781742515,820,0.35600987500000003,29.81,456,0.13128112256526947,17696
55652,-0.7037013605411195,830,0.3530455000000001,29.94,459,0.12676112167537212,17824
55866,-0.6967385072308359,840,0.35055775,29.46,461,0.1068801018409431,17928
56089,-0.702452352702909,850,0.347965375,29.34,463,0.13526536989957094,18040
56354,-0.6845720976536444,860,0.34488474999999985,28.86,465,0.09759553987532854,18176
56586,-0.5864824392021812,870,0.34218775,26.3,467,0.11399701703339815,18288
56798,-0.4485052428827303,880,0.33972325000000014,22.59,469,0.1123383454978466,18392
57138,-0.47441066929962517,890,0.3357707500000001,23.69,473,0.12338540237396955,18568
57394,-0.4576846561765231,900,0.33279475000000014,23.16,475,0.09887838177382946,18696
57799,-0.4812611079522639,910,0.3280866250000002,25.03,479,0.09535961970686913,18896
58414,-0.5473296384445588,920,0.32093725000000006,29.17,484,0.1061257366091013,19200
