time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
2918,290.8,15,0.0,10,0.96607825,,
5761,287.05,29,0.0,20,0.9330283750000001,,
8710,289.3333333333333,44,0.0,30,0.8987462500000001,,
11710,291.75,60,0.0,40,0.8638712500000001,,
14433,287.66,74,0.0,50,0.8322163749999999,,
17232,286.2,89,0.0,60,0.799678,,
20023,285.04285714285714,104,0.0,70,0.7672326250000001,0.03405591705814004,8
22332,278.15,122,0.0,80,0.7403905000000001,3.5830619708576705e-05,1160
24877,275.4111111111111,141,0.0,90,0.7108048750000001,0.009009297674822392,2432
27769,276.69,163,0.0,100,0.6771853750000001,3.6077684626434348e-06,3880
30682,276.64,186,0.0,110,0.6433217499999999,4.319295470622819e-06,5336
33659,277.98,209,0.0,120,0.6087141250000001,0.008878171836272486,6824
36395,275.85,229,0.0,130,0.5769081250000001,6.005283694321406e-06,8192
39395,275.85,252,0.0,140,0.542033125,5.713549910524307e-06,9696
42395,278.62,275,0.0,150,0.507158125,9.375520278354088e-06,11192
44919,275.87,294,0.0,160,0.4778166250000001,9.361298566545884e-06,12456
46855,267.32,309,0.0,170,0.45531062499999997,1.3381673852563836e-05,13424
48804,263.72,325,0.0,180,0.4326535,0.008792962133725268,14400
50284,253.07,337,0.0,190,0.4154485000000001,1.697538050393632e-05,15136
52426,245.57,354,0.0,200,0.3905477500000001,2.0954058527422603e-05,16208
54760,239.78,372,0.0,210,0.36341499999999993,0.008569197217411784,17376
56232,224.73,384,0.0,220,0.3463029999999999,0.017263605201833343,18112
57651,211.56,396,0.0,230,0.3298071250000002,0.008638187503265726,18824
58650,191.55,404,0.0,240,0.31819375000000005,0.00862817520032877,19320
59088,165.93,407,0.0,250,0.3131020000000002,0.042461139895294764,19536
61008,159.89,423,0.0,260,0.2907820000000001,0.016892928708784893,20496
61621,146.66,428,0.0,270,0.283655875,0.008449439366359002,20808
62662,137.58,437,0.0,280,0.2715542500000001,0.016897721545774402,21328
63271,128.87,442,0.0,290,0.2644746250000002,0.008459819987365336,21632
64182,116.56,449,0.0,300,0.25388425000000003,0.03376386484933391,22088
65471,106.11,460,0.0,310,0.23889962499999995,0.02517578284960109,22728
66370,100.38,467,0.0,320,0.2284487500000001,0.04181984278102391,23184
67958,102.07,480,0.0,330,0.20998825,0.016642773982312065,23976
69391,106.41,492,0.0,340,0.19332962500000006,0.008301604164444143,24688
70836,116.48,504,0.0,350,0.17653150000000017,0.0082414712614991,25416
72044,109.36,514,0.0,360,0.16248850000000004,0.024608046670437034,26016
73660,119.39,527,0.0,370,0.14370249999999996,0.01631751495779099,26824
74745,119.83,536,0.0,380,0.13108937500000017,0.02448433102654235,27368
75328,119.57,541,0.0,390,0.1243120000000002,0.008223380341405573,27656
76364,120.82,550,0.0,400,0.1122685,0.01618767441414093,28176
76970,113.99,555,0.0,410,0.10522374999999995,0.008072627046203706,28480
77716,112.46,561,0.0,420,0.09655150000000023,0.008191338843971607,28856
78237,101.79,565,0.0,430,0.09049487500000009,0.00012619686458492652,29112
79663,101.72,577,0.0,440,0.07391762500000021,0.03970059513540036,29824
80162,92.26,581,0.0,450,0.07,0.03160158690479875,30080
80912,87.68,587,0.0,460,0.07,0.06265774772691657,30448
81393,76.33,591,0.0,470,0.07,0.03169284076739132,30696
81901,70.56,596,0.0,480,0.07,0.05466387715205201,30944
82346,69.18,599,0.0,490,0.07,0.02367106872225122,31168
82787,63.23,603,0.0,500,0.07,0.01568583698463044,31392
83045,59.75,605,0.0,510,0.07,0.023465711517928867,31520
83559,57.43,610,0.0,520,0.07,0.02332655825011898,31776
84893,65.56,621,0.0,530,0.07,0.03096904147969326,32440
85517,57.54,626,0.0,540,0.07,0.007888708214522921,32752
85920,56.58,630,0.0,550,0.07,0.00015744278971396852,32952
86275,52.63,633,0.0,560,0.07,0.038565674165511155,33136
86641,51.48,636,0.0,570,0.07,0.023209599688925664,33320
87032,50.31,639,0.0,580,0.07,0.02291365174278326,33512
87600,51.54,644,0.0,590,0.07,0.03837277096135949,33792
87871,49.84,646,0.0,600,0.07,0.03826422501151683,33928
88211,50.66,649,0.0,610,0.07,0.022740814474673243,34104
88691,50.32,653,0.0,620,0.07,0.0756730525954481,34344
89049,40.56,656,0.0,630,0.07,0.0374861369455175,34520
89484,38.67,660,0.0,640,0.07,0.06031503565645835,34736
89747,37.27,662,0.0,650,0.07,0.03032789521967061,34872
90033,36.58,665,0.0,660,0.07,0.07517818956330302,35016
90431,36.9,668,0.0,670,0.07,0.022478080025393865,35208
90773,36.41,671,0.0,680,0.07,0.03753927677826141,35384
91125,34.25,674,0.0,690,0.07,0.015170394030064926,35560
91730,37.59,679,0.0,700,0.07,0.06680347503424855,35864
92166,38.55,683,0.0,710,0.07,0.05171274985696073,36080
92453,36.62,685,0.0,720,0.07,0.059072817843116354,36224
93105,39.56,691,0.0,730,0.07,0.06610472461761674,36552
93661,40.77,696,0.0,740,0.07,0.02213981566092116,36824
93971,41.24,698,0.0,750,0.07,0.03657431912506581,36984
94264,41.31,701,0.0,760,0.07,0.03582197075593285,37128
94600,40.69,704,0.0,770,0.07,0.06542954778706189,37296
94988,41.15,707,0.0,780,0.07,0.021679468107322464,37488
95291,40.66,710,0.0,790,0.07,0.05091112471927772,37640
95703,38.73,713,0.0,800,0.07,0.042754703306854935,37848
96027,37.61,716,0.0,810,0.07,0.029026825206528883,38008
96324,37.71,718,0.0,820,0.07,0.05010058846892207,38160
96730,35.25,722,0.0,830,0.07,0.06386938667128561,38360
97030,32.69,724,0.0,840,0.07,0.014476364060101332,38512
97387,33.16,728,0.0,850,0.07,0.056751914646156365,38688
97654,32.9,730,0.0,860,0.07,0.049669665339024505,38824
97951,32.51,732,0.0,870,0.07,0.0495985902598477,38968
98343,32.55,736,0.0,880,0.07,0.06290952924246085,39168
98679,32.88,739,0.0,890,0.07,0.06276198819978163,39336
99004,32.01,741,0.0,900,0.07,0.055479337519500405,39496
99400,32.73,745,0.0,910,0.07,0.041722916863363935,39696
99682,32.58,747,0.0,920,0.07,0.05612805881537497,39840
99968,31.38,749,0.0,930,0.07,0.027883281527465442,39976
100247,31.17,752,0.0,940,0.07,0.04168634203233523,40120
