rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
299.0,17,10,0.965125,3000,0.0,,
299.0,33,20,0.9302499999999999,6000,0.0,,
284.3,47,30,0.900501625,8559,0.0,,
287.975,63,40,0.865626625,11559,0.0,,
285.7,80,50,0.8333556249999999,14335,0.0,,
287.9166666666667,98,60,0.7984806249999998,17335,0.0,,
289.5,117,70,0.7636056250000001,20335,0.0,160,1.9182849655408063e-05
290.6875,149,80,0.7287306250000001,23335,0.0,1664,1.2194285687883166e-06
291.6111111111111,174,90,0.6938556250000001,26335,0.0,3160,4.900908727734077e-07
292.35,200,100,0.6589806250000001,29335,0.0,4664,3.6376284739958464e-07
288.4,224,110,0.6286975000000001,31940,0.0,5968,1.2732679834925875e-06
283.88,246,120,0.599077,34488,0.0,7240,8.324632361222939e-07
278.56,265,130,0.5755131250000002,36515,0.0,8256,1.99630630959291e-06
269.69,285,140,0.5509495000000001,38628,0.0,9312,3.3620193562455825e-06
262.39,303,150,0.52716475,40674,0.0,10336,2.2849646086342545e-06
243.48,313,160,0.514272625,41783,0.0,10888,0.00028669230110267563
233.45,332,170,0.49105750000000004,43780,0.0,11888,5.084228632767918e-06
228.04,355,180,0.46247162499999994,46239,0.0,13112,6.152652758828481e-06
217.55,374,190,0.4397912500000001,48190,0.0,14088,8.890858168797422e-06
202.12,389,200,0.4228536250000001,49647,0.0,14816,4.188277500816184e-06
191.7,404,210,0.40468375,51210,0.0,15600,0.0005969767388762648
178.87,417,220,0.38997812500000006,52475,0.0,16232,0.0001804926286013142
167.65,426,230,0.3794575,53380,0.0,16688,0.00038967041928117396
158.43,438,240,0.36561212499999995,54571,0.0,17280,0.0003308901585228341
146.56,446,250,0.35562625000000014,55430,0.0,17712,7.587053914903663e-06
142.8,454,260,0.347105125,56163,0.0,18080,0.000660749833969021
131.55,463,270,0.3369681250000002,57035,0.0,18512,0.00046307156026159646
115.58,472,280,0.32694737500000015,57897,0.0,18944,0.00013538043583594117
102.99,479,290,0.31890287500000003,58589,0.0,19288,0.0003999621931143338
100.63,492,300,0.30470875,59810,0.0,19904,0.0002537723809155068
97.1,504,310,0.29064250000000025,61020,0.0,20504,6.572393147052935e-06
90.42,511,320,0.2837023750000002,61617,0.0,20808,0.000362497246555904
88.93,519,330,0.27491387499999986,62373,0.0,21184,0.00042318568512200727
81.68,524,340,0.26949662500000016,62839,0.0,21416,0.0004261746686324841
76.79,528,350,0.2651953750000001,63209,0.0,21600,0.00040422531986905597
75.67,534,360,0.25797625,63830,0.0,21912,0.00047127259580292957
74.45,542,370,0.24925750000000024,64580,0.0,22288,0.0003006364088378177
69.32,546,380,0.24520037499999991,64929,0.0,22464,0.0002761056051667765
68.69,553,390,0.23788825000000002,65558,0.0,22776,8.29718932209289e-05
61.01,558,400,0.23262212500000012,66011,0.0,23000,0.00023790203090356954
52.57,562,410,0.22836737500000004,66377,0.0,23184,0.00045009460779965593
