rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
-29.900000000000155,299.0,0.9302499999999999,10,3000,23,,
-29.90000000000016,299.0,0.8604999999999999,20,6000,46,,
-29.900000000000166,299.0,0.7907499999999998,30,9000,70,,
-29.900000000000155,299.0,0.7209999999999999,40,12000,97,992,1.0036889079856337e-05
-29.90000000000015,299.0,0.6512500000000003,50,15000,126,2496,4.6948813633207465e-05
-29.900000000000148,299.0,0.5815000000000001,60,18000,156,3992,5.722611831515678e-05
-29.900000000000148,299.0,0.5117500000000001,70,21000,186,5496,3.57244798578904e-05
-29.900000000000155,299.0,0.44200000000000006,80,24000,216,6992,4.0242786326416535e-05
-29.90000000000015,299.0,0.3722500000000001,90,27000,246,8496,3.788346464261849e-05
-29.90000000000015,299.0,0.3025,100,30000,278,9992,2.3203517685033148e-05
-29.90000000000015,299.0,0.2327499999999999,110,33000,309,11496,2.7226383735978743e-05
-29.90000000000015,299.0,0.16300000000000037,120,36000,340,12992,1.9757178051804658e-05
-29.90000000000015,299.0,0.09324999999999983,130,39000,372,14496,1.737302727633505e-05
-29.90000000000015,299.0,0.07,140,42000,404,15992,1.9932425175284152e-05
-29.90000000000015,299.0,0.07,150,45000,436,17496,2.4372833763663948e-05
-29.90000000000015,299.0,0.07,160,48000,467,18992,1.4829228689450247e-05
-29.90000000000015,299.0,0.07,170,51000,501,20496,0.00010340203317582564
-29.90000000000015,299.0,0.07,180,54000,535,21992,1.2262542327334813e-05
-29.90000000000015,299.0,0.07,190,57000,570,23496,0.00010964884563691157
-29.90000000000015,299.0,0.07,200,60000,603,24992,1.5389700138257467e-05
-29.90000000000015,299.0,0.07,210,63000,637,26496,1.722278250326781e-05
-29.90000000000015,299.0,0.07,220,66000,671,27992,1.696475487733551e-05
-29.90000000000015,299.0,0.07,230,69000,705,29496,1.8879550793826638e-05
-29.90000000000015,299.0,0.07,240,72000,738,30992,1.203434487706545e-05
-29.90000000000015,299.0,0.07,250,75000,772,32496,1.4122249581305368e-05
-29.90000000000015,299.0,0.07,260,78000,806,33992,1.4308410186458786e-05
-29.90000000000015,299.0,0.07,270,81000,840,35496,1.2579051940520003e-05
-29.90000000000015,299.0,0.07,280,84000,874,36992,1.282490109133505e-05
-29.90000000000015,299.0,0.07,290,87000,908,38496,1.0176161879371648e-05
-29.90000000000015,299.0,0.07,300,90000,942,39992,9.709574783300923e-06
-29.90000000000015,299.0,0.07,310,93000,977,41496,1.0427121992506727e-05
-29.90000000000015,299.0,0.07,320,96000,1011,42992,1.4992692854320921e-05
-29.90000000000015,299.0,0.07,330,99000,1045,44496,8.241194734637247e-06
-29.90000000000015,299.0,0.07,340,102000,1078,45992,8.883807424808765e-06
-29.90000000000015,299.0,0.07,350,105000,1114,47496,8.32381471127519e-06
-29.90000000000015,299.0,0.07,360,108000,1151,48992,7.932812593480776e-06
-29.90000000000015,299.0,0.07,370,111000,1184,50496,7.139006584111485e-06
-29.90000000000015,299.0,0.07,380,114000,1215,51992,6.690656334740197e-06
-29.90000000000015,299.0,0.07,390,117000,1248,53496,1.4009187225383357e-05
-29.90000000000015,299.0,0.07,400,120000,1280,54992,4.923619172814142e-06
-29.90000000000015,299.0,0.07,410,123000,1313,56496,6.52116511901113e-06
-29.90000000000015,299.0,0.07,420,126000,1345,57992,5.337363887747415e-06
-29.90000000000015,299.0,0.07,430,129000,1378,59496,7.934990208013915e-06
-29.90000000000015,299.0,0.07,440,132000,1410,60992,5.691719792366712e-06
-29.90000000000015,299.0,0.07,450,135000,1443,62496,6.321478622339782e-06
-29.90000000000015,299.0,0.07,460,138000,1476,63992,1.0159904604734038e-05
-29.90000000000015,299.0,0.07,470,141000,1510,65496,6.390914620624244e-06
-29.90000000000015,299.0,0.07,480,144000,1542,66992,0.0008450541438378423
-29.90000000000015,299.0,0.07,490,147000,1575,68496,5.083210879774924e-06
-29.90000000000015,299.0,0.07,500,150000,1610,69992,2.377918156071246e-05
-29.90000000000015,299.0,0.07,510,153000,1644,71496,4.672310609521446e-06
-29.90000000000015,299.0,0.07,520,156000,1677,72992,1.2092244674022368e-05
-29.90000000000015,299.0,0.07,530,159000,1710,74496,4.262982201908017e-06
-29.90000000000015,299.0,0.07,540,162000,1743,75992,3.1064180063822278e-06
-29.90000000000015,299.0,0.07,550,165000,1776,77496,4.892558791880219e-06
-29.90000000000015,299.0,0.07,560,168000,1809,78992,1.7973997898934613e-05
-29.90000000000015,299.0,0.07,570,171000,1843,80496,4.437741750962232e-06
-29.90000000000015,299.0,0.07,580,174000,1876,81992,8.236859628141247e-06
-29.90000000000015,299.0,0.07,590,177000,1909,83496,3.5645933280648023e-06
-29.90000000000015,299.0,0.07,600,180000,1943,84992,4.966081633028807e-06
-29.90000000000015,299.0,0.07,610,183000,1976,86496,3.149067367758107e-06
-29.90000000000015,299.0,0.07,620,186000,2009,87992,3.3792902911500278e-06
-29.90000000000015,299.0,0.07,630,189000,2043,89496,9.166730032461601e-05
-29.90000000000015,299.0,0.07,640,192000,2077,90992,8.46637267954975e-05
-29.90000000000015,299.0,0.07,650,195000,2111,92496,4.105399227682938e-06
-29.90000000000015,299.0,0.07,660,198000,2145,93992,2.569909938188175e-06
