rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9721,10,42,299.0,3000,-2.9899999999999802,,
0.9441999999999999,20,85,299.0,6000,-2.9899999999999802,,
0.9162999999999999,30,129,299.0,9000,-2.9899999999999802,,
0.8883999999999999,40,175,299.0,12000,-2.9899999999999802,1.5889753797182493e-06,992
0.8605,50,224,299.0,15000,-2.9899999999999802,8.014355614704982e-07,2496
0.8326,60,272,299.0,18000,-2.9899999999999802,5.031467722460548e-07,3992
0.8047000000000001,70,321,299.0,21000,-2.9899999999999802,4.303217231438339e-07,5496
0.7768,80,370,299.0,24000,-2.9899999999999802,4.945032721082043e-07,6992
0.7489,90,418,299.0,27000,-2.9899999999999793,5.203023754063452e-07,8496
0.721,100,467,299.0,30000,-2.989999999999979,4.2095823005183775e-07,9992
0.6930999999999999,110,516,299.0,33000,-2.989999999999979,5.315892543933387e-07,11496
0.6652000000000001,120,565,299.0,36000,-2.989999999999979,4.488259328638833e-07,12992
0.6373,130,615,299.0,39000,-2.989999999999979,5.364547490671612e-07,14496
0.6094000000000002,140,664,299.0,42000,-2.989999999999979,6.680043682649739e-07,15992
0.5815000000000001,150,714,299.0,45000,-2.989999999999979,7.64004525422024e-07,17496
0.5536000000000001,160,8150,299.0,48000,-2.989999999999979,5.927400650307391e-07,18992
0.5257000000000001,170,8202,299.0,51000,-2.989999999999979,7.271853732504496e-07,20496
0.4978,180,8254,299.0,54000,-2.989999999999979,8.16039197104601e-07,21992
0.4699000000000002,190,8305,299.0,57000,-2.989999999999979,9.287689977099944e-07,23496
0.44199999999999995,200,8357,299.0,60000,-2.989999999999979,6.692386449458354e-07,24992
0.41410000000000013,210,8409,299.0,63000,-2.989999999999979,8.154844906016478e-07,26496
0.3861999999999999,220,8462,299.0,66000,-2.989999999999979,6.71186782597033e-07,27992
0.35830000000000006,230,8512,299.0,69000,-2.989999999999979,2.045716193777025e-06,29496
0.3304,240,8563,299.0,72000,-2.989999999999979,8.719920501221168e-07,30992
0.3025,250,8615,299.0,75000,-2.989999999999979,9.57985207605816e-07,32496
0.27460000000000007,260,8666,299.0,78000,-2.989999999999979,9.210862756958704e-07,33992
0.24670000000000003,270,8718,299.0,81000,-2.989999999999979,7.563506372321172e-07,35496
0.21880000000000022,280,8771,299.0,84000,-2.989999999999979,1.0880552068215366e-06,36992
0.19089999999999996,290,8823,299.0,87000,-2.989999999999979,7.996348472261161e-07,38496
0.16300000000000014,300,8875,299.0,90000,-2.989999999999979,1.523454912444322e-06,39992
0.1350999999999999,310,8927,299.0,93000,-2.989999999999979,1.0238181644695032e-06,41496
0.10720000000000007,320,8980,299.0,96000,-2.989999999999979,2.8669235518918867e-06,42992
0.07930000000000004,330,9032,299.0,99000,-2.989999999999979,1.4986926046844928e-06,44496
0.07,340,9085,299.0,102000,-2.989999999999979,1.2351332330240439e-06,45992
0.07,350,9138,299.0,105000,-2.989999999999979,8.607255352899301e-07,47496
0.07,360,9190,299.0,108000,-2.989999999999979,3.6327194692375997e-06,48992
0.07,370,9242,299.0,111000,-2.989999999999979,1.1062998837019222e-06,50496
0.07,380,9294,299.0,114000,-2.989999999999979,1.7935318794570776e-06,51992
0.07,390,9346,299.0,117000,-2.989999999999979,9.232876578835203e-07,53496
0.07,400,9398,299.0,120000,-2.989999999999979,3.948562600442074e-06,54992
0.07,410,9449,298.49,122949,-2.9848999999999792,3.371277514929716e-06,56472
0.07,420,9500,298.49,125949,-2.9848999999999797,4.765661984151848e-06,57968
0.07,430,9552,298.49,128949,-2.9848999999999792,7.268909001822976e-06,59472
0.07,440,9604,298.49,131949,-2.9848999999999792,9.93875246990683e-06,60968
0.07,450,9656,298.49,134949,-2.9848999999999792,7.991309871613339e-06,62472
0.07,460,9708,298.49,137949,-2.9848999999999797,2.146143668824152e-05,63968
0.07,470,9760,298.49,140949,-2.9848999999999797,0.00010823534557857784,65472
0.07,480,9811,298.49,143949,-2.9848999999999797,0.0004318479768699035,66968
0.07,490,9863,298.49,146949,-2.9848999999999797,3.989836341133923e-05,68472
0.07,500,9914,297.75,149875,-2.9774999999999796,2.924832074313599e-05,69936
0.07,510,9965,297.71,152820,-2.9770999999999788,0.00011851903809656505,71408
0.07,520,10017,297.71,155820,-2.977099999999979,0.000998334700398118,72904
0.07,530,10073,297.71,158820,-2.9770999999999788,6.784535321457952e-05,74408
0.07,540,10129,297.71,161820,-2.9770999999999788,0.0061093171179891215,75904
0.07,550,10185,297.71,164820,-2.9770999999999788,0.008425449064816348,77408
0.07,560,10242,297.71,167820,-2.977099999999979,0.0045420123233270715,78904
0.07,570,10296,296.32,170681,-2.96319999999998,0.0005243923214948154,80336
0.07,580,10350,295.05,173554,-2.9504999999999804,0.0018460789860910154,81776
0.07,590,10398,290.75,176124,-2.90749999999998,0.003838969270873349,83056
0.07,600,10449,288.49,178824,-2.8848999999999814,0.006630152302022907,84408
0.07,610,10502,287.66,181686,-2.8765999999999816,0.0004410804758663289,85840
0.07,620,10550,283.59,184279,-2.8358999999999823,0.0011409961007302627,87136
0.07,630,10604,283.59,187279,-2.8358999999999814,0.006622389548283536,88632
0.07,640,10658,283.59,190279,-2.8358999999999823,0.01424397992741433,90136
0.07,650,10713,283.59,193279,-2.8358999999999814,0.001245740906597348,91632
0.07,660,10768,283.59,196279,-2.8358999999999823,0.002753747976385057,93136
0.07,670,10824,284.98,199279,-2.8497999999999815,0.0038187562313396484,94632
