time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,train/loss,train/n_updates
3000,299.0,19,0.965125,10,-27.083688369107527,,
6000,299.0,40,0.9302499999999999,20,-27.926132722870115,,
9000,299.0,61,0.8953749999999999,30,-28.13284317097958,,
12000,299.0,82,0.8604999999999999,40,-28.3112763722824,,
15000,299.0,103,0.8256250000000002,50,-28.629021097825948,,
18000,299.0,124,0.7907500000000001,60,-28.724577298113797,,
21000,299.0,147,0.7558750000000001,70,-27.10573901547054,0.0046809890527583775,496
24000,299.0,173,0.7210000000000001,80,-23.393563590641595,0.011530889372806996,1992
27000,299.0,200,0.6861250000000001,90,-13.9840252278669,0.05886963033117354,3496
30000,299.0,227,0.65125,100,-2.8440422068998776,0.17095253616571426,4992
33000,299.0,254,0.6163749999999999,110,9.973435098554795,0.27838155068457127,6496
36000,299.0,281,0.5815000000000001,120,23.406356262657855,0.3048583082854748,7992
39000,299.0,309,0.5466249999999999,130,39.75626802171587,0.38768739998340607,9496
42000,299.0,336,0.5117500000000001,140,56.70058952703546,0.7597545236349106,10992
44852,297.52,362,0.47859550000000006,150,75.18195957986825,0.8643626943230629,12424
47604,295.04,387,0.44660350000000004,160,94.52117545618903,0.8211939856410027,13800
50073,289.73,410,0.41790137500000013,170,110.77625093998164,0.9737690389156342,15032
52196,280.96,429,0.3932215000000001,180,121.6402755078853,1.0430415496230125,16096
55015,279.15,455,0.36045062500000014,190,130.48429929278143,1.2705061957240105,17504
57759,276.59,481,0.328551625,200,136.84267223685015,1.4898470342159271,18872
60759,276.59,509,0.293676625,210,145.42175480903882,1.4425990879535675,20376
63648,275.48,536,0.260092,220,151.49696678602027,1.626975417137146,21816
66648,275.48,564,0.22521700000000022,230,157.83978741472964,1.596327766776085,23320
69648,275.48,592,0.19034200000000012,240,162.90357247541166,1.7754463702440262,24816
72648,276.96,621,0.15546700000000013,250,167.9809317261417,2.016442745923996,26320
75473,277.69,648,0.12262637500000018,260,169.81375282825576,2.075883135199547,27736
78473,283.0,676,0.08775137499999985,270,175.1439454261157,2.0864197611808777,29232
81473,291.77,705,0.07,280,184.5022136734811,1.9617570042610168,30736
84473,293.58,734,0.07,290,189.98603441261483,1.9680971056222916,32232
87362,295.03,762,0.07,300,193.70284336065427,2.159197047352791,33680
90362,295.03,791,0.07,310,196.3856364521129,1.7056500166654587,35176
93362,296.14,820,0.07,320,201.22401635070113,2.8113612234592438,36680
96362,296.14,849,0.07,330,201.8382261171721,2.0530309677124023,38176
99362,296.14,878,0.07,340,202.73726474866115,2.472734808921814,39680
102362,296.14,907,0.07,350,202.95567935199574,2.1182203888893127,41176
105362,297.89,935,0.07,360,205.02405312577682,2.5462042093276978,42680
108302,297.29,964,0.07,370,205.67813512090666,2.030090034008026,44144
111302,297.29,992,0.07,380,206.43447006587715,1.9577474370598793,45648
114302,297.29,1021,0.07,390,206.97386426233362,2.670202910900116,47144
117302,298.4,1050,0.07,400,207.7870576595684,2.4126445204019547,48648
120302,298.4,1079,0.07,410,206.03354493497997,2.7535365372896194,50144
123302,298.4,1108,0.07,420,205.41394466144146,2.696088060736656,51648
126302,298.4,1136,0.07,430,205.67917079581144,3.0601926892995834,53144
129302,298.4,1165,0.07,440,205.2603065977619,2.7440783977508545,54648
132302,298.4,1194,0.07,450,204.8243409177962,2.060574948787689,56144
135302,298.4,1223,0.07,460,205.10054517245132,1.900109276175499,57648
138302,299.0,1252,0.07,470,203.64381597800772,1.8178093954920769,59144
141302,299.0,1281,0.07,480,202.23926407154894,2.483993172645569,60648
144302,299.0,1310,0.07,490,201.91231472469252,2.0736604183912277,62144
147302,299.0,1339,0.07,500,200.14111624074377,2.0633709654212,63648
150302,299.0,1367,0.07,510,198.57870532111184,1.8711498975753784,65144
153302,299.0,1397,0.07,520,198.41635995440123,1.6386927515268326,66648
156302,299.0,1426,0.07,530,194.98468384224128,1.4736355282366276,68144
159111,297.09,1453,0.07,540,193.30465533536054,1.8871116638183594,69552
161944,295.42,1481,0.07,550,191.06311181615342,1.8155741468071938,70968
164780,293.78,1508,0.07,560,189.34395252231351,1.3022440038621426,72384
167780,293.78,1537,0.07,570,186.93172930344952,1.7576700150966644,73888
170653,292.51,1564,0.07,580,185.07580409276517,1.9462199211120605,75320
173594,291.92,1593,0.07,590,184.88629242691815,2.1283063888549805,76792
176264,288.62,1618,0.07,600,182.27201037158582,1.6238651275634766,78128
179264,288.62,1647,0.07,610,183.95606764071638,1.830191895365715,79624
182203,288.01,1675,0.07,620,182.82256046650357,1.5230804681777954,81096
185063,286.61,1702,0.07,630,183.30217788489722,1.4631378799676895,82528
187930,287.19,1729,0.07,640,182.97575737175652,1.7658136188983917,83960
190738,286.94,1756,0.07,650,184.21845106698288,1.9323486238718033,85368
193710,288.3,1785,0.07,660,180.01398508919632,1.839943528175354,86848
196659,287.79,1813,0.07,670,178.66311215495392,2.2867637425661087,88328
199659,289.06,1842,0.07,680,181.3035075889867,2.0403959304094315,89824
