time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates
22,10,0.965125,3000,-288.18516823893634,299.0,,
42,20,0.9302499999999999,6000,-289.3350414143855,299.0,,
61,30,0.89744425,8822,-277.21107169273785,293.06666666666666,,
82,40,0.86256925,11822,-282.65830376955336,294.55,,
103,50,0.82769425,14822,-285.9266430156427,295.44,,
124,60,0.79281925,17822,-288.1055358463689,296.03333333333336,,
147,70,0.75794425,20822,-288.4899363001875,296.45714285714286,0.006941672909306362,408
170,80,0.7282772499999999,23374,-275.16284402600434,291.175,0.04591487115249038,1680
197,90,0.6934022500000001,26374,-269.29665861329124,292.0444444444444,0.11423537926748395,3184
224,100,0.6585272499999999,29374,-265.85818677726775,292.74,0.2160806143656373,4680
253,110,0.6236522500000001,32374,-256.8134486516509,292.74,0.3324672617018223,6184
282,120,0.5892887500000001,35330,-243.38953214681464,292.3,0.5054371617734432,7664
305,130,0.5613190000000001,37736,-232.52320605676397,288.14,0.4263331666588783,8864
319,140,0.54371875,39250,-210.81153582762545,273.28,0.5296768955886364,9624
339,150,0.5192829999999999,41352,-192.49531695909718,264.3,0.8235524073243141,10672
355,160,0.4997646250000001,43031,-171.50223707011494,251.09,0.6722046583890915,11512
366,170,0.48568675000000006,44242,-149.5888139727498,233.2,0.7437143437564373,12120
377,180,0.47201574999999996,45418,-136.78587117133887,219.44,0.8569988161325455,12704
389,190,0.4569730000000001,46712,-122.5473051112861,202.38,0.9142203852534294,13352
400,200,0.4434531250000001,47875,-104.87898672921287,184.01,1.2691260017454624,13936
410,210,0.43121200000000015,48928,-90.57322135846152,164.54,1.1319416165351868,14456
422,220,0.41584375000000007,50250,-81.46852569992124,148.2,1.1352726593613625,15120
432,230,0.40393975000000015,51274,-72.82481022359264,134.38,1.1503751426935196,15632
441,240,0.3930703750000002,52209,-69.28685897686418,128.59,1.0678787752985954,16104
449,250,0.38282875000000016,53090,-62.65916166740953,116.38,1.4748065769672394,16544
457,260,0.373191625,53919,-58.30892424146046,107.88,1.3045999854803085,16952
465,270,0.362473375,54841,-55.408646413082,104.99,1.2779849767684937,17416
473,280,0.3530803749999999,55649,-54.402996350650156,101.31,1.613361731171608,17824
489,290,0.3328761250000002,57387,-54.33569210080453,105.75,1.460308127105236,18688
502,300,0.31791475,58674,-56.16536605792714,106.99,1.3024552091956139,19336
514,310,0.30246512500000033,60003,-56.003669365744244,109.75,1.6395263224840164,20000
526,320,0.28764325000000024,61278,-55.0497427023437,109.28,1.6520839631557465,20632
537,330,0.2745302500000001,62406,-54.51231314125938,110.32,1.7250913232564926,21200
547,340,0.26096387499999996,63573,-54.08883809383622,112.64,1.9174236208200455,21784
558,350,0.2472463749999999,64753,-52.68564031203325,115.63,2.0855583399534225,22376
568,360,0.23599337499999995,65721,-51.741415007788504,117.02,1.9058169275522232,22856
581,370,0.21856749999999991,67220,-51.318207735160506,122.79,2.2335792779922485,23608
591,380,0.2070238750000002,68213,-50.40030283468523,124.64,2.1755280941724777,24104
601,390,0.19464325000000016,69278,-45.63551783666423,117.91,1.909101814031601,24632
613,400,0.1795307500000003,70578,-40.88005025169544,118.04,1.9191436022520065,25288
622,410,0.16877762500000004,71503,-38.6344114150118,114.0,1.9684353470802307,25744
632,420,0.15657137500000018,72553,-36.99087603507505,111.75,1.9930402487516403,26272
644,430,0.14262137500000005,73753,-35.30427092814166,112.47,2.3039883375167847,26872
652,440,0.13301912500000013,74579,-33.96684276699861,109.06,1.8779639974236488,27288
662,450,0.12054549999999997,75652,-33.978220651033716,107.99,2.08134488761425,27824
670,460,0.11069912500000001,76499,-34.318493008261065,106.78,1.8882553726434708,28248
684,470,0.09385450000000017,77948,-34.22507629120391,106.28,2.141898989677429,28968
701,480,0.07428962499999991,79631,-34.13759913965246,113.18,2.0894133001565933,29808
720,490,0.07,81662,-35.56483440714699,122.84,2.287182003259659,30824
736,500,0.07,83275,-36.321182683293934,125.97,1.957888975739479,31632
749,510,0.07,84646,-36.94152395850372,130.43,2.1065201312303543,32320
764,520,0.07,86247,-36.91742318685726,135.94,1.950131043791771,33120
776,530,0.07,87492,-36.33893540527451,136.39,1.8504132106900215,33744
786,540,0.07,88476,-36.32453850492458,137.97,2.3870661854743958,34232
794,550,0.07,89348,-35.88741981746456,135.96,2.6358627527952194,34672
803,560,0.07,90267,-35.46772976526681,136.68,2.236084520816803,35128
812,570,0.07,91159,-34.137828874215955,131.11,2.04498054087162,35576
821,580,0.07,92129,-33.49992598768275,123.98,1.8572266846895218,36064
833,590,0.07,93340,-32.19527707119298,115.78,2.1441553086042404,36664
841,600,0.07,94204,-31.00969639751992,108.29,2.441957488656044,37096
857,610,0.07,95876,-31.053989457824418,111.3,1.9764801114797592,37936
875,620,0.07,97736,-29.9918861852952,113.89,2.382127657532692,38864
888,630,0.07,99172,-30.155194389780476,115.8,2.294835388660431,39584
900,640,0.07,100389,-29.97006150974583,118.13,1.9325206130743027,40192
917,650,0.07,102189,-30.335830663735614,127.41,2.0215528905391693,41088
930,660,0.07,103540,-30.36311638541059,131.73,1.9917376637458801,41768
947,670,0.07,105248,-31.499946093706736,139.89,2.543572247028351,42616
960,680,0.07,106580,-31.651744022810295,143.51,2.2156021147966385,43288
980,690,0.07,108742,-31.879734900411833,153.02,2.424829736351967,44368
995,700,0.07,110296,-32.86808764254142,159.92,2.170202076435089,45144
1013,710,0.07,112257,-33.16249963616068,162.81,2.6772839725017548,46128
1026,720,0.07,113550,-33.66320870248864,157.14,1.9322091713547707,46768
1041,730,0.07,115052,-34.6013476058327,157.8,2.5226648449897766,47520
1060,740,0.07,117087,-36.15912001751388,165.98,2.318954646587372,48536
1071,750,0.07,118140,-36.89673310933639,158.51,2.413307785987854,49064
1082,760,0.07,119268,-36.901738578456396,156.28,2.6067674458026886,49632
1092,770,0.07,120304,-36.182075414484856,149.56,2.6184422969818115,50144
1104,780,0.07,121528,-38.98732178087896,148.48,2.4384978115558624,50760
1117,790,0.07,122912,-40.147717101126275,140.7,2.2346809655427933,51448
1130,800,0.07,124181,-43.18653846395855,137.85,1.953534223139286,52088
1144,810,0.07,125639,-46.29072557396892,132.82,2.167222246527672,52816
1157,820,0.07,126901,-52.71457373244601,132.51,2.62409844994545,53448
1175,830,0.07,128765,-63.57240924593938,136.13,3.0346736311912537,54376
1181,840,0.07,129315,-62.59538777348323,121.28,3.0326038002967834,54656
1186,850,0.07,129901,-61.041640479753234,116.61,2.5870256274938583,54944
1193,860,0.07,130560,-60.09000197375144,111.92,3.380541503429413,55272
1197,870,0.07,131031,-59.338946897008285,106.27,2.5589170902967453,55512
1203,880,0.07,131582,-56.20818462603007,99.54,2.732593148946762,55784
1209,890,0.07,132168,-54.09739105249784,91.56,3.248398169875145,56080
1214,900,0.07,132733,-50.35280010519763,84.52,2.4947428554296494,56360
1221,910,0.07,133385,-46.17911299694988,76.46,2.5812386572360992,56688
1226,920,0.07,133938,-39.22777442893741,69.37,3.2275896966457367,56968
1231,930,0.07,134433,-26.443056622078508,55.68,3.424216315150261,57216
1242,940,0.07,135558,-29.057456420209757,61.43,2.11133049428463,57776
1249,950,0.07,136231,-29.466564524260708,62.3,2.1858984977006912,58112
1259,960,0.07,137280,-31.688078846306897,66.2,2.4685096591711044,58632
1269,970,0.07,138218,-33.79613246265709,70.87,2.4175790697336197,59104
1274,980,0.07,138757,-34.1071625827813,70.75,2.6033690720796585,59376
1288,990,0.07,140216,-35.04128556588547,79.48,2.6217257380485535,60104
1299,1000,0.07,141265,-35.8267905998128,84.32,2.285865291953087,60632
1309,1010,0.07,142368,-36.11974691593288,88.83,2.517402231693268,61176
1318,1020,0.07,143193,-36.44385914758245,91.55,1.923352837562561,61592
1322,1030,0.07,143706,-36.244831612492284,91.73,2.1922030597925186,61848
1330,1040,0.07,144519,-33.56397746663089,88.61,1.3605092018842697,62256
1338,1050,0.07,145322,-33.200318288176746,89.91,2.4331246316432953,62656
1348,1060,0.07,146358,-31.013396933615933,89.78,2.237451449036598,63176
1353,1070,0.07,146867,-29.427733436624095,85.49,2.4589245915412903,63432
1372,1080,0.07,148840,-30.094269619270282,99.83,1.8845675736665726,64416
1389,1090,0.07,150686,-29.713755881630444,103.7,1.9112673252820969,65336
1413,1100,0.07,153222,-30.283725519560935,118.57,1.5548891872167587,66608
1438,1110,0.07,155924,-30.65841475077564,134.56,1.7684377804398537,67960
1463,1120,0.07,158503,-32.7974684023852,152.1,1.1978804692626,69248
1486,1130,0.07,160945,-36.30391953897543,171.39,1.5781255066394806,70472
1510,1140,0.07,163559,-38.75599079845264,189.4,1.3159459605813026,71776
1530,1150,0.07,165639,-40.858671288367674,202.17,1.057985134422779,72816
1553,1160,0.07,168079,-43.49112374235128,216.21,0.8002285473048687,74032
1568,1170,0.07,169574,-45.92445507319665,226.07,0.8471860811114311,74784
1584,1180,0.07,171262,-52.57778984259521,223.22,0.8744837045669556,75624
1599,1190,0.07,172839,-55.054611905101,220.53,0.8122797906398773,76416
1612,1200,0.07,174213,-55.70769280603943,208.91,0.744819201529026,77104
