rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
0.965125,10,-268.5627888538539,3000,299.0,24,,
0.9302499999999999,20,-281.4408453838267,6000,299.0,46,,
0.8953749999999999,30,-283.91146848425,9000,299.0,69,,
0.8604999999999999,40,-282.6043405645683,12000,299.0,91,,
0.8256250000000002,50,-282.4078791801077,15000,299.0,113,,
0.7907500000000001,60,-283.28681179319864,18000,299.0,136,,
0.7558750000000001,70,-285.4638855037717,21000,299.0,161,496,0.013588967733085155
0.7210000000000001,80,-281.3001259080369,24000,299.0,189,1992,0.05506147426785901
0.6861250000000001,90,-279.2803429973389,27000,299.0,216,3496,0.09965030150488019
0.65125,100,-277.3721930128749,30000,299.0,243,4992,0.2492909450083971
0.6163749999999999,110,-272.7985474108416,33000,299.0,271,6496,0.3634755127131939
0.5815000000000001,120,-265.1830864078597,36000,299.0,299,7992,0.3969535045325756
0.5466249999999999,130,-257.43498830951404,39000,299.0,327,9496,0.6316508315503597
0.5153421249999999,140,-244.7834452190193,41691,295.91,352,10840,0.7173428311944008
0.48741887500000003,150,-227.43226326601524,44093,289.93,375,12040,0.9961921200156212
0.4645408750000001,160,-208.46956507691604,46061,279.61,393,13024,0.7900668755173683
0.4490679999999999,170,-185.80367817268205,47392,262.92,406,13688,0.772217620164156
0.43238612500000007,180,-166.60844844322656,48827,247.27,419,14408,1.2052085995674133
0.4171108750000002,190,-148.14883818290053,50141,230.41,432,15064,1.156738206744194
0.40463725000000006,200,-127.90503039152033,51214,211.14,442,15600,1.2445907443761826
0.3911173750000002,210,-109.91648620472618,52377,192.77,453,16184,1.5814777463674545
0.38059675000000004,220,-92.7202753329275,53282,171.82,462,16640,1.440096341073513
0.36798362500000004,230,-75.51444875373572,54367,152.67,472,17176,1.3991680592298508
0.35297575000000025,240,-65.71256963923034,55658,138.67,484,17824,1.49826455488801
0.3417808750000002,250,-59.07273934345422,56621,124.28,493,18304,1.384525127708912
0.32554075000000016,260,-54.67730105685068,58018,118.57,507,19008,1.5978090912103653
0.3105445,270,-52.25261611340873,59308,118.16,519,19648,1.7544156610965729
0.30245350000000015,280,-49.508548556159106,60004,110.77,525,20000,1.6847807317972183
0.28348150000000005,290,-47.724607912857024,61636,113.95,541,20816,1.8746063113212585
