time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/loss,train/n_updates
23,0.965125,-126.60152238150447,3000,299.0,10,,
44,0.9302499999999999,-145.06400886733937,6000,299.0,20,,
64,0.895561,-140.3374281472175,8984,298.46666666666664,30,,
73,0.8807507499999999,-114.3172629393866,10258,255.45,40,,
91,0.8508396250000001,-119.91028758599913,12831,255.62,50,,
113,0.8159646250000001,-126.05307825198572,15831,262.85,60,,
135,0.7810896250000001,-136.07623686409437,18831,268.01428571428573,70,,
161,0.746214625,-139.8977408946584,21831,271.8875,80,0.017258142353966832,912
186,0.7137925,-139.2531743733362,24620,272.55555555555554,90,0.08934885589405894,2304
210,0.6817074999999999,-140.24044013692588,27380,272.8,100,0.021783409640192986,3688
235,0.6493435000000001,-137.63227099898447,30164,270.64,110,0.04110075056087226,5080
258,0.62100175,-129.57745391172625,32602,265.02,120,0.028677393100224435,6296
284,0.58612675,-125.56716512806064,35602,265.18,130,0.017951685120351613,7800
311,0.553216375,-130.44653763468423,38433,280.75,140,0.03155955020338297,9216
335,0.521701,-125.59776601158333,41144,282.13,150,0.029111707117408514,10568
360,0.48884875000000005,-117.0389952062742,43970,280.39,160,0.04147691000252962,11984
388,0.45397375000000006,-105.36697630271772,46970,280.39,170,0.06844605877995491,13480
413,0.42808487500000003,-99.02496293228342,49197,272.66,180,0.05373792117461562,14592
428,0.4146580000000001,-88.57605403901601,50352,256.32,190,0.05934940092265606,15168
437,0.40578812500000006,-75.05377024366999,51115,236.35,200,0.09940683376044035,15552
444,0.3994525000000001,-65.96341386021767,51660,213.96,210,0.08804734982550144,15824
454,0.389652625,-59.22445868596519,52503,198.01,220,0.100856504868716,16248
467,0.3779811249999999,-51.79102361505289,53507,178.05,230,0.07426307629793882,16752
478,0.3681231250000001,-44.716382319101115,54355,158.22,240,0.13190072774887085,17176
486,0.3606250000000001,-36.18605529389151,55000,137.56,250,0.07308645360171795,17496
492,0.3551263750000001,-30.04833530249637,55473,114.03,260,0.16466295067220926,17736
508,0.34086250000000007,-24.29214375657126,56700,96.3,270,0.07923933491110802,18344
521,0.3304697499999999,-15.64591814357819,57594,82.97,280,0.11634181346744299,18792
546,0.30599912500000015,-17.62820332176285,59699,92.47,290,0.12510187271982431,19848
579,0.2734956249999999,-24.457235723389104,62495,112.8,300,0.20204698387533426,21240
592,0.2595921250000002,-26.15809942252825,63691,119.31,310,0.17888117115944624,21840
621,0.22814650000000014,-32.63269140566146,66396,137.93,320,0.1346356449648738,23192
651,0.1965148750000001,-40.93525528909982,69117,155.1,330,0.15709159150719643,24552
674,0.17238137500000017,-46.21633643615372,71193,167.38,340,0.15470047295093536,25592
703,0.14217962500000025,-54.581938121033375,73791,186.91,350,0.15006451774388552,26888
741,0.11024575000000025,-66.01402657402706,76538,209.65,360,0.20053208619356155,28264
775,0.07537075000000015,-74.03253761379378,79538,227.38,370,0.2596030458807945,29768
807,0.07,-83.13679072803895,82470,247.76,380,0.22919408790767193,31232
835,0.07,-85.12028268352839,84843,250.44,390,0.2299183513969183,32416
872,0.07,-88.65102935571663,87843,252.48,400,0.3767652530223131,33920
906,0.07,-94.64514551485959,90588,267.97,410,0.303604181855917,35288
938,0.07,-93.2457594507078,93294,267.98,420,0.3033576179295778,36640
973,0.07,-95.71885470405557,96294,270.77,430,0.3372900038957596,38144
1004,0.07,-95.68958658022835,98794,275.01,440,0.33138927072286606,39392
1026,0.07,-88.9695329949155,100587,266.96,450,0.3633006140589714,40288
1041,0.07,-78.23307662232642,101796,251.58,460,0.34262073412537575,40896
1052,0.07,-69.59057367992995,102854,232.16,470,0.40259483456611633,41424
1069,0.07,-62.04289298663055,104510,219.4,480,0.35145631432533264,42248
1096,0.07,-61.869470149531956,107243,223.0,490,0.3636933043599129,43616
1123,0.07,-57.536626210210954,109967,220.24,500,0.3618274852633476,44976
1145,0.07,-54.993973131591865,112194,215.06,510,0.487848199903965,46096
1170,0.07,-57.44861166153371,114792,213.98,520,0.3887843042612076,47392
1193,0.07,-49.64740876047424,117042,206.48,530,0.4670592322945595,48520
1220,0.07,-52.73556387146962,119840,209.46,540,0.45061076432466507,49912
1249,0.07,-59.140079061889644,122840,221.53,550,0.6105418168008327,51416
1275,0.07,-62.59159281128599,125458,235.62,560,0.5179515741765499,52728
1305,0.07,-72.23958025720437,128458,255.04,570,0.5698562115430832,54224
1320,0.07,-71.74253516558589,129930,253.2,580,0.4931401126086712,54960
1345,0.07,-71.37328808551617,132497,251.54,590,0.6079980134963989,56248
1374,0.07,-72.68697138169921,135497,254.3,600,0.6462847962975502,57744
1403,0.07,-73.8106502098994,138497,262.03,610,0.6309151016175747,59248
1429,0.07,-71.11971561858331,141162,262.7,620,0.6581591889262199,60576
1455,0.07,-74.13918189058187,143899,267.57,630,0.7571853287518024,61944
1479,0.07,-69.51868795575615,146404,264.64,640,0.6105175130069256,63200
1501,0.07,-67.18626094508274,148777,258.37,650,0.5904371477663517,64384
1529,0.07,-70.84258378778237,151675,261.17,660,0.7193105779588223,65832
1557,0.07,-69.59171889491549,154633,260.75,670,0.7094425857067108,67312
1582,0.07,-77.50915071289171,157206,271.76,680,0.7376808524131775,68600
1611,0.07,-81.60899158111327,160204,276.07,690,0.7199634984135628,70096
1637,0.07,-84.24533531849336,162957,273.6,700,0.8274211585521698,71472
1657,0.07,-83.14239854994625,165042,264.45,710,0.7485763281583786,72520
1682,0.07,-84.01968299260403,167662,264.0,720,0.7674435675144196,73824
1708,0.07,-85.13819261279167,170304,263.05,730,0.9355755746364594,75144
1736,0.07,-89.24488224280947,173193,266.89,740,0.9208997040987015,76592
1759,0.07,-90.72965086060944,175667,267.9,750,0.8440316617488861,77832
1781,0.07,-86.7465855929446,177858,260.83,760,0.8888561427593231,78928
1799,0.07,-81.4567174679395,179782,250.49,770,0.8846796080470085,79888
1820,0.07,-76.85390451438337,181932,246.26,780,0.9386672377586365,80960
1844,0.07,-76.73456094127023,184450,241.46,790,0.9095340371131897,82224
1866,0.07,-71.23623896116207,186748,236.91,800,1.1116007342934608,83368
1891,0.07,-72.522445394915,189283,241.41,810,0.9443843066692352,84640
1915,0.07,-71.69378824295367,191751,239.89,820,1.0423290506005287,85872
1936,0.07,-69.28255031615313,194015,236.11,830,0.9987498074769974,87000
1957,0.07,-65.27522853521472,196195,229.02,840,1.038596659898758,88096
1979,0.07,-64.81093408182905,198482,227.15,850,1.1531647816300392,89240
