time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates
3000,-168.44850804227312,25,10,299.0,0.4915625,,
6000,-163.1241063545566,49,20,299.0,0.48312499999999997,,
9000,-172.558273061332,72,30,299.0,0.4746875,,
12000,-166.01666780129796,99,40,299.0,0.46624999999999994,0.009251842857338488,992
14127,-148.47764867984853,118,50,281.54,0.4602678125,0.008217107446398586,2056
16888,-136.85435639765583,143,60,280.46666666666664,0.45250250000000003,0.01123521919362247,3440
19563,-130.26404914696818,168,70,278.4714285714286,0.4449790625,0.008538414549548179,4776
21970,-122.522190300233,189,80,273.625,0.438209375,0.01091082172933966,5984
23437,-112.32054981024484,203,90,259.4111111111111,0.4340834375,0.042768853483721614,6712
24503,-103.57212573403984,212,100,244.03,0.4310853125,0.04725838906597346,7248
25484,-89.13569454537111,221,110,223.84,0.42832625,0.016999161336570978,7736
27714,-80.24147657255774,242,120,216.14,0.42205437500000004,0.04026144929230213,8856
30714,-70.35892219272269,270,130,216.14,0.413616875,0.02952553308568895,10352
32660,-60.396772028544575,287,140,205.6,0.40814375,0.06573888729326427,11328
33200,-53.95964409694872,292,150,189.73,0.406625,0.06918224273249507,11592
33952,-47.74033335643536,299,160,169.64,0.40451,0.10555539932101965,11968
34460,-40.12888587239937,304,170,147.97,0.40308125,0.08828798495233059,12224
35282,-34.880644144793905,311,180,132.12,0.40076937500000004,0.03256428940221667,12640
35631,-32.43807952713407,315,190,120.94,0.39978781249999995,0.09606466954573989,12808
35929,-30.58826250653419,317,200,113.26,0.3989496875,0.09261430683545768,12960
36756,-30.354589766692087,325,210,111.72,0.39662374999999994,0.07718042004853487,13376
39517,-32.77934413817906,350,220,117.03,0.3888584375,0.10796499997377396,14752
42200,-33.3182341317345,376,230,113.86,0.3813125,0.12194250151515007,16096
43439,-33.0282115070256,387,240,106.79,0.37782781249999997,0.1260129138827324,16712
43948,-32.64258658210601,392,250,106.48,0.37639625,0.06448344327509403,16968
44184,-31.49549146201424,394,260,101.32,0.3757325,0.14659447316080332,17088
44781,-31.058627271483278,400,270,102.21,0.3740534375,0.18448155466467142,17384
45037,-30.03169826874153,403,280,96.55,0.37333343750000003,0.11165408696979284,17512
45912,-31.077873994780983,411,290,101.81,0.37087250000000005,0.11614988604560494,17952
46480,-31.623254093522178,416,300,104.51,0.369275,0.08628779975697398,18232
46765,-29.935565166102815,419,310,99.09,0.36847343750000006,0.11434033326804638,18376
47266,-21.46416670126092,424,320,76.49,0.367064375,0.11040396988391876,18632
47527,-12.266240683444751,426,330,52.27,0.3663303125,0.1626527225598693,18760
