time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates
61,10,0.9831902499999998,723,-3.5148201285438034,71.3,,
61,20,0.9663572500000001,1447,-3.854989663741601,71.35,,
63,30,0.9463622500000002,2307,-4.259418686572001,75.9,,
64,40,0.9231122500000002,3307,-4.779998525029718,81.675,,
65,50,0.9047679999999998,4096,-4.763916198564929,80.92,,
66,60,0.88651675,4881,-4.688524115387313,80.35,,
68,70,0.8671727500000003,5713,-4.63696285452376,80.61428571428571,,
69,80,0.8455037500000002,6645,-4.8082579700627495,82.0625,,
71,90,0.8257645,7494,-4.860752540124,82.26666666666667,,
73,100,0.80360725,8447,-4.940994404372971,83.47,,
75,110,0.7803572499999999,9447,-5.156591494692717,86.24,,
78,120,0.7589440000000001,10368,-5.2602711622164495,88.21,0.001760613995429594,176
84,130,0.7393210000000001,11212,-5.132362113809796,88.05,0.000858029343362432,600
89,140,0.7219532499999999,11959,-4.793617744311726,85.52,0.0006392300656443695,976
93,150,0.7071197500000002,12597,-4.599069860218946,84.01,0.0015605187181790825,1296
97,160,0.69605275,13073,-4.359173013069166,80.92,0.000894594042620156,1536
100,170,0.6847300000000002,13560,-4.125980434825376,77.47,0.0006718078293488361,1776
104,180,0.6705707499999998,14169,-3.7730620122098846,74.24,0.0009284501720685512,2080
109,190,0.6585969999999999,14684,-3.4203508619243683,70.9,0.0015048605273477733,2336
112,200,0.6476462499999999,15155,-3.043801183530297,66.08,0.0015352506743511185,2576
115,210,0.6354167499999998,15681,-2.661683955477545,61.34,0.0020760525949299335,2840
119,220,0.624652,16144,-2.325786760892494,56.76,0.0018801085388986394,3064
122,230,0.6112135000000003,16722,-2.110451600990034,54.1,0.0021082819293951616,3360
126,240,0.5988212500000001,17255,-2.0275563906335425,51.96,0.001870571097242646,3624
130,250,0.5837319999999998,17904,-1.9903369926740329,52.07,0.001886066238512285,3944
135,260,0.5659690000000002,18668,-2.0324439173436795,54.95,0.0019442214397713542,4328
