rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
-9.360358152919304,0.96319525,10,157.3,1583,1,,
-10.564493576519338,0.9182297500000002,20,174.85,3517,3,,
-10.717723253497185,0.8756590000000001,30,177.26666666666668,5348,6,,
-9.99120064957396,0.8450852500000001,40,165.575,6663,7,,
-9.063413708136126,0.8233929999999999,50,150.92,7596,9,,
-8.717577427741789,0.7984225,60,143.5,8670,10,,
-8.48983578690612,0.7713594999999998,70,139.4857142857143,9834,12,,
-8.669266762791375,0.7328807500000002,80,142.6125,11489,19,744,0.05558202100110066
-8.36247867142855,0.7042600000000001,90,140.33333333333334,12720,25,1352,0.0642799343331717
-7.9512121249063785,0.6806380000000002,100,136.36,13736,30,1864,0.08254498922178755
-7.257236321702648,0.6672692499999999,110,126.28,14311,33,2152,0.0639859033835819
-6.395001421239357,0.6501805,120,114.29,15046,37,2520,0.03671337584091816
-5.491355321157344,0.638509,130,101.0,15548,40,2768,0.05466470002284041
-4.958288774337209,0.6253262500000003,140,93.52,16115,42,3056,0.03711697556718718
-4.837957879485351,0.60282025,150,93.87,17083,47,3536,0.0716536384425126
-4.541843663638974,0.581221,160,92.42,18012,52,4000,0.07102653896436095
-4.257870008609729,0.558157,170,90.7,19004,57,4496,0.0713109600765165
-3.6190598667534344,0.5373249999999999,180,83.11,19900,62,4944,0.09580093051772565
-3.1599686281335972,0.52897825,190,74.39,20259,64,5128,0.07905912288697436
-3.024352454207589,0.512122,200,71.48,20984,68,5488,0.05288867180934176
-3.2029357694948475,0.48677950000000025,210,76.63,22074,73,6032,0.08474356448277831
-3.229279514841963,0.46808650000000007,220,77.32,22878,77,6432,0.06124870537314564
-3.3448312608295003,0.4489517500000002,230,80.53,23701,82,6848,0.06007557897828519
-3.4633770980045675,0.42628299999999986,240,84.61,24676,87,7336,0.07579194591380656
-3.320602530976382,0.40984525000000005,250,82.0,25383,91,7688,0.05991156672826037
-3.3560354964279835,0.3839447500000003,260,83.85,26497,97,8248,0.11062257690355182
-3.162845389381072,0.3692740000000001,270,80.24,27128,101,8560,0.058170528151094913
-3.1997938828236103,0.3453032500000002,280,81.59,28159,106,9072,0.0797562962397933
-3.586664008694018,0.3129624999999998,290,91.91,29550,114,9768,0.05278949870262295
-3.51575404993179,0.29852425000000027,300,90.87,30171,117,10080,0.06693068763706833
-3.538895414502433,0.26953150000000037,310,92.44,31418,124,10704,0.07142970361746848
-3.6762005999626086,0.23756274999999993,320,98.15,32793,132,11392,0.07945781934540719
-3.7819636144906803,0.20998825,330,101.78,33979,138,11984,0.09835546545218676
-3.8130439904293314,0.1814140000000003,340,104.32,35208,145,12600,0.04064320446923375
-4.139063525219649,0.14202850000000034,350,114.19,36902,154,13448,0.07829949725419283
-4.157354481971123,0.11066425000000035,360,116.54,38251,162,14120,0.08557953732088208
-4.372034748580135,0.07932324999999985,370,123.71,39599,169,14792,0.07670327683445066
-4.693803598108538,0.07,380,135.86,41845,180,15920,0.06975605839397758
-4.896561913695926,0.07,390,145.1,44160,193,17072,0.0500391983659938
-5.329596730326942,0.07,400,160.45,46316,204,18152,0.0673990249633789
-5.426203776211611,0.07,410,166.16,48134,213,19064,0.0776520767249167
-5.282941725622017,0.07,420,163.12,49205,219,19600,0.04286974447313696
-5.268712119934227,0.07,430,164.82,50561,226,20280,0.036499642417766154
-5.541460840256563,0.07,440,174.94,52802,238,21400,0.05441116518341005
-5.3963239456757774,0.07,450,173.09,54311,245,22152,0.048295523680280894
-5.4193163815299545,0.07,460,175.86,55937,254,22968,0.06649218406528234
-5.501623215165194,0.07,470,181.32,57831,264,23912,0.02984406956238672
-5.426590133567519,0.07,480,181.62,60107,275,25048,0.04270067694596946
