rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,train/loss,train/n_updates
-1.654495123417944,335,10,0.9922112500000001,0,32.5,,
-4.138429031396656,1440,20,0.96652,1,71.0,,
-4.19054775273067,2174,30,0.9494544999999998,2,71.46666666666667,,
-4.718166179665825,3219,40,0.9251582500000002,3,79.475,,
-5.837375068048799,4841,50,0.8874467499999998,5,95.82,,
-5.8272888978687245,5831,60,0.8644292499999998,6,96.18333333333334,,
-5.83223545457359,6909,70,0.8393657499999998,8,97.7,,
-6.040928955706484,8288,80,0.8073039999999998,10,102.6,,
-6.260605743656047,9620,90,0.7763349999999999,12,105.88888888888889,,
-6.280092240507858,10764,100,0.7497370000000001,16,106.64,0.0825761391861306,376
-6.896537646213321,12244,110,0.7153269999999998,23,118.09,0.08300908068122226,1120
-6.739778993217327,13172,120,0.6937509999999999,28,116.32,0.07350410644721705,1584
-6.949811818748685,14397,130,0.6652697500000002,34,121.23,0.08245168486610055,2192
-6.926969213083344,15709,140,0.6347657500000001,40,123.9,0.08272386757016648,2848
-6.470456756652449,17005,150,0.60463375,47,120.64,0.03832289038109593,3496
-6.370368291355404,18109,160,0.5789657500000001,52,121.78,0.09194341948023066,4048
-6.642071696353578,20070,170,0.5333725000000004,62,130.61,0.03091675217729062,5032
-6.426458664454065,21244,180,0.5060770000000001,69,128.56,0.06628569809254259,5616
-6.516174339811996,23288,190,0.45855400000000013,79,135.68,0.05679731094278395,6640
-6.5025727116275505,24721,200,0.4252367500000003,87,138.57,0.0816530627780594,7360
-6.696506471878121,26949,210,0.37343575000000007,99,146.05,0.09036560781532899,8472
-7.2502748026876365,29429,220,0.31577575000000024,112,161.57,0.06526465946808457,9712
-7.735123945887353,32112,230,0.25339599999999984,127,176.15,0.03927470580674708,11048
-7.882734944980161,33924,240,0.2112670000000001,136,181.15,0.046090312069281936,11960
-8.361929718149788,36495,250,0.1514912500000004,149,193.9,0.07143412716686726,13240
-9.056917265064248,39447,260,0.08285724999999988,165,212.38,0.061714296287391335,14720
-9.16646318875041,41904,270,0.07,177,217.34,0.07076699385652319,15944
-9.412156004795518,43885,280,0.07,188,225.41,0.030339144897880033,16936
-9.509671837503573,46495,290,0.07,201,231.07,0.046161490434315056,18240
-9.916366451785528,49309,300,0.07,217,244.88,0.04550402209861204,19648
-9.79862802279171,51603,310,0.07,229,245.54,0.02045340114273131,20800
-9.623257701513973,54065,320,0.07,242,245.36,0.05469779935083352,22032
-9.24956107824428,56221,330,0.07,254,240.09,0.0290627111971844,23104
-9.551701356862507,59196,340,0.07,270,251.72,0.020893955079372972,24592
-9.41335905615399,61811,350,0.07,283,252.16,0.04720975033706054,25904
-9.151497200955724,64526,360,0.07,298,249.79,0.03783856477821246,27256
-9.017843753550949,67002,370,0.07,311,249.98,0.04710336198331788,28496
-9.172091204380148,69806,380,0.07,325,258.21,0.019935723379603587,29896
-8.927667847134437,71932,390,0.07,337,253.37,0.02979456515458878,30960
-8.83581387270055,74796,400,0.07,352,253.87,0.03870848314545583,32392
-8.839747201679863,77446,410,0.07,366,257.43,0.020397593660163693,33720
-8.836467936980826,80229,420,0.07,380,260.64,0.03921357651415747,35112
-8.87156462735305,82756,430,0.07,393,264.35,0.020453046963666566,36376
-8.56017768583965,85101,440,0.07,405,258.05,0.05906256759772077,37544
-8.437076078852336,87474,450,0.07,418,255.63,0.01120106085727457,38736
-8.45916447628485,90349,460,0.07,432,257.23,0.011266428540693596,40168
-8.457543870712268,92868,470,0.07,445,257.66,0.04026464975322597,41432
-8.39399947445962,95497,480,0.07,459,255.91,0.06034099607495591,42744
-8.466853053174379,98095,490,0.07,472,260.63,0.021100816775287967,44040
-8.370456626898985,100766,500,0.07,486,258.7,0.01084521111624781,45376
-8.503141264826725,103763,510,0.07,501,262.17,0.03130914468783885,46880
-8.559498916429625,106688,520,0.07,517,263.59,0.000563218036404578,48336
-8.473173621927197,108868,530,0.07,528,260.12,0.010930873802863061,49432
-8.403364556260302,111020,540,0.07,539,258.19,0.03137372161654639,50504
-8.310141723309393,113233,550,0.07,551,256.59,0.021187808892136673,51616
-7.940196129035741,115037,560,0.07,560,245.88,0.021261164078168804,52512
-8.024304314432325,117884,570,0.07,575,249.16,0.031939744050760055,53936
-8.090486186119454,120884,580,0.07,590,252.87,0.010749453300377354,55440
-8.107692209845831,123585,590,0.07,604,253.9,0.032171442595426925,56792
-8.184550381451105,126585,600,0.07,619,257.19,0.04274195483594667,58288
-8.059714554398703,129563,610,0.07,635,257.0,0.021662299759555026,59776
-7.977006773586458,132563,620,0.07,650,257.75,0.00022743004228686914,61280
-8.185279745268915,135563,630,0.07,666,265.95,0.043176328183108126,62776
-8.444734224242133,138543,640,0.07,681,274.23,0.011093661885752226,64264
-8.606811073969753,141365,650,0.07,697,280.32,0.00017725654652167577,65680
-8.914742550135653,144119,660,0.07,711,289.82,0.0110484046235797,67056
