rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9510820000000001,10,2104,209.4,-10.824630917262985,2,,
0.90511675,20,4081,203.05,-10.5167525992663,4,,
0.8502235000000002,30,6442,213.73333333333332,-12.054593419683737,7,,
0.7980039999999998,40,8688,216.2,-12.228847095261731,10,,
0.7454822500000001,50,10947,217.94,-12.311375286881978,17,472,0.027882620745003805
0.6964945000000003,60,13054,216.56666666666666,-12.044635959223744,27,1520,0.027649669623315276
0.6462745000000002,70,15214,216.34285714285716,-11.490474631814703,37,2600,0.0277131238281072
0.6116087500000003,80,16705,207.8125,-10.795231028467077,45,3352,0.009415378777703154
0.5609237500000002,90,18885,208.83333333333334,-10.510206247963634,56,4440,0.009548999190883478
0.52000375,100,20645,205.45,-10.126566016354845,65,5320,0.0004583545414789114
0.47206225000000035,110,22707,205.03,-9.75849042060819,76,6352,0.027750052948249504
0.4413257500000003,120,24029,198.48,-9.22602644820005,83,7008,0.04566670081112534
0.39984775000000017,130,25813,192.71,-8.375316682073013,92,7904,0.0009988882593461312
0.3585557500000002,140,27589,188.01,-7.713986567652585,102,8792,0.01859907861216925
0.31196275000000007,150,29593,185.46,-7.1356818590893765,113,9792,0.010018567423685454
0.27915700000000043,160,31004,178.5,-6.551922354446109,120,10496,0.027410491878981702
0.24221274999999998,170,32593,172.79,-6.290127961650716,129,11296,0.010221279560937546
0.19192299999999995,180,34756,179.51,-6.457704949151454,141,12376,0.027416978817200288
0.14616700000000005,190,36724,177.39,-6.297973488521623,151,13360,0.010554637861787342
0.10545625000000025,200,38475,177.3,-6.205251783952743,159,14232,0.03499442791508045
0.07,210,40689,178.82,-6.242975830419031,171,15344,0.043010458000935614
0.07,220,42563,184.34,-6.383721845602151,180,16280,0.042415559641085565
0.07,230,44347,184.34,-6.316411635290852,190,17168,0.0349536303547211
0.07,240,46443,187.54,-6.408769515397356,200,18216,0.026519636710872874
0.07,250,49137,194.44,-6.576524405000766,215,19568,0.01928703347221017
0.07,260,51864,207.6,-6.988200346569506,229,20928,0.028280036087380722
0.07,270,54514,218.21,-7.278356258946352,243,22256,0.026606139086652547
0.07,280,57043,221.87,-7.374307121164541,256,23520,0.03549184330040589
0.07,290,59375,225.51,-7.461924111381171,268,24680,0.040448545129038393
0.07,300,61033,224.58,-7.398945314859342,276,25512,0.012463939725421369
0.07,310,62405,216.16,-7.080764984636309,283,26200,0.03565126232570037
0.07,320,63711,210.48,-6.8843649211833755,290,26848,0.020209450623951852
0.07,330,65105,206.58,-6.736753434393425,297,27552,0.019566199916880578
0.07,340,66268,197.25,-6.4058261794963975,303,28128,0.04075164574896917
0.07,350,67531,182.94,-5.947965404911152,309,28760,0.02107896446250379
0.07,360,68241,162.77,-5.288357281170676,313,29120,0.035442973661702126
