rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9506867500000001,10,2121,211.1,11.347902950696781,2,,
0.9036520000000002,20,4144,206.2,11.616709269253658,4,,
0.8407839999999998,30,6848,227.26666666666668,14.2116237730413,7,,
0.7794039999999999,40,9488,236.2,14.460833114213926,11,,
0.7199537500000002,50,12045,239.9,13.838267083556259,22,1016,0.009846552025919664
0.6694315000000002,60,14218,235.96666666666667,13.297543112090088,32,2104,0.009790881978915422
0.6291159999999998,70,15952,226.88571428571427,12.33194380390634,41,2968,0.009738546985317953
0.5813372500000001,80,18007,224.0875,11.855086638038708,51,4000,0.030290532900835387
0.5449277500000002,90,19573,216.4777777777778,11.213829125734433,59,4784,0.029458593220624607
0.51047125,100,21055,209.55,10.686067475851132,66,5520,0.029999689373653382
0.4701092499999999,110,22791,205.7,10.233395967087084,75,6392,0.020370505713799503
0.42907300000000004,120,24556,203.12,9.70346848292407,85,7272,0.030576880162698217
0.37215699999999985,130,27004,200.56,8.664479549962563,98,8496,0.04095716119627468
0.3249827500000002,140,29033,194.45,7.885002287039125,108,9512,0.05194006842793897
0.2643235000000004,150,31642,194.97,7.669645648606705,123,10816,0.04281357835861854
0.20045575000000004,160,34389,200.71,7.518118151677133,138,12192,0.0031972910510376096
0.1376575000000001,170,37090,210.38,7.749637313096545,152,13544,0.013242710003396496
0.0734410000000002,180,39852,217.45,7.780616000284603,166,14920,0.03522740173502825
0.07,190,42341,226.68,7.956326114547495,178,16168,0.03756312851328403
0.07,200,44884,237.29,8.13400148657937,191,17440,0.047938429488567635
0.07,210,46747,238.56,8.033579867779324,201,18368,0.02758298988919705
0.07,220,48746,240.9,7.996657535543385,211,19368,0.02863657585112378
0.07,230,50462,233.58,7.637519325184448,220,20224,0.06183624459663406
0.07,240,52055,229.22,7.440666294072104,228,21024,0.005705114803276956
0.07,250,53816,220.74,7.055286939919536,237,21904,0.07267350953770801
0.07,260,55874,213.85,6.726933123711019,248,22936,0.017292955133598298
0.07,270,57730,205.4,6.436648207645902,258,23864,0.018247001862619072
0.07,280,59611,196.59,6.154671811357722,267,24800,0.029256099660415202
0.07,290,62146,197.05,6.216099090070844,280,26072,0.05173570045735687
0.07,300,64653,196.69,6.261432953393415,293,27320,0.017776827386114746
0.07,310,66949,201.02,6.383812018286494,305,28472,0.05452597880503163
0.07,320,68073,192.27,6.109601914277549,311,29032,0.030805830901954323
0.07,330,68769,182.07,5.779624426041006,314,29384,0.01931307220365852
0.07,340,69559,174.04,5.479799670348123,318,29776,0.018680755456443876
0.07,350,70195,162.79,5.146150229847518,322,30096,0.0643023835727945
0.07,360,70797,148.23,4.759621164776208,325,30392,0.07886146730743349
0.07,370,71441,136.11,4.373979770767838,328,30720,0.0674067497602664
0.07,380,72516,128.05,4.11869124495598,334,31256,0.030566148459911346
0.07,390,73698,114.52,3.6301079982485294,340,31848,0.04258463665610179
0.07,400,75528,107.75,3.3721318553276256,349,32760,0.06806164636509493
0.07,410,76376,93.27,2.9388391268865983,354,33184,0.05441130918916315
0.07,420,78201,100.28,3.1456103212425344,363,34096,0.030170936894137412
0.07,430,79024,101.55,3.186498712645024,367,34504,0.05425011384068057
0.07,440,80967,113.08,3.485502074821931,378,35480,0.005689518875442445
0.07,450,82921,126.26,3.835798387839816,388,36456,0.06684419652447104
0.07,460,85303,144.06,4.3085117865361475,400,37648,0.005359616305213422
0.07,470,87388,158.47,4.639678370397659,411,38688,0.041227231558877975
0.07,480,88751,161.35,4.648531573680729,418,39368,0.041195617319317535
0.07,490,89989,161.91,4.612549137506344,424,39992,0.06565295543987304
0.07,500,91174,155.46,4.369185205314978,430,40584,0.054096248641144484
0.07,510,92387,159.11,4.439919823218605,436,41192,0.028822918626246974
0.07,520,93289,149.88,4.142951509673115,441,41640,0.053086423489730805
0.07,530,94185,150.61,4.1368953934661015,446,42088,0.06475401757052168
0.07,540,94906,138.39,3.8304639556255107,449,42448,0.041106654913164675
0.07,550,96152,131.31,3.6291353977306384,456,43072,0.07661716535221785
0.07,560,97104,117.01,3.2444991939793635,461,43544,0.028263079904718325
0.07,570,98497,110.09,3.0937511758747314,468,44248,0.06268443603767082
0.07,580,100219,113.68,3.1998188505935876,477,45104,0.05448569933651015
0.07,590,101736,116.47,3.2811250240873004,484,45864,0.0533410232164897
0.07,600,103284,120.1,3.3650458975033395,493,46640,0.050004877091851085
0.07,610,104644,121.57,3.3751368436147273,500,47320,0.004332540411269292
0.07,620,106161,127.72,3.518348300071084,508,48080,0.06333589786663651
0.07,630,107409,131.24,3.6257700045889623,514,48704,0.05023945393622853
0.07,640,109153,141.47,3.843503838224662,523,49576,0.1079801915329881
0.07,650,109980,137.28,3.7230137277659012,527,49984,0.10056577558862045
0.07,660,111121,139.17,3.769707404918617,533,50560,0.04745809780433774
0.07,670,111764,131.67,3.552145630707187,536,50880,0.07470456301234663
0.07,680,113134,128.15,3.4473042722316825,543,51560,0.06307958613615483
0.07,690,114381,125.45,3.3830605793361683,550,52184,0.06312817812431604
0.07,700,115637,122.53,3.3182635903750874,556,52816,0.03712848445866257
0.07,710,117301,125.57,3.4459840207750885,565,53648,0.09662561776349321
0.07,720,118357,120.96,3.3112850691377447,570,54176,0.08631892324774526
0.07,730,119964,124.55,3.361787423171773,578,54976,0.07468970160698518
0.07,740,121330,120.77,3.2476635128954188,585,55664,0.038293850724585354
0.07,750,122673,125.93,3.3628946694087536,592,56336,0.07388313065166585
