rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-4.659661701919451,82.2,0,832,0.9226240000000001,10,,
-4.721456556402849,82.05,2,1661,0.8455269999999999,20,,
-4.456637696035819,76.6,3,2328,0.7834959999999997,30,,
-4.37711043410515,75.625,4,3065,0.714955,40,,
-4.312973576401557,73.78,5,3739,0.6522730000000003,50,,
-4.4002212001747365,73.81666666666666,6,4489,0.5825230000000001,60,,
-4.290377951909887,72.34285714285714,7,5134,0.5225380000000001,70,,
-4.328655871353303,72.225,9,5858,0.4552059999999999,80,,
-4.2918622286363854,71.74444444444444,10,6547,0.39112899999999984,90,,
-4.355323667680886,72.53,12,7353,0.3161710000000002,100,,
-4.174603522102985,69.6,14,7892,0.26604400000000017,110,,
-4.121035492247575,68.3,15,8591,0.20103700000000024,120,,
-4.101522762969295,67.75,16,9203,0.14412100000000005,130,,
-3.9593963604848845,64.85,17,9650,0.10254999999999981,140,,
-3.8582539109614897,63.24,19,10163,0.07,150,80,0.002678854245459661
-3.671243206890582,62.3,23,10819,0.07,160,408,0.002238989429315552
-3.385477174139845,58.28,25,11062,0.07,170,528,0.0010381437350588385
-3.1804614226385515,56.28,28,11586,0.07,180,792,0.0009444405150134116
-2.9844495618347064,52.86,30,11933,0.07,190,960,0.0012895295440102927
-2.5450672916360437,46.56,31,12109,0.07,200,1048,0.0016770377624197863
-2.343068773724327,43.35,32,12327,0.07,210,1160,0.0012802828714484349
-2.0055304908401994,38.72,34,12563,0.07,220,1280,0.0012019902933388948
-1.7265751000670198,35.02,35,12805,0.07,230,1400,0.0017638223216636106
-1.5462363638414702,32.82,37,13032,0.07,240,1512,0.001538094482384622
-1.3037109022075972,29.4,38,13203,0.07,250,1600,0.0025041127810254693
-1.0865462113200945,24.63,39,13382,0.07,260,1688,0.0012660898064495996
-1.0956052670881078,24.57,40,13619,0.07,270,1808,0.0012948721559951082
-0.9274469546557377,22.07,42,13893,0.07,280,1944,0.0014541055279551074
-0.7805678160604007,20.28,43,14061,0.07,290,2024,0.0014472845650743693
-0.7985263045121458,20.64,44,14273,0.07,300,2136,0.001401300760335289
-0.7839562386067408,20.63,45,14490,0.07,310,2240,0.001584457713761367
-0.7524371927969018,20.02,46,14665,0.07,320,2328,0.0013594151605502702
-0.7176772749046677,19.44,47,14849,0.07,330,2424,0.0010859491885639727
-0.6930619695300722,19.15,48,15047,0.07,340,2520,0.001685744951828383
-0.6998537949024037,19.5,49,15253,0.07,350,2624,0.0012431527575245127
-0.7003039333213095,20.18,51,15500,0.07,360,2744,0.0013161688693799078
-0.7192015314826302,21.08,53,15827,0.07,370,2912,0.0016089140844997019
-0.7215819064028396,21.09,54,16102,0.07,380,3048,0.001267498308152426
-0.7652349891893797,22.18,55,16379,0.07,390,3184,0.001320969036896713
-0.7809716021999472,22.81,57,16654,0.07,400,3320,0.0012155269578215666
-0.825580622058849,24.08,59,16998,0.07,410,3496,0.0013977376511320472
-0.8502420083975264,25.17,60,17282,0.07,420,3640,0.0012658339692279696
-0.8778701187508411,26.13,62,17562,0.07,430,3776,0.0014794113667448983
-0.8867540532670055,26.54,63,17801,0.07,440,3896,0.0014463852712651715
-0.9122329945007697,27.81,65,18134,0.07,450,4064,0.0014919540990376845
-0.927049642877385,28.5,67,18450,0.07,460,4224,0.0012423139851307496
-0.9111145616225287,28.65,69,18792,0.07,470,4392,0.001238765864400193
-0.906738531614528,28.43,70,19045,0.07,480,4520,0.0009825902452575974
-0.8653384965941452,27.68,71,19247,0.07,490,4616,0.0012087140494259074
-0.9101638378847866,28.53,73,19607,0.07,500,4800,0.0011450410966062918
-0.8728250696108323,27.98,75,19896,0.07,510,4944,0.0010839569076779298
-0.8585064272863205,27.36,76,20118,0.07,520,5056,0.0011235776328248903
-0.9299666172678804,29.4,79,20602,0.07,530,5296,0.0010441933845868334
-0.9636349612964907,30.24,81,20925,0.07,540,5456,0.001148972165537998
-0.9395366560087208,29.22,82,21156,0.07,550,5576,0.00100011243193876
-0.9124808311773578,28.31,83,21381,0.07,560,5688,0.0008969877380877733
-0.9321933120607646,28.38,85,21730,0.07,570,5864,0.0009034584873006679
-0.9007985853872613,27.59,86,21904,0.07,580,5944,0.0008911528493626975
-0.9241513717237122,28.15,87,22162,0.07,590,6080,0.0009813271826715209
-0.8925378379608503,27.24,89,22431,0.07,600,6208,0.0008592266822233796
-0.8913546347982995,26.85,90,22681,0.07,610,6336,0.0007686588432989083
-0.9021325045143632,27.25,92,22943,0.07,620,6464,0.0008204066616599448
-0.849885277632375,25.05,93,23207,0.07,630,6600,0.000856765967910178
-0.8514830707068497,25.06,95,23531,0.07,640,6760,0.000715398506144993
-0.8860183008180463,25.66,97,23822,0.07,650,6904,0.0007620626638527028
-0.9113504051514812,25.83,98,24064,0.07,660,7024,0.0007026963212410919
-0.867865049315217,24.3,99,24260,0.07,670,7128,0.0006717651885992382
-0.8852085719385694,24.58,100,24462,0.07,680,7224,0.0007116853012121283
-0.8808412377171603,24.19,101,24681,0.07,690,7336,0.0005912240048928652
-0.830704090201354,23.02,102,24833,0.07,700,7416,0.0005279356519167777
-0.8122331378489434,22.25,103,25006,0.07,710,7496,0.000655459825793514
-0.7886282887286048,21.52,104,25195,0.07,720,7592,0.0006010216820868663
-0.7244197493008611,20.23,105,25330,0.07,730,7664,0.0005482785200001672
-0.6766686119044593,18.92,106,25523,0.07,740,7760,0.0005089677033538464
-0.619484438574964,17.87,107,25709,0.07,750,7848,0.0006429325949284248
-0.6078174561791952,18.04,109,25968,0.07,760,7976,0.0005497661186382174
-0.5996144304317435,18.02,110,26162,0.07,770,8080,0.0004888946750725154
-0.5846836781142847,17.97,111,26359,0.07,780,8176,0.0005058103815827053
-0.5877829086733307,18.0,112,26581,0.07,790,8288,0.0005053603199485224
-0.6288138174607553,18.65,113,26798,0.07,800,8392,0.0004317683960834984
-0.6194979804291062,18.44,114,26950,0.07,810,8472,0.0004118856304557994
-0.6395493369705078,18.54,115,27149,0.07,820,8568,0.00034966641760547645
-0.6459322760864555,18.71,116,27301,0.07,830,8648,0.00044929925934411585
-0.6631409556740597,19.27,118,27550,0.07,840,8768,0.0004418614807946142
-0.680694003138242,19.69,119,27778,0.07,850,8888,0.00043427824130048975
-0.6277913122167433,18.19,119,27887,0.07,860,8936,0.00048592962048132904
-0.6391222173163231,18.18,121,28080,0.07,870,9032,0.00040126859494193923
-0.6535638666900465,18.21,122,28280,0.07,880,9136,0.0003551482659531757
-0.6511086236626903,17.81,123,28462,0.07,890,9224,0.0003861008044623304
-0.6037831678055356,17.2,123,28618,0.07,900,9304,0.00035790483889286406
-0.6163494050792053,17.56,125,28806,0.07,910,9400,0.0004889632728009019
-0.5883807715568927,17.19,125,28968,0.07,920,9480,0.00037320964474929497
-0.6070514545262191,17.88,127,29189,0.07,930,9592,0.00035932431819674093
-0.570574876716375,17.0,128,29350,0.07,940,9672,0.0003547418637026567
-0.5479620217388333,16.27,128,29505,0.07,950,9752,0.0004179973475402221
-0.595773653234986,17.5,130,29737,0.07,960,9864,0.00040581800931249745
-0.5931996610424479,17.4,131,29920,0.07,970,9952,0.00033045693635358475
-0.5719387109094338,17.03,132,30083,0.07,980,10040,0.0003898266913893167
-0.558814904639329,17.06,133,30268,0.07,990,10128,0.0003413572812860366
-0.5714935402746376,17.21,134,30439,0.07,1000,10216,0.0003349465514475014
-0.572264116583108,17.31,135,30637,0.07,1010,10312,0.0004042366854264401
-0.5795418729262428,17.37,136,30805,0.07,1020,10400,0.00040772601278149523
-0.5695749545660119,16.83,137,30972,0.07,1030,10480,0.0003862196535919793
-0.5739850176113916,16.73,137,31123,0.07,1040,10560,0.0003230033144063782
-0.5781912743377402,16.75,138,31280,0.07,1050,10632,0.00034784443050739355
-0.5715564042357287,16.39,139,31476,0.07,1060,10736,0.00035602635398390703
-0.5561377997634257,16.3,140,31650,0.07,1070,10824,0.00027181791665498167
-0.5563188139330273,16.27,141,31810,0.07,1080,10904,0.0003044093791686464
-0.5559883739974537,16.44,142,32012,0.07,1090,11000,0.00033238664036616683
-0.5447552911408226,16.33,143,32172,0.07,1100,11080,0.0003014842950506136
-0.5142738405947455,15.44,144,32281,0.07,1110,11136,0.00037662503018509597
-0.5180131957836525,15.67,145,32472,0.07,1120,11232,0.00032839133564266376
-0.5175558535588037,15.75,146,32647,0.07,1130,11320,0.00032988193561322987
-0.5113207746609266,15.78,147,32801,0.07,1140,11400,0.00033579131559235975
-0.5327903686265393,16.23,148,33003,0.07,1150,11496,0.0003036078160221223
-0.5160146113365863,15.95,149,33171,0.07,1160,11584,0.00035349204335943796
-0.5118671757820568,15.5,149,33300,0.07,1170,11648,0.0004281361907487735
-0.5232837680374189,15.57,150,33467,0.07,1180,11728,0.0003790016799030127
-0.5127869607978063,15.24,151,33636,0.07,1190,11816,0.0003502698127704207
-0.521722757060304,15.26,152,33798,0.07,1200,11896,0.0003510723872750532
-0.5371248847593676,15.66,153,33947,0.07,1210,11968,0.00035324975760886446
-0.5289127192239453,15.34,154,34106,0.07,1220,12048,0.0003568908214219846
-0.5191337209015269,15.09,155,34256,0.07,1230,12120,0.0002975816314574331
-0.5245730121534075,15.16,156,34417,0.07,1240,12208,0.00032808471951284446
-0.49024470098186584,14.43,156,34546,0.07,1250,12272,0.0003258259985159384
-0.5038654474051182,14.61,157,34732,0.07,1260,12360,0.0003450720505497884
-0.4978749901172071,14.73,158,34873,0.07,1270,12432,0.0003109605640929658
-0.5036426171136614,14.87,159,35054,0.07,1280,12520,0.0003216576478735078
-0.516759269745014,15.17,160,35253,0.07,1290,12624,0.00032223236485151574
-0.5018477454089407,15.04,161,35402,0.07,1300,12696,0.0003232414601370692
-0.5322421063635359,15.93,162,35640,0.07,1310,12816,0.0003402891743462533
-0.5335269347633348,15.91,163,35797,0.07,1320,12896,0.0003499116974126082
-0.529715217963872,15.95,164,35951,0.07,1330,12968,0.00034248532028868794
-0.5323045494314994,15.66,165,36083,0.07,1340,13040,0.0003341990632179659
-0.5363626094883098,15.75,165,36221,0.07,1350,13104,0.00036248352989787236
-0.5349816582609696,15.8,167,36412,0.07,1360,13200,0.0003223254479962634
-0.5597982071732587,16.18,167,36591,0.07,1370,13288,0.00031791038782102987
-0.5424957896161305,15.88,168,36742,0.07,1380,13368,0.0003965652322222013
-0.5294476517505081,15.53,169,36906,0.07,1390,13448,0.0002917158526543062
-0.5401955708289372,15.84,170,37086,0.07,1400,13536,0.0003080498700001044
-0.5129199314252811,15.0,171,37240,0.07,1410,13616,0.00036947049375157803
-0.5204657953846056,15.17,172,37414,0.07,1420,13704,0.00028908757303724997
-0.5293667963429453,15.28,173,37579,0.07,1430,13784,0.0003232488415960688
-0.54924468890911,15.82,174,37765,0.07,1440,13880,0.00036453790016821586
-0.5572393610382034,16.09,175,37930,0.07,1450,13960,0.00035675677099789027
-0.5463112565951594,15.95,176,38107,0.07,1460,14048,0.00028904565442644525
-0.5213813742361296,15.46,176,38237,0.07,1470,14112,0.0003460612042545108
-0.5483652246758252,16.0,178,38442,0.07,1480,14216,0.00037670016899937764
-0.5359737708503222,15.64,178,38570,0.07,1490,14280,0.00034961096389451995
-0.5308174023821566,15.29,179,38715,0.07,1500,14352,0.00035946750722359866
-0.5326130548808361,15.44,180,38884,0.07,1510,14440,0.0003004027203132864
-0.5338716513868809,15.45,181,39059,0.07,1520,14528,0.0003766913214349188
-0.5337403183028369,15.52,182,39231,0.07,1530,14608,0.00032187948818318546
-0.5275346236108956,15.67,183,39432,0.07,1540,14712,0.0003224401989427861
-0.5195799946353858,15.34,184,39564,0.07,1550,14776,0.0003323704713693587
-0.5019985500382316,14.96,185,39703,0.07,1560,14848,0.0003274328228144441
-0.5210478755229939,15.45,186,39882,0.07,1570,14936,0.0003074652686336776
-0.5006009208900474,15.06,186,40048,0.07,1580,15016,0.0003379308218427468
-0.5312622868914599,15.97,188,40267,0.07,1590,15128,0.00032155866574612446
-0.5488225531503798,16.33,189,40448,0.07,1600,15216,0.000319639228109736
-0.5476298552300873,16.16,189,40600,0.07,1610,15296,0.0003628380691225175
-0.5332921574729029,15.77,190,40736,0.07,1620,15360,0.0003193097909388598
-0.5660769220050155,16.28,191,40959,0.07,1630,15472,0.0003404470808163751
-0.5563539046976338,16.05,192,41137,0.07,1640,15568,0.0003447589770075865
-0.5681077712294746,16.24,193,41288,0.07,1650,15640,0.0003492953328532167
-0.5665969224022499,16.09,194,41412,0.07,1660,15704,0.0003053286636713892
-0.5475115659682137,15.81,195,41563,0.07,1670,15776,0.00034330919152125716
-0.5448508740682001,15.72,196,41720,0.07,1680,15856,0.0003283461737737525
-0.536323343092288,15.36,197,41903,0.07,1690,15944,0.0002907463440351421
-0.5360866409517931,15.22,198,42070,0.07,1700,16032,0.0003617014444898814
-0.5482205337104544,15.52,199,42252,0.07,1710,16120,0.00031125741224968806
-0.5633901912603044,15.91,200,42427,0.07,1720,16208,0.00033293102751486003
-0.531596110298834,15.23,200,42582,0.07,1730,16288,0.0003826481770374812
-0.5299517428579736,15.0,201,42737,0.07,1740,16368,0.00032640891913615633
-0.5282905201045937,14.89,202,42877,0.07,1750,16432,0.00027040507484343834
-0.5491514013512889,15.58,203,43070,0.07,1760,16528,0.0003379933623364195
-0.5826252306695943,15.93,204,43256,0.07,1770,16624,0.00030092362794675864
-0.5894316560470593,15.97,205,43417,0.07,1780,16704,0.0003623569500632584
-0.5832607520939801,16.04,206,43607,0.07,1790,16800,0.0003487559988570865
-0.5856277218341389,16.23,207,43793,0.07,1800,16896,0.0002816633277689107
-0.5840437116056162,16.35,208,43987,0.07,1810,16992,0.0003156364691676572
-0.5723461252923977,16.14,209,44141,0.07,1820,17064,0.0002504688764020102
-0.5735102253854785,16.23,210,44305,0.07,1830,17152,0.00031848928119870834
-0.5617570346858095,15.99,211,44436,0.07,1840,17216,0.00029479062504833564
