time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
10,0,90.8,918,0.9786565,-5.606995610336723,,
20,1,87.9,1778,0.9586615000000003,-5.298632622741232,,
30,2,85.2,2586,0.9398755,-4.944081660116479,,
40,3,82.05,3322,0.9227635,-4.750145710113147,,
50,4,80.22,4061,0.90558175,-4.70912433670306,,
60,5,81.46666666666667,4948,0.884959,-4.886718856166109,,
70,6,79.75714285714285,5653,0.8685677500000001,-4.793157323547901,,
80,7,79.625,6450,0.8500375,-4.8619629580994665,,
90,8,79.22222222222223,7220,0.8321349999999998,-4.841933998300394,,
100,9,79.25,8025,0.8134187500000002,-4.841380013526073,,
110,10,78.31,8849,0.7942607500000001,-4.774402151123828,,
120,12,77.73,9651,0.7756142499999998,-4.786750435066852,,
130,14,77.37,10423,0.75766525,-4.798025809506968,208,0.04673130571609363
140,18,77.21,11143,0.7409252500000003,-4.714976842598768,568,0.07413269964581559
150,21,76.57,11818,0.7252315000000001,-4.552817893921809,904,0.0370305048299997
160,24,74.47,12495,0.7094912499999998,-4.241417786708162,1240,0.03699670219612017
170,26,71.92,12945,0.6990287499999999,-3.9959491748035316,1472,0.03687376980633417
180,29,69.3,13480,0.6865899999999999,-3.6576060498309495,1736,0.045916080236565904
190,31,66.16,13936,0.6759880000000003,-3.402429186663685,1960,0.06420423816416587
200,33,62.18,14343,0.6665252500000001,-3.0790674706514576,2168,0.06376981706853257
210,35,57.86,14735,0.6574112499999998,-2.722263017993741,2360,0.05457742508224328
220,38,54.55,15206,0.6464604999999999,-2.397362228058254,2600,0.06340931509475922
230,40,51.71,15694,0.6351144999999998,-2.174365002784144,2840,0.08998421283467906
240,43,50.07,16250,0.6221874999999999,-2.104270377836869,3120,0.0535272081324365
250,45,48.01,16719,0.6112832500000002,-1.973083287673011,3352,0.08049940163618885
260,47,44.06,17001,0.6047267500000001,-1.800791853867026,3496,0.15834751352667809
270,48,43.05,17350,0.5966125000000001,-1.7548099656519123,3672,0.07094604294979945
280,50,41.23,17703,0.58840525,-1.680237382221141,3848,0.13052060116024222
290,53,41.39,18175,0.5774312499999998,-1.6672898679616077,4080,0.07830383916734718
