rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9354115000000002,10,2,2778,276.8,-18.03273677467706,,
0.8866097500000001,20,5,4877,242.85,-15.713050809883029,,
0.8397377500000002,30,8,6893,228.76666666666668,-14.879589389656859,,
0.7989805000000001,40,10,8646,215.15,-13.995591972620307,,
0.7612922499999999,50,13,10267,204.34,-13.150572095073096,128,0.019038739603274735
0.7183727500000001,60,22,12113,200.88333333333333,-12.49809775865351,1056,0.018684315479731595
0.6867992499999998,70,29,13471,191.44285714285715,-11.468814281188891,1728,0.018609601745993132
0.642787,80,38,15364,191.05,-10.932441898883448,2680,0.0279395663037576
0.6229547500000002,90,42,16217,179.1888888888889,-10.122489401783657,3104,0.018757364003249677
0.5999140000000001,100,47,17208,171.08,-9.516008927823153,3600,0.07289659108937485
0.5739437500000002,110,53,18325,154.47,-8.152698340497809,4160,0.027447914890217362
0.5353952500000001,120,61,19983,150.06,-7.46206149860853,4984,0.06294411660201149
0.48901149999999993,130,72,21978,149.85,-6.8341718852468265,5984,0.03625081591599155
0.4509047500000001,140,80,23617,148.71,-6.294111205000447,6808,0.02700823214399861
0.42423699999999986,150,86,24764,143.97,-5.690747052208568,7376,0.02688634087826358
0.39024550000000024,160,94,26226,140.13,-5.245813551612255,8112,0.02739402423321735
0.36904150000000024,170,99,27138,135.67,-5.023831686901547,8568,0.03629860196087975
0.3478607500000003,180,104,28049,125.85,-4.600003324970744,9024,0.04322265234077349
0.32323900000000005,190,109,29108,127.91,-4.592319163556427,9552,0.018479586637113243
0.2965247500000001,200,116,30257,129.49,-4.547981355460768,10128,0.05236682937538717
0.27185650000000006,210,122,31318,128.93,-4.428190362792469,10656,0.04377057898091152
0.25467475000000006,220,126,32057,119.74,-4.053809273433009,11024,0.05152637916035019
0.23121550000000013,230,131,33066,109.88,-3.674658048948692,11528,0.050848669139668345
0.21380125000000028,240,135,33815,100.98,-3.323834513725474,11904,0.05849655152997002
0.19771225000000014,250,139,34507,96.43,-3.1714490990655526,12248,0.0684462453937158
0.17832175000000006,260,143,35341,90.15,-2.9425773024361774,12664,0.050291058141738176
0.1621862500000003,270,147,36035,87.97,-2.8661773991229773,13016,0.0426120548218023
0.14035450000000016,280,152,36974,88.25,-2.870172543550759,13480,0.08265274000586942
0.10992025000000016,290,159,38283,90.75,-2.892407088922622,14136,0.05774401838425547
0.09373824999999991,300,162,38979,86.22,-2.7469833915784196,14488,0.034435752633726224
0.07420825000000009,310,166,39819,84.01,-2.6820565079791368,14904,0.03476897976361215
0.07,320,171,40670,85.13,-2.6524891057654747,15328,0.07000040021375753
0.07,330,177,41938,87.72,-2.6749032789554366,15968,0.04758923000190407
0.07,340,186,43598,96.83,-2.881037457125599,16792,0.048878436675295234
0.07,350,191,44617,100.1,-2.95721146463886,17304,0.03959536994807422
0.07,360,199,46158,107.17,-3.104715318519346,18072,0.05500770878279582
0.07,370,203,47001,108.66,-3.1079272871893924,18496,0.039708801021333784
0.07,380,208,47875,108.01,-3.039702596990897,18936,0.061033222009427845
0.07,390,213,48952,105.69,-2.9676019944927905,19472,0.06119903363287449
0.07,400,221,50356,112.77,-3.0919924323598384,20176,0.055190909013617784
0.07,410,225,51262,113.43,-3.1119631955816676,20624,0.05328869872028008
0.07,420,231,52317,115.47,-3.138666921148282,21152,0.05517972353845835
