rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9543369999999998,10,1,1964,195.4,10.486600294445555,,
0.8991415,20,4,4338,215.9,11.507958290143325,,
0.8515720000000002,30,7,6384,211.8,11.857939803882788,,
0.7852862500000002,40,11,9235,229.875,12.640175415020538,,
0.7352754999999999,50,18,11386,226.72,12.39595708644342,688,2.696887622732902e-05
0.68461375,60,29,13565,225.08333333333334,11.944139038945618,1776,9.464905087952502e-05
0.6575275,70,35,14730,209.42857142857142,10.94893337700761,2360,0.009609500095393742
0.6213040000000003,80,43,16288,202.6,10.32144297889765,3136,0.009842027488048188
0.5899165000000002,90,50,17638,194.9777777777778,9.728319455600952,3816,0.019447156177193392
0.5747807500000001,100,53,18289,181.89,8.98978115059985,4144,0.05748993145971326
0.5536464999999999,110,57,19198,171.34,8.26169574839394,4592,0.04815721942577511
0.5310475000000001,120,62,20170,157.32,7.413549744484964,5080,0.02941648017440457
0.5046820000000003,130,68,21304,148.2,6.570447552987306,5648,0.038842910224047955
0.4901042499999998,140,72,21931,125.96,5.310722223957961,5960,0.04909937294723932
0.47389899999999996,150,75,22628,111.42,4.43394812921307,6312,0.05814144719624892
0.4491377499999999,160,81,23693,100.28,3.8433515694284623,6840,0.08762658205523621
0.4380010000000002,170,83,24172,93.42,3.511654436298611,7080,0.049688653234625235
0.41275150000000005,180,89,25258,88.7,3.3054724440875782,7624,0.021372177929151803
0.38399125,190,96,26495,87.57,3.254083387243646,8240,0.05976633160025813
0.3610202499999998,200,101,27483,90.94,3.3591020122026873,8736,0.04998148840968497
0.3350267499999998,210,107,28601,93.03,3.4501551776548975,9296,0.061513389460742474
0.3104514999999999,220,113,29658,93.88,3.4203788361088088,9824,0.042872264864854515
0.28124950000000026,230,120,30914,95.1,3.407757737660175,10456,0.052894246531650424
0.26636950000000015,240,123,31554,95.23,3.384440248759814,10776,0.05336677987361327
0.24439824999999982,250,128,32499,97.71,3.4373250429135798,11248,0.06309218268143013
0.22947175000000009,260,132,33141,93.48,3.2535460435635963,11568,0.09311271383194253
