rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss
0.9408752499999998,2543,2,10,-15.404816926131115,253.3,,
0.8814250000000001,5100,5,20,-14.76137488063127,254.0,,
0.8152554999999998,7946,9,30,-15.72052216921175,263.8666666666667,,
0.7562005000000002,10486,14,40,-15.389431913895544,261.15,240,0.0005374273605411872
0.6928907499999999,13209,27,50,-15.891896098788777,263.18,1600,0.001091344965971075
0.62355925,16191,42,60,-15.936054393839566,268.85,3088,0.018388680117823242
0.55380925,19191,57,70,-15.603674427547723,273.15714285714284,4592,0.009355253645480843
0.4867097500000003,22077,72,80,-15.396167193852369,274.9625,6032,0.00029668680508621037
0.41881975000000005,24997,87,90,-15.17715994399204,276.74444444444447,7496,0.00039240891783265397
0.3628802500000001,27403,100,100,-14.681040272491096,273.03,8696,0.009577090590028092
0.29559475000000013,30297,116,110,-14.39990540913117,276.54,10144,0.0006406557004083879
0.22584475000000004,33297,132,120,-14.279244966394938,280.97,11648,0.0007145214258343913
0.15609475000000006,36297,148,130,-13.773864962806927,282.51,13144,0.0007974291438586079
0.08634474999999997,39297,163,140,-13.601345731896965,287.11,14648,0.0008784463134361431
0.07,42297,179,150,-13.038250872154414,289.88,16144,0.0010018597822636366
0.07,45297,194,160,-12.675488416472792,290.06,17648,0.0010081642831210047
0.07,48297,209,170,-12.506353436474647,290.06,19144,0.0009662738229962997
0.07,51297,225,180,-12.322767044785923,291.2,20648,0.0010070781572721899
0.07,53998,239,190,-12.050575294547205,289.01,21992,0.0009260726874344982
0.07,56998,254,200,-12.25854421131768,294.95,23496,0.0008626373528386466
0.07,59699,268,210,-12.140092349341153,293.02,24848,0.0010984913897118531
0.07,62683,283,220,-12.002835115151566,292.86,26336,0.0009987515077227727
0.07,65340,297,230,-11.778401400970576,289.43,27664,0.0009633215304347686
0.07,68340,312,240,-11.678983451857345,289.43,29168,0.00109909145248821
0.07,71224,327,250,-11.521715861889795,288.27,30608,0.001108084361476358
0.07,73688,340,260,-11.195901263943709,282.91,31840,0.0008887906442396343
0.07,75982,351,270,-10.856942721462833,275.85,32984,0.0008529049446224235
0.07,78171,363,280,-10.417310363012735,267.74,34080,0.01126115982333431
0.07,80687,375,290,-10.305282226213155,265.89,35336,0.01054900237795664
0.07,83154,388,300,-9.987760915540438,260.56,36576,0.01053348196001025
0.07,85959,403,310,-9.986226721039039,261.6,37976,0.0011897869189851917
0.07,88804,417,320,-9.726368900365005,260.21,39400,0.020318628194218036
0.07,91741,432,330,-9.72687397002632,263.01,40864,0.010770423381472938
0.07,94545,447,340,-9.45669640079204,261.05,42272,0.01139361131208716
0.07,97545,462,350,-9.413733745298845,262.21,43768,0.0012538670125650242
0.07,100545,478,360,-9.524044112383097,267.57,45272,0.010071304714074358
0.07,103545,493,370,-9.69733025893124,274.63,46768,0.0010668652612366714
0.07,106545,509,380,-9.939805157545774,282.74,48272,0.0009161070993286557
0.07,109545,524,390,-10.091665272569763,287.58,49768,0.0009570575421093963
0.07,112545,539,400,-10.311980816625844,292.91,51272,0.0010253028303850442
0.07,115545,555,410,-10.236425213375297,294.86,52768,0.0008328509356942959
0.07,118545,570,420,-10.448253608177467,296.41,54272,0.0008095353696262464
0.07,121545,585,430,-10.494339974822926,297.04,55768,0.0008484114150633104
0.07,124252,599,440,-10.536698905809844,296.07,57120,0.0009316369905718602
0.07,127252,615,450,-10.498747533613427,296.07,58624,0.0008388742280658334
0.07,130252,630,460,-10.543103140921936,296.07,60120,0.0008994485324365087
0.07,133252,645,470,-10.485972540925589,296.07,61624,0.0010370420277467929
0.07,136252,661,480,-10.527771433344338,296.07,63120,0.0009012271621031687
0.07,139252,676,490,-10.384306927480255,296.07,64624,0.0009856783581199124
0.07,141957,690,500,-10.205939753512238,293.12,65976,0.0012235076355864294
0.07,144835,704,510,-10.095135709627408,291.9,67416,0.0008972538562375121
0.07,147537,718,520,-9.863015151118518,288.92,68768,0.001047438920068089
0.07,150239,732,530,-9.617173253735203,285.94,70112,0.0010103752865688875
0.07,153239,747,540,-9.65667388699667,288.87,71616,0.0010041649657068774
0.07,156239,763,550,-9.626348475428506,288.87,73112,0.0008172829839168116
0.07,158941,777,560,-9.452603454354056,285.89,74464,0.0008594513710704632
0.07,161642,791,570,-9.363551921866236,282.9,75816,0.0007118173234630376
0.07,164642,806,580,-9.46479892437861,282.9,77320,0.0006299383676378056
0.07,167642,821,590,-9.584840675245882,282.9,78816,0.0005840053781867027
0.07,170344,836,600,-9.656966731849188,282.87,80168,0.031947545809089206
0.07,173344,851,610,-9.838299756742224,284.09,81664,0.0006511325700557791
0.07,176344,867,620,-10.003721567175553,287.07,83168,0.01131833049657871
0.07,179344,882,630,-10.215539020846222,290.05,84664,0.000515548435942037
0.07,182344,897,640,-10.287229987743444,290.05,86168,0.0005247665139904711
0.07,185344,913,650,-10.324400672019067,290.05,87664,0.00048106493341038004
0.07,188344,928,660,-10.431872252848347,293.03,89168,0.00040700013778405264
0.07,191045,942,670,-10.37817598068496,293.03,90520,0.00045268484609550796
0.07,194045,958,680,-10.220821408138239,293.03,92016,0.00040846389674698
0.07,197045,973,690,-10.008954452643868,293.03,93520,0.0003782749881793279
0.07,200045,989,700,-9.978028139066787,296.01,95016,0.0003919617593055591
