rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss
0.9394569999999999,2604,2,10,13.927119193151464,259.4,,
0.8950959999999999,4512,4,20,12.410825493016187,224.6,,
0.8455037500000002,6645,7,30,12.13833577826534,220.5,,
0.7924007499999999,8929,11,40,12.40993313844198,222.225,,
0.7388560000000001,11232,18,50,12.354991014456594,223.64,608,0.047224309568719036
0.6922165000000002,13238,28,60,12.039968423491853,219.63333333333333,1616,0.019315627490868792
0.6320222500000002,15827,42,70,12.316087704051421,225.1,2912,0.009560780000356317
0.5629697500000002,18797,57,80,12.615837858529337,233.9625,4392,0.000164320490512182
0.49321975000000007,21797,73,90,12.777368248894211,241.1888888888889,5896,0.00986683125665877
0.4312352500000003,24463,88,100,12.744719555513182,243.63,7224,0.00031460609534406103
0.3614852500000003,27463,104,110,12.635589556487632,247.59,8728,0.010312493061064743
0.2917352500000002,30463,121,120,12.915991476651822,258.51,10224,0.02098305469553452
0.22198525000000013,33463,138,130,13.063084161284289,267.18,11728,0.021950610549538396
0.15223525000000016,36463,155,140,13.08369236584442,274.34,13224,0.011271239804045763
0.08248525000000007,39463,171,150,13.163178879394696,281.31,14728,0.000732789485482499
0.07,42463,187,160,13.378026466156145,291.25,16224,0.011717818451870698
0.07,45463,204,170,13.221494982138282,295.36,17728,0.02464628803136293
0.07,47869,217,180,12.74671153748651,289.72,18928,0.0009224274544976652
0.07,50576,231,190,12.459872320739528,286.79,20280,0.0009501199529040605
0.07,53576,248,200,12.503432382027892,290.13,21784,0.025282162983785383
0.07,56576,264,210,12.424877719809007,290.13,23280,0.014418618462514132
0.07,59576,280,220,12.290195116147448,290.13,24784,0.027320981964294333
0.07,62277,295,230,12.116779189916342,287.14,26136,0.027233540124143474
0.07,65100,310,240,11.93963042033267,285.37,27544,0.0009837079342105426
0.07,67222,322,250,11.561245591808495,276.59,28608,0.01410457579913782
0.07,69869,336,260,11.39137786841982,273.06,29928,0.001124006332247518
0.07,72508,350,270,11.235650352007974,269.45,31248,0.0010077756160171703
0.07,75210,365,280,11.340090962994815,272.41,32600,0.027643604676995892
0.07,78089,380,290,11.447307266935411,274.13,34040,0.014110190655628685
0.07,81089,397,300,11.379292858941172,274.13,35544,0.0009706294076750055
0.07,84089,413,310,11.407167890388102,274.13,37040,0.0009671882435213774
0.07,86791,427,320,11.233399326880235,271.15,38392,0.0010580406597000547
0.07,89688,443,330,11.311140579882718,273.11,39840,0.0008886541181709617
0.07,92688,459,340,11.380868852842774,274.88,41336,0.014365259958140086
0.07,95688,475,350,11.613127492849557,283.66,42840,0.0008996898250188679
0.07,98688,491,360,11.670605988770468,287.19,44336,0.029002435694565065
0.07,101392,506,370,11.631121693192442,287.84,45688,0.0008998540361062624
0.07,104392,522,380,11.750223766231871,290.82,47192,0.000810236349934712
0.07,107327,538,390,11.67844337422747,291.38,48656,0.0006712150534440298
0.07,110032,552,400,11.495940925314683,288.43,50008,0.0006881547742523253
0.07,113032,568,410,11.44461204535568,288.43,51512,0.013373620553466026
0.07,115897,584,420,11.52814193896671,290.06,52944,0.0004859622167714406
0.07,118300,597,430,11.258839656253826,285.12,54144,0.0004902709479210898
0.07,121300,613,440,11.164915686677308,285.12,55648,0.0004728132225864101
0.07,124003,628,450,11.097140481595003,282.15,57000,0.013008621488552308
0.07,126721,642,460,11.003801476812498,279.33,58360,0.0004033535369671881
0.07,129425,657,470,11.011686617429454,279.33,59712,0.00038119314922369085
0.07,132425,673,480,10.890011211295658,279.33,61208,0.0003794484400714282
0.07,135425,689,490,10.781771499962968,279.98,62712,0.0004066056753799785
0.07,138425,705,500,10.82193762995717,282.93,64208,0.00043481714601512067
0.07,141425,721,510,10.613565569456147,282.93,65712,0.0003672659913718235
0.07,144425,738,520,10.529212840998145,284.28,67208,0.00032520770400878973
0.07,147425,754,530,10.662240676957593,290.25,68712,0.00042037112507387064
0.07,150425,770,540,10.58112248933286,290.25,70208,0.00037869442530791275
0.07,153425,786,550,10.569855337992262,293.22,71712,0.0003850037173833698
0.07,156126,801,560,10.467629136726437,293.05,73056,0.000457047743111616
0.07,159126,817,570,10.46770164813867,296.01,74560,0.0004018267536594067
0.07,161827,831,580,10.326100617567512,293.02,75912,0.00037651976526831277
0.07,164529,846,590,10.275166358275435,290.04,77264,0.0003922603136743419
0.07,167230,860,600,10.17491041583828,287.05,78608,0.012741583253955469
0.07,170230,877,610,10.240996270661878,287.05,80112,0.00043933093911618926
0.07,173230,893,620,10.16314511092298,287.05,81608,0.0003609174527809955
0.07,176230,909,630,10.094502528443067,287.05,83112,0.00037757163590868004
0.07,179230,925,640,10.030332582897241,287.05,84608,0.0003761858206416946
0.07,182230,942,650,9.993326209567698,287.05,86112,0.0003434871723584365
0.07,184932,957,660,9.972526208732015,287.06,87464,0.00038587628660025075
0.07,187932,972,670,9.964981934884634,287.06,88960,0.00035151411248079967
0.07,190932,989,680,10.102374845991658,290.05,90464,0.00031220504752127454
0.07,193670,1003,690,10.154357982555092,290.41,91832,0.00028922370256623253
0.07,196670,1020,700,10.279072439186884,293.4,93328,0.0003269889839430107
0.07,199494,1035,710,10.245814002949992,291.64,94744,0.0003100248686678242
