time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
2388,0.9444790000000003,237.8,2,-15.12464860896848,10,,
4404,0.8976069999999998,219.2,4,-12.863010781692196,20,,
6258,0.8545014999999998,207.6,7,-12.204707986765913,30,,
8290,0.8072575000000001,206.25,10,-12.20286542246537,40,,
10770,0.7495975000000002,214.4,16,-12.988638184576962,50,384,0.0553970283272065
12517,0.70897975,207.61666666666667,24,-12.425446769595018,60,1256,0.027621288872978766
13458,0.6871015000000003,191.25714285714287,29,-11.106106236005713,70,1728,0.02756070240502595
14307,0.66736225,177.8375,33,-10.172721995981126,80,2152,0.009270583061152138
14706,0.6580855000000001,162.4,35,-9.231409584759637,90,2352,0.009269889229472028
15173,0.6472277500000002,150.73,37,-8.51676534879446,100,2584,0.06411126449529547
15579,0.6377882499999998,130.91,39,-7.151571830890398,110,2784,0.054514580635441234
15958,0.6289764999999998,114.54,41,-6.2439635440218355,120,2976,0.05434651149334968
16359,0.6196532499999998,100.01,43,-5.283043812162152,130,3176,0.045070226275129244
16759,0.6103532500000002,83.69,45,-4.213396984735014,140,3376,0.03611854144037352
17071,0.6030992500000003,62.01,47,-2.724763372426769,150,3528,0.10686019714921713
17518,0.5927064999999998,49.01,49,-1.9251661449895274,160,3752,0.06222949879884254
17848,0.5850340000000002,42.9,51,-1.7276562560164725,170,3920,0.08048090945521835
18459,0.5708282499999999,40.52,54,-1.6133851299737947,180,4224,0.035640250163851306
19008,0.5580639999999999,42.02,57,-1.6225570655462929,190,4496,0.04392383097001584
19482,0.5470435,42.09,59,-1.5951398582588874,200,4736,0.07859159214422107
20036,0.5341629999999998,43.57,62,-1.6391435945966546,210,5016,0.0685247356450418
20587,0.5213522500000001,45.29,65,-1.683146168022503,220,5288,0.043189069780055434
21081,0.5098667500000003,46.22,67,-1.7212657429048024,230,5536,0.04317656150669791
21635,0.49698624999999996,47.76,70,-1.7740100345946646,240,5816,0.043164847695152275
22224,0.48329200000000005,50.53,74,-1.8774418930274934,250,6104,0.08411050465656444
22699,0.47224825000000004,50.81,76,-1.8740430496464313,260,6344,0.10651399608468637
23149,0.4617857500000001,52.01,78,-1.889185419826332,270,6568,0.09040005371207371
23473,0.4542527500000003,49.14,80,-1.7379478969037567,280,6736,0.0653583878010977
23927,0.4436972499999998,48.19,83,-1.7241868479770615,290,6960,0.08056732238037512
24299,0.4350482499999999,47.17,85,-1.677889491968889,300,7144,0.11081716328044422
24714,0.42539950000000026,45.78,87,-1.6556722621016635,310,7352,0.09354982408694923
25024,0.418192,43.37,89,-1.5591688037977836,320,7504,0.07216753778629936
25438,0.40856649999999994,42.57,91,-1.5207400678736218,330,7712,0.07055563619360328
25717,0.4020797500000003,39.82,92,-1.4136703241286712,340,7856,0.13726136565674096
25912,0.39754600000000007,35.88,93,-1.2465588709293334,350,7952,0.08439768006792292
26217,0.39045474999999996,34.18,95,-1.1893268852307068,360,8104,0.07073047518497333
26566,0.3823405000000001,33.17,97,-1.1874247709537513,370,8280,0.13323290972039104
26809,0.3766907500000002,32.36,98,-1.1684997392710565,380,8400,0.09074068680638447
27147,0.3688322500000003,31.2,100,-1.1176544083683297,390,8568,0.0893774377182126
27477,0.3611597500000002,30.78,102,-1.0812879999411393,400,8736,0.08908368070842698
27744,0.35495200000000027,29.3,103,-1.0081603089609568,410,8864,0.11454863456310704
28114,0.3463495000000002,29.9,105,-1.0368209843744014,420,9056,0.14610380289377645
28540,0.3364449999999999,30.02,108,-1.030307809028946,430,9264,0.05298696336103603
28846,0.3293305000000002,30.29,109,-1.0294426270635346,440,9416,0.07837029418442398
29131,0.32270425000000014,31.19,111,-1.063712680288107,450,9560,0.08372992323711514
29362,0.31733350000000005,30.45,112,-1.0559143393622061,460,9680,0.0831002900376916
29619,0.31135825000000017,29.53,113,-1.001563853209478,470,9808,0.0857485497253947
29957,0.30349974999999985,30.48,115,-1.0312742865773155,480,9976,0.1069068443030119
30185,0.2981987500000002,29.38,116,-0.9849698988159925,490,10088,0.11229027528315783
30526,0.2902704999999999,29.49,118,-0.9899870871229217,500,10256,0.11337741976603866
30727,0.28559725000000025,28.83,119,-0.9550134325634073,510,10360,0.0320030422299169
31050,0.27808750000000004,28.36,121,-0.9562627788329234,520,10520,0.1584557638852857
31322,0.27176350000000005,26.82,123,-0.9386912588623679,530,10656,0.11509172921068966
31534,0.2668345000000002,25.88,124,-0.9126814500216633,540,10760,0.10879794647917151
31838,0.25976650000000034,26.07,126,-0.9271395729672394,550,10912,0.09124833787791431
32155,0.2523962500000001,26.93,127,-0.9429126994154063,560,11072,0.07532685110345483
32402,0.2466535000000002,26.83,129,-0.9430634577260277,570,11200,0.07822774921078235
32670,0.2404225000000001,26.13,130,-0.920618644421151,580,11328,0.08449153386754915
32868,0.2358189999999999,25.83,131,-0.9082819977813148,590,11432,0.0746417457703501
33130,0.2297275000000003,25.04,133,-0.9039088722747131,600,11560,0.0952142053283751
33376,0.22400799999999998,25.49,134,-0.9216272645649691,610,11680,0.13904201798141003
33598,0.21884650000000017,24.48,135,-0.8744557357313559,620,11792,0.13268491835333407
