rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
-22.25310195037183,0.07,1000,299.0,4.7327667289209785e-05,3000,10,13
-16.368359865706626,0.07,1952,244.3,0.00938333158774185,4906,20,25
-12.323584615881009,0.07,2600,205.86666666666667,0.018664353015992674,6206,30,33
-9.668898462529247,0.07,2808,164.25,0.06560043870922527,6610,40,35
-8.104505157149578,0.07,3040,140.66,0.01865935702880961,7083,50,38
-7.073147480354267,0.07,3320,126.41666666666667,0.06451937109886785,7645,60,41
-6.432594683676513,0.07,3744,120.3,0.03688543711177772,8491,70,47
-5.8482660106340605,0.07,4048,112.6625,0.027492468885611743,9093,80,50
-5.356108701093932,0.07,4240,104.26666666666667,0.0547361154895043,9474,90,53
-4.987895059520351,0.07,4496,98.91,0.09855865302233724,9991,100,56
