rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
-5.313068930819874,1,988,97.8,10,0.9770290000000003,,
-6.747514250362653,2,2364,117.2,20,0.9450369999999998,,
-8.046449246195804,4,4263,141.1,30,0.9008852500000002,,
-8.244906834438911,6,5698,141.45,40,0.8675215,,
-7.684709496461258,7,6508,129.16,50,0.848689,,
-7.848390008801492,9,7838,129.63333333333333,60,0.8177664999999997,,
-8.79384384024321,12,9949,141.12857142857143,70,0.7686857499999998,,
-9.210260902040421,21,11806,146.575,80,0.7255105,0.03723831887691631,896
-8.69217741410355,26,12725,140.38888888888889,90,0.7041437499999998,0.00973898410302354,1360
-8.351143258648381,31,13786,136.86,100,0.6794754999999999,0.07407432884792797,1888
-8.328833811622353,37,14831,137.43,110,0.6551792500000002,0.08337450789986178,2408
-7.840256476632557,40,15532,130.68,120,0.6388809999999998,0.07443411900021601,2760
-7.12743414800797,44,16327,119.64,130,0.62039725,0.12774445340619422,3160
-6.730893493674653,49,17295,114.97,140,0.5978912500000002,0.07421118958154693,3640
-6.485954010412923,53,17953,113.45,150,0.5825927500000001,0.0651234319084324,3976
-6.051634865986217,57,18845,109.07,160,0.56185375,0.05693121737567708,4416
-4.843267486974855,60,19381,93.32,170,0.54939175,0.07447308202972636,4688
-4.008052815340072,65,20195,82.89,180,0.5304662499999999,0.03950655256630853,5096
-4.034030514241544,70,21148,83.23,190,0.5083090000000003,0.04930979624623433,5568
-3.798984903017674,73,21705,78.19,200,0.49535875000000007,0.057438264484517276,5848
-3.663392482173168,77,22474,75.43,210,0.4774795000000003,0.06556611193809658,6232
-3.698650421311961,80,23169,75.37,220,0.46132075000000017,0.12465963268186897,6584
-3.5464142754245422,83,23619,71.92,230,0.4508582499999998,0.05707300949143246,6808
-3.451159798254835,87,24407,70.12,240,0.4325372500000001,0.11461002373835072,7200
-3.625944847960312,92,25364,73.11,250,0.4102870000000004,0.11374839092604816,7680
-3.708659460698067,98,26456,75.11,260,0.3848980000000003,0.08295232115779072,8224
-3.705022443840857,101,26974,74.93,270,0.37285449999999987,0.08729612047318369,8480
-3.768209416618987,106,27902,76.07,280,0.35127850000000005,0.11100363393779844,8944
-3.5955710481951235,110,28528,72.8,290,0.33672400000000013,0.0943945930339396,9256
-3.6903742137156708,114,29422,76.17,300,0.31593850000000023,0.1115348523017019,9704
-3.7725130357642938,120,30413,78.39,310,0.29289775000000007,0.07961698231520131,10200
-3.929271423950337,127,31600,83.31,320,0.2653,0.08654168271459639,10792
-4.356479730819137,135,33048,93.29,330,0.2316339999999999,0.06666501029394567,11520
-4.625886598111924,144,34614,101.07,340,0.1952244999999998,0.048075014259666204,12304
-4.533904567640807,149,35503,100.39,350,0.17455525000000027,0.12566397339105606,12744
-4.403728802264631,155,36443,98.87,360,0.1527002500000001,0.1270067635923624,13216
-4.76373128291985,163,37955,108.81,370,0.11754625000000007,0.07978220540098846,13976
-4.662851109788439,168,38847,108.45,380,0.09680725000000046,0.05936863087117672,14416
-4.763692049994484,174,39984,113.56,390,0.07037200000000021,0.0995720912469551,14984
-4.6715608115187965,179,40809,112.87,400,0.07,0.061637560138478875,15400
-4.406656476391274,182,41358,108.45,410,0.07,0.12215419206768274,15672
-4.351792504448136,189,42696,109.96,420,0.07,0.04581750568468124,16344
-4.0919397181859605,195,43747,105.99,430,0.07,0.037455561803653836,16872
-3.9558244247170653,203,45233,105.19,440,0.07,0.09528530365787446,17616
-4.013482281723133,209,46496,108.93,450,0.07,0.07993309176526964,18240
-4.017059293927164,215,47574,110.31,460,0.07,0.031141540152020752,18784
-3.8016844156741376,221,48597,105.42,470,0.07,0.0638512423611246,19296
-3.8641810258248572,227,49644,106.97,480,0.07,0.0654144692234695,19816
-3.8462060442500476,232,50725,106.41,490,0.07,0.09483050392009318,20360
-3.8255986862099127,237,51579,106.7,500,0.07,0.11754944361746311,20784
-3.830027833094955,240,52203,107.45,510,0.07,0.1273506518919021,21096
-3.4976788057664523,242,52644,98.48,520,0.07,0.039057638903614134,21320
-3.3110452481301214,245,53152,93.05,530,0.07,0.04039167216978967,21568
-2.9659192862283312,248,53750,84.17,540,0.07,0.06981174112297595,21872
-2.663649284449069,251,54244,76.48,550,0.07,0.037461023370269686,22120
-2.5051533743013827,255,54943,72.69,560,0.07,0.0845748744904995,22464
-2.3429818028210496,258,55608,69.11,570,0.07,0.07724004820920527,22800
-2.1653520862996034,262,56384,66.4,580,0.07,0.09162255271803588,23184
-1.9284749137284114,265,56832,60.07,590,0.07,0.10057700867764652,23408
-1.8397729898544113,268,57402,57.23,600,0.07,0.06251419498585165,23696
-1.943622101974608,273,58327,60.24,610,0.07,0.10387377394363284,24160
-2.17204640942338,279,59476,67.32,620,0.07,0.07834577583707869,24736
-2.4157133718959782,285,60731,74.79,630,0.07,0.057258302869740874,25360
-2.6838621688295747,293,62111,82.61,640,0.07,0.06560390710365027,26048
-2.8084149554885762,297,62947,86.03,650,0.07,0.058711530175060034,26472
-2.8528922288684573,301,63713,86.7,660,0.07,0.10462170734535903,26856
