rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9811907500000001,79.9,809,10,4.905280856506641,0,,
0.9585219999999999,88.2,1784,20,5.734816774375888,1,,
0.9352255,91.86666666666666,2786,30,5.687739766280576,3,,
0.9144400000000001,91.0,3680,40,5.761471722098618,4,,
0.8867957500000002,96.38,4869,50,6.056862775176047,5,,
0.84759625,108.25,6555,60,6.776953091764372,7,,
0.8215330000000002,108.65714285714286,7676,70,6.8916582837127205,9,,
0.7871462499999999,113.4375,9155,80,7.353373741939227,11,,
0.7512714999999999,117.86666666666666,10698,90,7.707474921479368,16,344,0.019220443777157925
0.722302,118.44,11944,100,7.750373404841332,23,968,0.05720657628990011
0.6927279999999999,123.07,13216,110,7.942909363648423,29,1600,0.04216106189414859
0.67563925,120.67,13951,120,7.642008082687488,33,1968,0.06815802468918264
0.6583644999999998,118.08,14694,130,7.4652665903898185,37,2344,0.14528222629451193
0.6389275000000001,117.5,15530,140,7.303431246190118,41,2760,0.06924909647204913
0.6176770000000003,114.75,16444,150,7.043925640610359,46,3216,0.08049276063684374
0.6006580000000002,105.21,17176,160,6.372910266496225,50,3584,0.0715098996006418
0.5866382500000002,100.03,17779,170,5.951321057058336,53,3888,0.10141963182832114
0.5693169999999999,92.69,18524,180,5.2910562334953966,57,4256,0.07286430185195059
0.5525072500000002,84.49,19247,190,4.6367111595081125,61,4616,0.1348332141060382
0.5358137499999998,79.21,19965,200,4.207311642571489,65,4976,0.13573868479579687
0.5074952500000001,78.67,21183,210,4.185092200698475,72,5584,0.1297245844034478
0.47368975000000024,85.86,22637,220,4.646539194527045,80,6312,0.05961827002465725
0.4364432500000004,94.45,24239,230,5.1688995798556,89,7112,0.1487601883127354
0.4036375000000002,100.2,25650,240,5.503218224909228,98,7824,0.14756140718236566
0.37113399999999985,105.04,27048,250,5.789419522047098,105,8520,0.10912743245717138
0.3380725000000002,111.94,28470,260,6.140925441531109,114,9232,0.11302631779108196
0.3072894999999999,119.15,29794,270,6.455721475024184,121,9896,0.12540873850230128
0.26971750000000005,127.86,31410,280,6.8196268129277975,131,10704,0.10626828810200095
0.22872775,138.26,33173,290,7.277495787510235,142,11584,0.13138700590934604
0.1969915000000001,144.73,34538,300,7.531034905385752,150,12264,0.17204590333858505
0.1707190000000004,143.85,35668,310,7.397818746552373,156,12832,0.12447777361376211
0.13696000000000008,143.83,37120,320,7.253148962624671,165,13552,0.09953257534652948
0.10250350000000008,142.63,38602,330,7.02433208519044,174,14296,0.12838871753774583
0.07,144.27,40177,340,6.972510266981905,183,15088,0.08868397132027894
0.07,138.07,40955,350,6.588774108988414,187,15472,0.09001880453433841
0.07,140.43,42613,360,6.646275262788667,196,16304,0.11932652990799397
0.07,138.71,43765,370,6.526882800836526,203,16880,0.10458408220438287
0.07,137.46,45256,380,6.411713852956582,211,17624,0.04810853354865685
0.07,140.08,47281,390,6.361909900711091,221,18640,0.09176677523646504
0.07,133.76,48014,400,5.981260078390125,226,19000,0.05017355305608362
0.07,128.11,48579,410,5.678220073709195,229,19288,0.10292542609386146
0.07,118.52,49072,420,5.159550483186925,232,19528,0.07862336741527542
0.07,106.8,49382,430,4.617657784979366,234,19688,0.17690282792318612
0.07,95.05,49782,440,4.068872265973793,236,19888,0.11982737301150337
0.07,92.04,50259,450,3.9134129154876063,239,20128,0.034067617263644934
0.07,82.29,50942,460,3.4153976360841374,243,20464,0.11991389212198555
0.07,78.33,51698,470,3.20513230251228,247,20848,0.09076909674331546
0.07,69.12,52268,480,2.806605838723259,250,21128,0.11893698037602007
0.07,52.88,52669,490,2.167412810771332,252,21328,0.10590457386570051
0.07,55.14,53628,500,2.326611947962065,258,21808,0.1491846825229004
0.07,59.45,54624,510,2.5579212084910714,264,22304,0.09243092068936676
0.07,78.57,57029,520,3.404604316242617,277,23512,0.12219142762478441
0.07,99.84,59466,530,4.311849515609376,291,24728,0.19353193289134651
0.07,116.65,61547,540,5.071523723827307,303,25768,0.1945828851312399
0.07,133.61,63720,550,5.798324224442052,315,26856,0.15129111497662961
0.07,139.4,64982,560,6.035048554477146,322,27488,0.18287926830817014
0.07,145.69,66367,570,6.206783034900497,330,28176,0.12299646221799776
0.07,156.15,67983,580,6.540698624705372,339,28984,0.049415876681450754
0.07,163.57,69126,590,6.783759737556434,345,29560,0.2310658265487291
0.07,171.3,70858,600,7.038994748502099,355,30424,0.14189541450468823
0.07,170.17,71741,610,6.931742226816966,360,30864,0.12599503865931183
0.07,158.98,73027,620,6.451724361270659,367,31512,0.1580519638955593
0.07,145.88,74154,630,5.879847013201605,373,32072,0.20379722956568003
0.07,135.26,75173,640,5.3561395963063045,379,32584,0.11315800703596324
0.07,129.15,76735,650,5.067648815646714,388,33360,0.15993078955216333
0.07,129.04,77986,660,5.069084137760308,395,33992,0.1608063681051135
0.07,125.83,79050,670,5.023218330669669,401,34520,0.1138078422518447
0.07,118.75,79958,680,4.81306472443382,406,34976,0.16054150107083842
0.07,115.21,80747,690,4.742504587990871,411,35368,0.12948301975848153
0.07,101.55,81113,700,4.227509656371145,413,35552,0.08186899777501822
0.07,97.34,81575,710,4.083995286148698,416,35784,0.14463910937774926
0.07,87.38,81865,720,3.6913779600944214,418,35928,0.144307430338813
0.07,80.29,82283,730,3.4096419397027495,421,36136,0.09888156550005078
0.07,74.79,82752,740,3.2179985304076775,423,36368,0.05227938070311211
0.07,70.15,83850,750,2.974730098391205,429,36920,0.1613658998394385
0.07,69.31,85017,760,2.93140695707029,436,37504,0.1449975963914767
0.07,76.63,86813,770,3.1037045501855944,446,38400,0.10054594103712589
0.07,80.19,88077,780,3.2281991663862715,453,39032,0.16140604770043865
0.07,86.5,89497,790,3.3503429547897543,461,39744,0.16195287893060595
0.07,93.06,90519,800,3.6261529424209713,467,40256,0.16260447964305058
0.07,95.82,91257,810,3.7615854875194827,471,40624,0.09986671700607985
0.07,100.78,92043,820,3.956734399055053,475,41016,0.11700905283214524
0.07,105.3,92913,830,4.152503108310341,480,41456,0.16411845706170425
0.07,109.01,93753,840,4.272886247968686,485,41872,0.14782274956814945
0.07,103.36,94286,850,4.120718113156959,488,42136,0.11753027758095413
0.07,97.8,94897,860,3.899870143821831,492,42448,0.14624968729913235
0.07,87.9,95703,870,3.630356074742041,496,42848,0.1491146491607651
0.07,80.11,96188,880,3.352851424160109,499,43088,0.06810256553580984
0.07,72.86,96883,890,3.1884934093483626,503,43440,0.1981898689409718
0.07,71.28,97747,900,3.149707459118772,508,43872,0.16257945401594043
0.07,68.34,98191,910,3.011266670299877,511,44088,0.1472048171563074
0.07,69.99,99142,920,3.121452496819393,516,44568,0.11645470646908507
0.07,72.31,100244,930,3.2313782396314474,523,45120,0.22568227589363232
0.07,81.47,102000,940,3.711323222554591,532,45992,0.17794424228486605
0.07,92.61,103647,950,4.190654417684809,542,46816,0.11512701993342489
0.07,102.81,105278,960,4.639016868419606,551,47632,0.13287150458199903
0.07,107.12,106515,970,4.826174109589039,558,48256,0.1459170225134585
0.07,108.39,107127,980,4.874481516873007,561,48560,0.08282990430598147
0.07,108.3,107813,990,4.8743437680066695,565,48904,0.24017249792814255
0.07,104.8,108327,1000,4.6968854394357775,568,49160,0.14588662702590227
0.07,104.96,108787,1010,4.70486101579358,570,49392,0.22257936740061268
0.07,100.53,109295,1020,4.496219029772449,573,49640,0.1449913798714988
0.07,92.64,109608,1030,4.143920725838955,575,49800,0.11348435346735641
