rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.9885145000000002,10,0,-2.629525891233331,494,48.4,,
0.9709607500000003,20,1,-3.4671764323821583,1249,61.45,,
0.9569875000000001,30,1,-3.581848310292933,1850,60.666666666666664,,
0.9315054999999999,40,3,-4.722316852955627,2946,72.65,,
0.9145097500000001,50,4,-4.7050297190349815,3677,72.54,,
0.8916550000000001,60,5,-5.000865944739593,4660,76.66666666666667,,
0.8698697499999999,70,6,-5.240274158219799,5597,78.95714285714286,,
0.8494794999999999,80,7,-5.390022202016809,6474,79.925,,
0.8196497500000002,90,9,-5.777082197993009,7757,85.18888888888888,,
0.7811012500000001,100,12,-6.477747502393317,9415,93.15,,
0.7585720000000002,110,15,-6.920806218855466,10384,97.9,0.06494445130738313,184
0.73520575,120,19,-7.155049088979419,11389,100.4,0.07405543325512554,688
0.7130484999999999,130,24,-7.4044963687055265,12342,103.92,0.09281703546002973,1168
0.6823817499999998,140,31,-7.3563951351062835,13661,106.15,0.08447125885868445,1824
0.66154975,150,36,-7.387806330653288,14557,107.8,0.10398650728166103,2272
0.6347425,160,41,-7.335563927426407,15710,109.5,0.1502011989359744,2848
0.6169562500000001,170,45,-7.109041869623599,16475,107.78,0.06947155826492235,3232
0.5913115,180,51,-7.076187442462579,17578,110.04,0.060237735393457115,3784
0.5668059999999999,190,57,-6.757332272685434,18632,107.75,0.1155246066628024,4312
0.54901975,200,61,-5.896871956707633,19397,98.82,0.06282261677552015,4696
0.5296525000000003,210,65,-5.652248833268682,20230,97.46,0.10662980831693858,5112
0.5104945000000002,220,70,-5.412124674775965,21054,95.65,0.12615830171853304,5520
0.4780375000000002,230,77,-5.530669774429523,22450,100.08,0.08193810365628451,6224
0.45088149999999994,240,84,-5.360340818957145,23618,98.57,0.08953437558375299,6808
0.42172599999999993,250,90,-5.517355532354893,24872,102.15,0.11539972783066332,7432
0.3878042500000003,260,99,-5.711270433226941,26331,105.21,0.0983509081415832,8160
0.35681200000000013,270,106,-5.964283340159684,27664,110.89,0.07152727607171983,8824
