time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
1058,104.8,10,6.426524441054103,1,0.9754014999999999,,
2598,128.9,20,7.925101772518737,3,0.9395965000000003,,
4711,156.03333333333333,30,9.165148072895194,5,0.89046925,,
6274,155.85,40,9.426421723797828,8,0.8541295,,
7818,155.36,50,9.33089243038341,10,0.8182315000000002,,
9983,165.38333333333333,60,10.086571821455202,13,0.7678952499999998,,
11794,167.4857142857143,70,10.304969016076852,22,0.7257895000000002,896,0.029008559702560888
13329,165.6125,80,10.015573731239309,30,0.6901007500000003,1664,0.06863402706221677
14356,158.51111111111112,90,9.397434207807592,35,0.6662230000000002,2176,0.019989842316135764
15116,150.16,100,8.830236850739915,39,0.6485530000000002,2552,0.0788598743165494
15721,145.63,110,8.45692489493023,42,0.6344867499999999,2856,0.04006615934486035
16458,137.6,120,7.8529146002337225,46,0.6173515000000003,3224,0.05032241967273876
17297,124.86,130,7.10386479705654,50,0.5978447499999999,3648,0.08017651410773396
17769,113.95,140,6.282598022725263,53,0.5868707500000003,3880,0.0607835597184021
18441,105.23,150,5.709571661430714,56,0.57124675,4216,0.0805941708094906
19111,90.28,160,4.5921910214042665,60,0.5556692499999998,4552,0.07190391450421885
19536,76.42,170,3.604359890017262,62,0.545788,4760,0.10171222739154473
20061,66.32,180,3.04775755201727,65,0.5335817500000002,5024,0.10250535840168595
20856,64.0,190,2.939484685806627,69,0.5150979999999998,5424,0.05406797397881746
21288,60.72,200,2.7771428191728176,71,0.5050540000000001,5640,0.054858406190760434
21761,59.4,210,2.7046793516251277,74,0.4940567499999998,5880,0.046364424226339906
22301,57.43,220,2.584773329864527,77,0.4815017500000002,6144,0.03744181664660573
22728,53.31,230,2.3625561428834287,79,0.47157400000000016,6360,0.146039598621428
23426,55.57,240,2.459281787739294,83,0.4553455000000003,6712,0.07096435991115868
24046,55.05,250,2.3874687900549225,86,0.4409304999999998,7016,0.07024913630448282
24527,53.16,260,2.3447127635923213,89,0.4297472499999998,7256,0.11914327018894255
25028,53.92,270,2.3794485529055645,92,0.418099,7512,0.14007813204079866
25685,55.24,280,2.4039645724751284,95,0.40282375000000004,7840,0.05197521415539086
26165,52.09,290,2.2703398295985067,98,0.3916637500000002,8080,0.07284028152935207
26750,53.62,300,2.3111858963778245,101,0.37806249999999986,8368,0.1547508086077869
27234,53.73,310,2.31324110005387,104,0.3668095,8616,0.13661217573098838
27656,52.55,320,2.2530793310407313,106,0.35699800000000026,8824,0.12902037263847888
28107,52.79,330,2.2472218940993622,109,0.3465122500000002,9048,0.06703447783365846
28689,51.63,340,2.212608001044201,112,0.3329807499999998,9344,0.09815102024003863
29105,49.59,350,2.11623394303254,114,0.32330875000000003,9552,0.10091458004899323
29474,48.47,360,2.0588795159119084,116,0.3147295000000001,9736,0.16094021871685982
29953,48.25,370,2.0712417994001426,119,0.30359274999999986,9976,0.1228409381583333
30440,46.55,380,2.0229670106021946,122,0.29227000000000003,10216,0.19674398936331272
30949,46.84,390,2.054374095467299,125,0.28043575,10472,0.11325602559372783
31237,43.87,400,1.9330354799634375,126,0.27373975000000006,10616,0.13600221299566329
31707,43.73,410,1.9352953948228022,129,0.2628122500000002,10848,0.13174711167812347
32114,43.58,420,1.9302624930088177,131,0.2533495000000001,11056,0.1667022774927318
32552,43.45,430,1.9341661179066367,134,0.2431660000000001,11272,0.161814677529037
32997,42.08,440,1.862295138506609,136,0.23281975000000033,11496,0.16032862290740013
