rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates
71.7,7.170000000000011,10,0.9830972499999997,0,727,,
91.6,9.160000000000002,20,0.9569409999999998,2,1852,,
84.86666666666666,8.486666666666663,30,0.9401079999999999,3,2576,,
91.1,9.110000000000003,40,0.914347,4,3684,,
91.08,9.108000000000008,50,0.8929569999999998,5,4604,,
92.21666666666667,9.221666666666671,60,0.8699627499999999,7,5593,,
92.12857142857143,9.212857142857148,70,0.8484332499999998,8,6519,,
95.625,9.56250000000001,80,0.8202775000000002,10,7730,,
90.9,9.090000000000007,90,0.8076992499999999,11,8271,,
90.91,9.091000000000008,100,0.7863092500000002,13,9191,,
90.2,9.020000000000007,110,0.7710572499999999,14,9847,,
91.92,9.192000000000013,120,0.7409020000000001,22,11144,0.11570752428087872,568
91.64,9.164000000000012,130,0.7247199999999999,27,11840,0.1261218243816984,912
94.84,9.484000000000018,140,0.6915190000000002,38,13268,0.0699975341631216,1632
96.84,9.684000000000019,150,0.665479,46,14388,0.13054489643400302,2192
107.79,10.779000000000023,160,0.6170260000000001,61,16472,0.04196561269054655,3232
108.85,10.885000000000026,170,0.5930319999999998,69,17504,0.1183496600278886,3744
113.22,11.322000000000028,180,0.5547160000000002,81,19152,0.09819777630036697,4568
111.49,11.149000000000026,190,0.54616,84,19520,0.04457240737974644,4752
114.95,11.495000000000026,200,0.5167255000000002,94,20786,0.07868761223653564,5392
116.93,11.693000000000026,210,0.49687000000000026,101,21640,0.04684262556838803,5816
113.32,11.332000000000026,220,0.4751080000000002,108,22576,0.15027852136699948,6280
116.46,11.646000000000026,230,0.4516255000000001,116,23586,0.1397853335365653,6792
115.48,11.54800000000002,240,0.42070299999999994,126,24916,0.08456952030246612,7456
108.14,10.814000000000016,250,0.41172850000000005,129,25302,0.1553606090892572,7648
94.74,9.47400000000001,260,0.3944304999999998,135,26046,0.0987268131430028,8016
93.25,9.325000000000006,270,0.3739007500000001,142,26929,0.12323845164064551,8464
89.22,8.922000000000004,280,0.34495449999999983,152,28174,0.1624864907353185,9080
96.02,9.602000000000004,290,0.3205885000000003,160,29222,0.0759169228549581,9608
95.43,9.543000000000005,300,0.29252575000000014,170,30429,0.05238461228145752,10208
94.51,9.451000000000006,310,0.2748092499999998,176,31191,0.10196463664760813,10592
94.45,9.445000000000004,320,0.2531867500000001,183,32121,0.14306106176809408,11056
89.48,8.948000000000002,330,0.24125949999999996,187,32634,0.15775826759636402,11312
82.78,8.278000000000002,340,0.22591450000000013,192,33294,0.10666545637650415,11640
87.18,8.718000000000002,350,0.20671000000000017,199,34120,0.18648006860166788,12056
89.67,8.967000000000002,360,0.18362275000000028,206,35113,0.02847508371633012,12552
89.45,8.945000000000002,370,0.16360450000000026,213,35974,0.17516067341784947,12984
87.13,8.713000000000005,380,0.1400522500000002,221,36987,0.08251725045556668,13488
85.69,8.569000000000003,390,0.1190342499999999,229,37891,0.12471387737605255,13944
80.77,8.077,400,0.10241049999999996,234,38606,0.1243531377549516,14296
85.51,8.550999999999998,410,0.07367350000000006,244,39842,0.112536700675264,14920
84.21,8.421,420,0.07,250,40642,0.1410809216904454,15320
88.18,8.818000000000001,430,0.07,258,41552,0.20957514469046146,15768
88.87,8.887000000000002,440,0.07,264,42281,0.04475930903572589,16136
90.4,9.04,450,0.07,272,43260,0.03136751148849726,16624
90.7,9.069999999999999,460,0.07,280,44283,0.253772305091843,17136
90.51,9.050999999999998,470,0.07,287,45125,0.017990012071095407,17560
87.55,8.754999999999994,480,0.07,293,45842,0.17554769507842138,17920
85.88,8.587999999999994,490,0.07,299,46579,0.1723856557509862,18288
90.79,9.078999999999997,500,0.07,308,47785,0.13240060603129677,18888
86.73,8.672999999999996,510,0.07,315,48615,0.17890613211784512,19304
88.19,8.818999999999996,520,0.07,323,49561,0.19646148552419618,19776
93.24,9.323999999999998,530,0.07,334,50976,0.1231648667016998,20480
93.26,9.326000000000002,540,0.07,340,51707,0.1243693227879703,20848
91.98,9.198000000000002,550,0.07,347,52558,0.18110865305061452,21272
94.18,9.418000000000005,560,0.07,356,53801,0.14153331573470496,21896
93.81,9.381000000000006,570,0.07,362,54606,0.11117046751314774,22296
93.44,9.344000000000005,580,0.07,368,55286,0.12738575792172924,22640
94.8,9.480000000000008,590,0.07,374,56159,0.12398529797792435,23072
95.26,9.52600000000001,600,0.07,384,57411,0.14033005415694788,23704
97.51,9.75100000000001,610,0.07,393,58466,0.11283748329151422,24232
96.17,9.617000000000008,620,0.07,399,59278,0.25313270988408476,24632
90.0,9.000000000000007,630,0.07,406,60076,0.06672816642094404,25032
95.74,9.574000000000005,640,0.07,416,61381,0.13338067967561074,25688
96.91,9.691000000000008,650,0.07,424,62349,0.19546350280870683,26168
93.09,9.309000000000003,660,0.07,431,63210,0.08803589647868648,26600
95.12,9.512000000000002,670,0.07,439,64218,0.1528466584859416,27104
97.29,9.729000000000003,680,0.07,446,65115,0.11902616993756965,27552
95.08,9.508000000000003,690,0.07,451,65767,0.18292491626925766,27880
91.31,9.130999999999998,700,0.07,459,66642,0.055640738864894956,28320
85.27,8.526999999999997,710,0.07,462,67093,0.15221537312027067,28544
88.61,8.860999999999997,720,0.07,472,68239,0.1385219992371276,29112
94.04,9.403999999999998,730,0.07,482,69580,0.17034436314133927,29784
92.63,9.263,740,0.07,492,70744,0.10804694160469808,30368
89.43,8.942999999999998,750,0.07,497,71392,0.1746252485027071,30688
91.53,9.153000000000002,760,0.07,505,72463,0.15887309063691646,31224
91.53,9.153000000000002,770,0.07,513,73471,0.17596913877059706,31728
92.75,9.275000000000004,780,0.07,521,74490,0.22520314762368798,32240
93.59,9.359000000000004,790,0.07,526,75226,0.17333874900941737,32608
96.67,9.667000000000005,800,0.07,536,76409,0.21216636791359633,33200
102.36,10.236000000000004,810,0.07,544,77429,0.16035152709810063,33712
103.29,10.329000000000002,820,0.07,555,78668,0.24726129893679172,34328
101.6,10.160000000000004,830,0.07,565,79840,0.23270723619498312,34912
105.19,10.519000000000004,840,0.07,579,81363,0.21105345161049627,35680
116.42,11.64200000000001,850,0.07,594,83134,0.2543380366405472,36560
110.41,11.041000000000007,860,0.07,598,83604,0.14677291153930128,36800
107.16,10.71600000000001,870,0.07,603,84287,0.32518095523118973,37136
105.13,10.513000000000009,880,0.07,610,85103,0.18329343444202095,37544
109.01,10.901000000000016,890,0.07,620,86227,0.07539663865463808,38112
107.86,10.786000000000012,900,0.07,629,87295,0.14890130050480366,38640
111.2,11.120000000000015,910,0.07,640,88649,0.16440169219276868,39320
109.03,10.903000000000018,920,0.07,649,89671,0.17017755011329427,39832
106.18,10.618000000000016,930,0.07,656,90558,0.14985896268626675,40272
96.38,9.638000000000012,940,0.07,660,91101,0.09499484539264813,40544
90.43,9.043000000000012,950,0.07,670,92277,0.1696300482726656,41136
94.8,9.480000000000013,960,0.07,677,93184,0.1929705900256522,41584
101.13,10.113000000000014,970,0.07,688,94500,0.268699360312894,42248
109.69,10.969000000000019,980,0.07,702,96172,0.18678426032420248,43080
110.8,11.080000000000016,990,0.07,712,97407,0.13445129548199475,43696
112.78,11.278000000000018,1000,0.07,723,98673,0.062236581346951425,44336
113.9,11.390000000000018,1010,0.07,735,100139,0.22991909459233284,45064
113.13,11.313000000000015,1020,0.07,743,101084,0.11905811680480838,45536
114.63,11.463000000000012,1030,0.07,751,102121,0.21149878413416445,46056
122.16,12.216000000000015,1040,0.07,762,103417,0.2144250267301686,46704
119.29,11.929000000000014,1050,0.07,770,104306,0.3057474475353956,47152
118.33,11.83300000000001,1060,0.07,777,105117,0.1928257396502886,47552
115.96,11.59600000000001,1070,0.07,786,106196,0.1140462631592527,48096
111.44,11.144000000000004,1080,0.07,796,107416,0.11893268662970513,48704
108.54,10.854000000000003,1090,0.07,804,108361,0.23460562666878104,49176
111.67,11.167000000000005,1100,0.07,817,109940,0.08060921024298295,49968
109.9,10.99,1110,0.07,828,111229,0.2891870413441211,50608
111.49,11.149000000000003,1120,0.07,837,112333,0.09884373028762639,51160
112.16,11.216000000000001,1130,0.07,846,113437,0.21403339446987957,51712
110.97,11.097000000000001,1140,0.07,855,114614,0.11820550300762989,52304
110.38,11.038,1150,0.07,861,115444,0.10316610243171453,52720
109.34,10.934000000000001,1160,0.07,867,116151,0.0980392666242551,53072
108.04,10.804,1170,0.07,875,117100,0.19646769668906927,53544
104.08,10.407999999999998,1180,0.07,881,117924,0.3308513861265965,53960
102.94,10.293999999999999,1190,0.07,888,118755,0.231107899104245,54376
97.77,9.776999999999996,1200,0.07,896,119817,0.09820989644504152,54904
101.18,10.118,1210,0.07,909,121447,0.27375861327163875,55720
95.33,9.532999999999998,1220,0.07,913,121966,0.2188311880454421,55976
94.01,9.401,1230,0.07,921,122938,0.21413755512912758,56464
90.73,9.072999999999999,1240,0.07,927,123787,0.23305593145778403,56888
92.71,9.271,1250,0.07,935,124815,0.13463500112993643,57400
93.85,9.385000000000002,1260,0.07,941,125636,0.09823165083071217,57816
97.89,9.789000000000003,1270,0.07,952,126989,0.1605049598729238,58488
99.04,9.904000000000007,1280,0.07,959,127928,0.21901436569169164,58960
99.2,9.920000000000005,1290,0.07,966,128775,0.1778982764808461,59384
96.13,9.613000000000003,1300,0.07,972,129530,0.11758211185224354,59760
92.45,9.245000000000003,1310,0.07,982,130792,0.25193618005141616,60392
96.68,9.668000000000001,1320,0.07,990,131734,0.1967321888078004,60864
97.68,9.768000000000004,1330,0.07,998,132806,0.2737201218842529,61400
99.58,9.958000000000006,1340,0.07,1007,133845,0.21676708111772314,61920
100.35,10.035000000000007,1350,0.07,1016,134950,0.3158661547349766,62472
103.93,10.393000000000006,1360,0.07,1025,136129,0.2581091456231661,63064
102.23,10.223000000000008,1370,0.07,1035,137312,0.08106126476195641,63648
102.37,10.237000000000009,1380,0.07,1042,138265,0.17610403918661177,64128
109.66,10.96600000000001,1390,0.07,1054,139841,0.2545958648552187,64920
109.06,10.906000000000013,1400,0.07,1060,140536,0.29263411852298304,65264
103.46,10.34600000000001,1410,0.07,1065,141238,0.17773271928308532,65616
100.36,10.036000000000008,1420,0.07,1070,141870,0.20063744025537744,65928
97.25,9.725000000000009,1430,0.07,1076,142631,0.17845191986998543,66312
97.63,9.763000000000007,1440,0.07,1084,143708,0.2755057904869318,66848
95.34,9.534000000000006,1450,0.07,1091,144584,0.19738917343784124,67288
93.81,9.38100000000001,1460,0.07,1099,145610,0.21450916590401903,67800
87.56,8.756000000000006,1470,0.07,1104,146168,0.2166057939757593,68080
92.52,9.252000000000008,1480,0.07,1116,147617,0.13900199515046552,68808
91.29,9.129000000000007,1490,0.07,1127,149070,0.2060602682759054,69528
93.19,9.319000000000006,1500,0.07,1134,149955,0.12031323494738899,69976
92.29,9.229000000000006,1510,0.07,1139,150567,0.15614511337480508,70280
101.38,10.138000000000005,1520,0.07,1151,152108,0.1955354794044979,71048
106.49,10.64900000000001,1530,0.07,1161,153380,0.2538772295229137,71688
108.54,10.854000000000008,1540,0.07,1172,154662,0.2170789297670126,72328
112.26,11.22600000000001,1550,0.07,1181,155910,0.10469509111135267,72952
117.39,11.739000000000011,1560,0.07,1194,157449,0.1800324366777204,73720
126.03,12.603000000000014,1570,0.07,1205,158871,0.15984073065919802,74432
129.34,12.934000000000015,1580,0.07,1218,160651,0.12010373378871009,75320
129.08,12.908000000000017,1590,0.07,1230,162078,0.19659951818175614,76032
132.9,13.290000000000019,1600,0.07,1239,163345,0.23905525595182553,76672
142.27,14.227000000000018,1610,0.07,1252,164894,0.1945268580748234,77440
138.75,13.875000000000025,1620,0.07,1261,166083,0.19852681073825806,78040
137.78,13.77800000000002,1630,0.07,1270,167258,0.1390499095141422,78624
135.33,13.533000000000023,1640,0.07,1278,168295,0.199873456323985,79144
135.8,13.580000000000023,1650,0.07,1289,169590,0.15854433039203286,79792
132.92,13.29200000000002,1660,0.07,1299,170841,0.19434462947538123,80416
129.63,12.963000000000017,1670,0.07,1307,171934,0.21887767128646374,80960
122.68,12.268000000000015,1680,0.07,1316,173019,0.23703033683705144,81504
121.2,12.120000000000012,1690,0.07,1326,174298,0.10084887285484001,82144
121.73,12.173000000000012,1700,0.07,1337,175618,0.11700850920169614,82808
123.79,12.379000000000012,1710,0.07,1350,177373,0.1538664006802719,83680
125.18,12.518000000000011,1720,0.07,1361,178701,0.15746870153816417,84344
134.62,13.462000000000023,1730,0.07,1378,180820,0.1562066883489024,85408
136.2,13.62000000000002,1740,0.07,1387,182015,0.1410732765798457,86000
139.28,13.928000000000024,1750,0.07,1399,183618,0.14329262141836807,86808
143.94,14.394000000000023,1760,0.07,1413,185335,0.14119642617879435,87664
147.58,14.758000000000024,1770,0.07,1424,186792,0.14016555398120545,88392
158.16,15.816000000000031,1780,0.07,1442,188935,0.31096426787553355,89464
158.32,15.83200000000003,1790,0.07,1452,190230,0.1994271200383082,90112
162.36,16.236000000000033,1800,0.07,1465,191954,0.14191423961892724,90976
160.79,16.079000000000036,1810,0.07,1477,193552,0.21860010936507024,91768
163.41,16.341000000000037,1820,0.07,1489,195142,0.17718883033376187,92568
161.93,16.193000000000033,1830,0.07,1504,197113,0.12016186441178434,93552
168.28,16.828000000000042,1840,0.07,1519,198943,0.06291442917427048,94464
