rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates
125.5,-12.550000000000008,10,0.9705887499999999,1,1265,,
98.75,-9.875000000000005,20,0.9536162500000002,2,1995,,
83.16666666666667,-8.31666666666667,30,0.94129375,3,2525,,
75.85,-7.585000000000003,40,0.9285295,3,3074,,
66.84,-6.684000000000001,50,0.9211360000000002,4,3392,,
66.06666666666666,-6.606666666666666,60,0.9064419999999999,5,4024,,
73.0,-7.299999999999999,70,0.8795649999999998,6,5180,,
72.8,-7.2799999999999985,80,0.862732,8,5904,,
74.56666666666666,-7.45666666666667,90,0.8418767500000002,9,6801,,
76.07,-7.607000000000005,100,0.8208122500000001,11,7707,,
69.4,-6.940000000000003,110,0.8069087499999998,12,8305,,
75.19,-7.519000000000008,120,0.7764744999999997,14,9614,,
74.48,-7.4480000000000075,130,0.7658027500000001,16,10073,0.11274524262989871,32
76.87,-7.687000000000007,140,0.7474817499999998,21,10861,0.13160503566177795,424
92.15,-9.215000000000018,150,0.70456225,35,12707,0.06716733053690405,1352
100.88,-10.088000000000024,160,0.669571,46,14212,0.11629478297254536,2104
102.54,-10.25400000000002,170,0.6388345,56,15534,0.1082484800281236,2760
108.51,-10.851000000000026,180,0.6081212500000002,67,16855,0.09022505605389597,3424
113.44,-11.344000000000024,190,0.5758037500000001,77,18245,0.09113274910487235,4120
114.76,-11.476000000000024,200,0.5516702499999999,85,19283,0.10206527139962418,4640
118.95,-11.895000000000023,210,0.528025,93,20300,0.041938903712434694,5144
114.0,-11.400000000000016,220,0.5090995000000003,100,21114,0.09368524189630989,5552
122.01,-12.201000000000022,230,0.47980449999999997,109,22374,0.05319009645609185,6184
120.78,-12.078000000000015,240,0.4643432499999999,115,23039,0.12584195286035538,6512
113.4,-11.340000000000007,250,0.43858224999999995,123,24147,0.11950155429076403,7072
108.03,-10.802999999999999,260,0.41607625000000015,131,25115,0.1066618335316889,7552
105.5,-10.550000000000002,270,0.39122199999999996,140,26184,0.10727739552385174,8088
101.5,-10.15,280,0.36980875000000013,147,27105,0.1647189284558408,8552
99.72,-9.971999999999998,290,0.3416297500000003,157,28317,0.1438159653916955,9152
100.23,-10.022999999999998,300,0.31631050000000005,166,29406,0.04661144549027085,9696
99.55,-9.954999999999995,310,0.29424625000000004,174,30355,0.0695683341473341,10176
