rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
104.2,10.42000000000001,10,1,1052,0.9755409999999998,,
87.75,8.775000000000004,20,2,1775,0.9587312500000001,,
89.8,8.980000000000002,30,3,2724,0.9366670000000001,,
97.225,9.722500000000005,40,4,3929,0.9086507499999998,,
98.16,9.816000000000008,50,6,4958,0.8847265000000001,,
86.8,8.680000000000007,60,6,5268,0.8775189999999998,,
85.25714285714285,8.525714285714292,70,8,6038,0.8596164999999998,,
87.4625,8.746250000000007,80,9,7077,0.8354597500000001,,
92.94444444444444,9.294444444444455,90,12,8455,0.8034212500000002,,
96.62,9.662000000000008,100,14,9762,0.7730334999999999,,
97.38,9.73800000000001,110,20,10890,0.7468075000000001,0.12400546197022777,440
103.42,10.342000000000015,120,30,12217,0.7159547499999998,0.04865022519879858,1104
103.68,10.368000000000013,130,37,13192,0.693286,0.12750937099553994,1592
105.64,10.56400000000002,140,47,14593,0.6607127500000003,0.11065114662051201,2296
113.3,11.330000000000023,150,60,16388,0.618979,0.06293254948832327,3192
123.72,12.372000000000025,160,70,17740,0.587545,0.11734197897021659,3864
136.76,13.67600000000003,170,85,19814,0.5393245000000001,0.07040157617302611,4904
143.31,14.331000000000033,180,97,21508,0.49993900000000024,0.08022920349321794,5752
140.19,14.019000000000036,190,105,22574,0.4751544999999999,0.03523249112913618,6280
144.53,14.453000000000037,200,119,24315,0.4346762500000001,0.08215735436533578,7152
148.52,14.85200000000004,210,130,25842,0.39917349999999985,0.06234805818530731,7920
144.59,14.459000000000035,220,137,26776,0.37745800000000007,0.10894049456692301,8384
150.68,15.068000000000032,230,150,28360,0.34063,0.10052138529135846,9176
145.42,14.54200000000003,240,157,29235,0.3202862500000003,0.07656768140441272,9616
140.64,14.064000000000023,250,167,30552,0.2896660000000001,0.10391440102830529,10272
139.31,13.931000000000022,260,176,31771,0.26132425000000026,0.09077304921083851,10880
127.2,12.720000000000013,270,183,32634,0.24125949999999996,0.052938382053980604,11312
120.78,12.078000000000014,280,191,33686,0.21680050000000017,0.08010296447901055,11840
120.5,12.050000000000011,290,200,34724,0.19266700000000014,0.12213647762837354,12360
112.04,11.204000000000006,300,207,35619,0.1718582500000001,0.13599838177469792,12808
100.79,10.079,310,211,36021,0.1625117500000003,0.0960865723900497,13008
105.29,10.529000000000003,320,222,37405,0.13033375000000014,0.11152021087764297,13696
96.13,9.613000000000001,330,227,38073,0.11480275000000006,0.12574051780393347,14032
95.44,9.544000000000004,340,234,38879,0.09606325000000016,0.18058866914361715,14432
92.88,9.288,350,243,39940,0.07139500000000021,0.09976504844962619,14968
95.12,9.512000000000002,360,254,41383,0.07,0.10030602118058596,15688
96.7,9.670000000000005,370,262,42404,0.07,0.07371309059089981,16200
99.52,9.952000000000004,380,273,43738,0.07,0.1315024973882828,16864
97.64,9.764,390,280,44588,0.07,0.13168385920289438,17288
98.46,9.846000000000002,400,288,45565,0.07,0.07339569041505456,17776
101.75,10.175000000000004,410,294,46296,0.07,0.14844051760155708,18144
98.24,9.823999999999998,420,302,47329,0.07,0.04595499066635966,18664
100.41,10.041000000000002,430,309,48214,0.07,0.09134094223554712,19104
100.75,10.075000000000003,440,316,49054,0.07,0.12059511203551665,19520
98.95,9.895000000000003,450,323,49935,0.07,0.14983713610854466,19960
95.98,9.598000000000006,460,332,51081,0.07,0.182770493614953,20536
95.89,9.589000000000004,470,341,52093,0.07,0.16803006851114333,21040
92.17,9.217,480,348,53055,0.07,0.1853044644522015,21520
