rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
61.0,-6.099999999999992,10,0,620,0.985585,,
67.25,-6.724999999999989,20,1,1365,0.9682637500000002,,
58.333333333333336,-5.833333333333325,30,2,1780,0.9586149999999999,,
60.2,-6.019999999999992,40,3,2448,0.9430839999999999,,
71.34,-7.133999999999997,50,4,3617,0.9159047499999999,,
69.71666666666667,-6.971666666666662,60,5,4243,0.9013502500000001,,
70.68571428571428,-7.068571428571426,70,6,5018,0.8833314999999997,,
79.1875,-7.91875,80,8,6415,0.8508512500000002,,
83.7,-8.370000000000003,90,11,7623,0.82276525,,
81.35,-8.135000000000002,100,12,8235,0.8085362500000002,,
82.79,-8.279000000000002,110,13,8999,0.79077325,,
89.2,-8.920000000000009,120,17,10385,0.7585487500000001,0.1310143107548356,192
97.01,-9.701000000000011,130,26,11581,0.7307417500000002,0.10405970698775491,784
109.85,-10.985000000000019,140,40,13533,0.6853577500000001,0.11541818734258413,1760
115.07,-11.507000000000026,150,52,15224,0.6460420000000002,0.09799674458554364,2608
119.34,-11.934000000000026,160,60,16277,0.6215597499999999,0.08942312040744582,3136
128.68,-12.868000000000034,170,73,17986,0.5818255000000002,0.11033062713977415,3992
137.71,-13.77100000000004,180,90,20286,0.5283505,0.10387004152289592,5136
146.57,-14.657000000000044,190,106,22380,0.4796650000000001,0.09469422308029607,6184
157.82,-15.782000000000055,200,119,24117,0.4392797500000003,0.12772139278240502,7056
170.63,-17.06300000000006,210,135,26162,0.3917335000000002,0.054433809651527554,8080
170.62,-17.062000000000058,220,146,27547,0.35953225000000033,0.05608369030233007,8768
169.56,-16.95600000000006,230,155,28637,0.33418975000000006,0.02385034438339062,9312
168.74,-16.874000000000052,240,169,30507,0.2907122500000002,0.0788790250371676,10248
164.68,-16.46800000000005,250,180,31792,0.26083600000000007,0.045818600308848545,10888
163.58,-16.358000000000047,260,188,32735,0.23891125000000002,0.0796269524435047,11360
158.99,-15.899000000000042,270,198,33985,0.20984875000000014,0.09306451366865076,11992
145.2,-14.520000000000033,280,205,34906,0.1884355000000003,0.11529171143774875,12448
132.95,-13.295000000000021,290,212,35775,0.16823125000000005,0.04783050270634703,12880
125.36,-12.536000000000012,300,221,36753,0.14549275000000028,0.06037793413270265,13376
116.6,-11.660000000000009,310,230,37922,0.11831349999999985,0.03693210531491786,13960
112.04,-11.204000000000015,320,238,38851,0.09671424999999978,0.04819312154722866,14424
109.28,-10.928000000000008,330,245,39665,0.07778875000000018,0.08417833020212129,14832
100.39,-10.039000000000005,340,253,40646,0.07,0.09462788421660662,15320
94.37,-9.437000000000001,350,259,41329,0.07,0.08414585949503817,15664
101.61,-10.161000000000007,360,272,42996,0.07,0.04914975116844289,16496
97.55,-9.755000000000004,370,279,43840,0.07,0.08642289758427069,16912
101.01,-10.101000000000006,380,289,45107,0.07,0.11071842408273369,17552
103.51,-10.351000000000006,390,299,46226,0.07,0.12075015518348664,18112
102.63,-10.263000000000003,400,306,47116,0.07,0.08538848633179441,18552
97.92,-9.792,410,312,47814,0.07,0.09598617505980656,18904
99.57,-9.956999999999999,420,321,48908,0.07,0.11409135506255552,19448
105.22,-10.522000000000002,430,332,50287,0.07,0.09993861301336437,20136
106.83,-10.683000000000002,440,342,51429,0.07,0.098031317058485,20712
113.27,-11.327000000000004,450,352,52756,0.07,0.11240130534861237,21376
102.41,-10.241,460,357,53337,0.07,0.07811365305678919,21664
101.54,-10.154000000000002,470,363,54094,0.07,0.05367834761273116,22040
98.14,-9.814,480,371,55021,0.07,0.20571196638047695,22504
103.67,-10.367000000000004,490,385,56693,0.07,0.07698908721795306,23344
105.02,-10.502000000000002,500,393,57718,0.07,0.07881750800879672,23856
107.47,-10.747000000000007,510,400,58661,0.07,0.12635704642161727,24328
110.95,-11.095000000000006,520,412,60103,0.07,0.07008529879385605,25048
105.24,-10.524000000000003,530,419,60911,0.07,0.07931139174615964,25448
104.76,-10.476000000000006,540,428,62005,0.07,0.103099315892905,26000
99.48,-9.948000000000006,550,435,62804,0.07,0.08079254801850766,26400
99.88,-9.988000000000005,560,440,63425,0.07,0.1142906581517309,26712
103.28,-10.328000000000008,570,449,64522,0.07,0.07946323943906464,27256
100.39,-10.039000000000001,580,454,65160,0.07,0.07650701518286951,27576
95.63,-9.562999999999999,590,464,66356,0.07,0.08229807042516768,28176
92.42,-9.241999999999999,600,470,67060,0.07,0.06786046805791557,28528
93.02,-9.302,610,479,68063,0.07,0.09675987908849493,29024
85.89,-8.588999999999999,620,485,68792,0.07,0.11843371955910698,29392
86.15,-8.614999999999998,630,492,69626,0.07,0.0800172706367448,29808
86.3,-8.63,640,501,70735,0.07,0.0690512714209035,30360
83.81,-8.380999999999997,650,505,71285,0.07,0.0819072014419362,30640
85.81,-8.581,660,512,72106,0.07,0.08714554470498115,31048
81.06,-8.106,670,517,72728,0.07,0.1218650268856436,31360
83.68,-8.368,680,525,73628,0.07,0.13630705466493964,31808
