time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
1057,10,2,104.7,-5.06432533865447,0.9754247500000001,,
1734,20,3,85.7,-4.116032137290721,0.9596845000000002,,
2472,30,4,81.4,-3.79716457213413,0.9425259999999999,,
3220,40,5,79.5,-3.733059544892587,0.925135,,
3904,50,6,77.08,-3.6003789728601494,0.909232,,
4717,60,7,77.61666666666666,-3.577444361414283,0.8903297500000001,,
5992,70,9,84.6,-3.9425896721333653,0.8606860000000001,,
7248,80,11,89.6,-4.223080116203704,0.8314839999999998,,
7785,90,12,85.5,-4.0066018369689305,0.8189987500000001,,
9106,100,15,90.06,-4.308091689814057,0.7882855000000002,,
10337,110,19,91.8,-4.332427971247447,0.7596647500000001,168,0.12080249935388565
11134,120,25,93.0,-4.437018376109097,0.7411345,560,0.11154202464967966
12400,130,34,98.28,-4.676044833190469,0.7116999999999998,1192,0.09334216358183767
14410,140,49,110.9,-5.557511644563016,0.6649675000000004,2200,0.047504672991635744
15866,150,59,118.62,-5.91869933782832,0.6311154999999999,2928,0.11229688797902782
17758,160,74,129.41,-6.600755151162372,0.5871264999999999,3872,0.10373663527570898
19040,170,83,129.48,-6.604173113835348,0.5573200000000003,4512,0.08573768614587607
20823,180,97,134.75,-6.9357154954765985,0.5158652500000003,5408,0.06635948896291666
21763,190,104,138.78,-7.074381290206779,0.4940102500000001,5880,0.047993146363296546
23436,200,118,142.3,-7.213114220005261,0.45511299999999977,6712,0.04891989100724459
24609,210,127,141.72,-7.212722393542055,0.4278407500000002,7304,0.09625304225482978
25499,220,134,142.65,-7.129225110946119,0.40714825,7744,0.05807013050070964
26766,230,144,142.66,-7.249534714170323,0.37769050000000004,8376,0.07775142515311018
27914,240,153,134.04,-6.553970475762051,0.35099950000000013,8952,0.059321026608813554
29153,250,163,131.87,-6.455270642431295,0.3221927499999999,9576,0.10576334013603628
30481,260,174,126.23,-6.017716990281136,0.2913167500000001,10240,0.07809363925480284
31203,270,180,120.63,-5.761629389549561,0.2745302500000001,10600,0.15370939511922188
32894,280,194,119.71,-5.592064588435772,0.2352145000000001,11440,0.0411505363881588
34722,290,209,128.59,-6.035274232055691,0.19271349999999987,12360,0.042119985417230055
35935,300,219,123.99,-5.795239776010184,0.16451125,12960,0.059926732908934355
37346,310,231,126.37,-5.9060414356589925,0.1317054999999997,13672,0.05160873252316378
38740,320,242,131.41,-6.200284592640726,0.09929500000000024,14368,0.060301542456727475
39611,330,250,127.45,-5.886854351388597,0.07904425000000015,14800,0.041331828804686666
40319,340,256,123.05,-5.644844494146971,0.07,15152,0.08072409610031173
41017,350,262,117.64,-5.380951259484326,0.07,15504,0.11822176212444901
41646,360,267,110.65,-5.043039651262419,0.07,15816,0.08974590705474839
42317,370,273,110.14,-4.977326658569886,0.07,16152,0.06141716107958928
42841,380,277,98.47,-4.426438397429218,0.07,16416,0.10959658294450492
44308,390,289,94.86,-4.455145511363321,0.07,17152,0.08737095422111452
45295,400,298,92.6,-4.348002256956378,0.07,17640,0.10845191060798243
46307,410,306,88.61,-4.157429709171555,0.07,18152,0.09040606877533719
47136,420,313,82.96,-3.9346148737311832,0.07,18560,0.09749476893921383
47902,430,319,81.91,-3.9192290174199678,0.07,18944,0.13844689028337598
48870,440,328,84.51,-4.043579167056041,0.07,19432,0.07003416350926273
49993,450,337,88.76,-4.213033127989539,0.07,19992,0.10797458083834499
51065,460,347,93.19,-4.4138450397224505,0.07,20528,0.12417263153474778
51871,470,353,94.54,-4.458310750368125,0.07,20928,0.1353691272670403
52786,480,361,98.45,-4.59094532093208,0.07,21392,0.032487350632436574
53676,490,368,92.68,-4.114879056312158,0.07,21832,0.08148185536265373
54489,500,375,90.94,-3.9450064116412618,0.07,22240,0.06215382114169188
55508,510,383,91.01,-3.9132783524021644,0.07,22752,0.08950672368519008
56431,520,391,91.95,-3.86979649938034,0.07,23208,0.11672655976144597
57294,530,398,92.92,-3.8600524703311123,0.07,23640,0.06099016702501103
58397,540,407,94.27,-3.8705218837185607,0.07,24192,0.08920856873737648
59477,550,416,93.84,-3.8384631847823205,0.07,24736,0.09888748812954873
61145,560,429,99.8,-4.028429165528799,0.07,25568,0.09735191124491394
62114,570,437,101.43,-4.0642098875706685,0.07,26056,0.07641513284761459
63462,580,449,105.76,-4.250613302572985,0.07,26728,0.10638188387383707
65017,590,463,112.41,-4.473099003807291,0.07,27504,0.07796195050468668
65887,600,470,112.98,-4.491910695952462,0.07,27936,0.0693122295779176
66910,610,480,113.02,-4.4384008874779335,0.07,28448,0.11585142894182354
67907,620,488,113.76,-4.394156900942533,0.07,28952,0.08025010983692482
68548,630,494,111.54,-4.271839054544962,0.07,29272,0.11467060059658252
69257,640,501,107.6,-4.091394224010984,0.07,29624,0.058888442523311824
69989,650,507,104.12,-3.933244984764502,0.07,29992,0.12452963239047676
70972,660,516,97.27,-3.617150713076383,0.07,30480,0.11319791720598005
71993,670,525,97.79,-3.594109886722029,0.07,30992,0.0848453656071797
73244,680,535,96.82,-3.5014872964902013,0.07,31616,0.08663529506884515
73667,690,539,85.5,-3.0654299361204296,0.07,31832,0.15191199851687998
74229,700,543,82.42,-2.922355689330506,0.07,32112,0.13375147557235323
75021,710,550,80.11,-2.845161225286523,0.07,32504,0.06968716258415952
75928,720,557,79.21,-2.854512262714494,0.07,32960,0.062406295008258894
76412,730,561,77.64,-2.8184181933127026,0.07,33200,0.098570367670618
77027,740,566,76.7,-2.7815299689447754,0.07,33512,0.11103552702115849
77475,750,570,73.86,-2.6627662454611407,0.07,33736,0.12612180825090036
78272,760,576,72.0,-2.6248574264865034,0.07,34128,0.16070196314831264
78975,770,582,68.82,-2.5518128787844265,0.07,34480,0.1053896970115602
79561,780,587,62.17,-2.334500565240631,0.07,34776,0.09778606085455976
80310,790,593,65.43,-2.487155314232865,0.07,35152,0.11257705619209446
81344,800,601,70.15,-2.706610994308363,0.07,35664,0.06855744402855635
81756,810,604,66.35,-2.549075239464719,0.07,35872,0.06431853075628169
82583,820,611,65.55,-2.6103852991055025,0.07,36288,0.07856935577001423
82906,830,613,63.94,-2.5573828670748417,0.07,36448,0.12327144676237367
83518,840,618,63.91,-2.5922107475329854,0.07,36752,0.09254238934954628
84261,850,624,66.86,-2.71104312498128,0.07,37128,0.09529386920621619
84812,860,629,64.4,-2.627632815670556,0.07,37400,0.04838790075154975
85578,870,635,65.03,-2.663743436954382,0.07,37784,0.040694206196349114
86564,880,643,69.03,-2.785158377731081,0.07,38280,0.05760197827476077
87684,890,652,72.74,-2.8812865626354354,0.07,38840,0.09579505302826874
88359,900,657,69.15,-2.7273828082101907,0.07,39176,0.10311472686589696
89412,910,666,75.56,-2.9494138291961502,0.07,39704,0.12148379383143038
90748,920,677,80.65,-2.948394405008918,0.07,40368,0.085347398504382
91750,930,685,87.44,-3.1791123162601247,0.07,40872,0.0930188845959492
93298,940,698,96.8,-3.368733277435067,0.07,41648,0.08079794034711085
93996,950,703,96.35,-3.327759538662802,0.07,41992,0.11664066172670573
94691,960,709,97.79,-3.3629213821130763,0.07,42344,0.0749721862084698
95711,970,717,100.33,-3.516258593020164,0.07,42848,0.07967141584958881
96647,980,725,99.83,-3.5047834493560597,0.07,43320,0.04770052043022588
97492,990,732,97.08,-3.3864436767989496,0.07,43744,0.09410082420799881
98354,1000,739,98.95,-3.425896830058569,0.07,44176,0.09126352146267891
98864,1010,743,93.52,-3.249400428340743,0.07,44424,0.08264325433992781
99344,1020,747,84.96,-3.051694257594852,0.07,44664,0.08359891339205205
99987,1030,752,81.37,-2.94012762334285,0.07,44992,0.0950404921604786
100821,1040,759,74.23,-2.791474064122764,0.07,45408,0.06692967136041261
101916,1050,768,78.2,-2.8835492686099062,0.07,45952,0.14562356908572838
103362,1060,779,85.71,-3.1162721542803706,0.07,46680,0.08770174768869765
104547,1070,789,87.36,-3.070034673252452,0.07,47272,0.11731991672422737
105545,1080,797,87.98,-3.052309010484369,0.07,47768,0.10170189576456323
106378,1090,804,87.86,-3.053881121531751,0.07,48184,0.08940202250960283
107556,1100,813,91.02,-3.2190830405120687,0.07,48776,0.14811557065695524
108421,1110,820,94.57,-3.3726413562803668,0.07,49208,0.14245969714829698
109729,1120,831,102.85,-3.638912715743571,0.07,49864,0.07403020712081343
111610,1130,846,115.23,-4.060434666652027,0.07,50800,0.09980275272391737
112813,1140,855,118.92,-4.22833553624873,0.07,51400,0.08138276869431138
113615,1150,862,115.99,-4.138438159822857,0.07,51800,0.15357842028606683
114935,1160,872,114.73,-4.1022389877205105,0.07,52464,0.13667531125247478
116594,1170,886,119.47,-4.151165293987888,0.07,53296,0.098859648918733
117822,1180,896,121.77,-4.246763687031293,0.07,53904,0.0653208319854457
118667,1190,903,121.89,-4.219739338240641,0.07,54328,0.05246286542387679
119651,1200,911,119.95,-4.012446379896631,0.07,54824,0.09593288358883001
120826,1210,920,123.05,-4.122506798786322,0.07,55408,0.08331874874420464
121750,1220,927,119.21,-3.9950336405981854,0.07,55872,0.0475088675157167
123121,1230,938,114.11,-3.7264951359277934,0.07,56560,0.08221116499044001
124647,1240,950,117.34,-3.7275860082403356,0.07,57320,0.09989485566620715
125741,1250,959,120.26,-3.8073159643406482,0.07,57864,0.08029368182178587
126753,1260,967,117.18,-3.6756736593620833,0.07,58376,0.05541172550874762
127632,1270,974,109.38,-3.46249749855022,0.07,58808,0.09613498928956687
129015,1280,986,110.93,-3.4528344464383336,0.07,59504,0.11399129126220942
130350,1290,996,115.83,-3.610856782780453,0.07,60168,0.07672141972579993
131398,1300,1004,116.47,-3.682754764021065,0.07,60696,0.107908776961267
132691,1310,1015,117.65,-3.7221050304193426,0.07,61344,0.07766481951694004
133196,1320,1018,113.46,-3.5632710024497625,0.07,61592,0.13517353229690343
133973,1330,1025,107.52,-3.541477077240703,0.07,61984,0.11354501644382253
134625,1340,1030,98.78,-3.301748807726682,0.07,62312,0.03628784333704971
135564,1350,1038,97.23,-3.235121854307273,0.07,62776,0.08270487198024057
136627,1360,1046,97.74,-3.2721328575354307,0.07,63312,0.05330524031887762
137289,1370,1051,95.57,-3.216944006734588,0.07,63640,0.07840036426205188
138278,1380,1059,91.63,-3.1127693279814577,0.07,64136,0.09078828463680111
139359,1390,1068,89.09,-3.002395132018912,0.07,64672,0.05293265060754493
140090,1400,1074,85.92,-2.885206231015031,0.07,65040,0.03810094017535448
141018,1410,1082,82.27,-2.6885662291960704,0.07,65504,0.1262240331270732
141674,1420,1087,83.78,-2.7519416968268757,0.07,65832,0.09585985881858505
142251,1430,1091,81.78,-2.56409477781721,0.07,66120,0.056057412875816226
142988,1440,1097,82.63,-2.58823941395587,0.07,66488,0.11243699537590146
144240,1450,1107,85.76,-2.7045646349777326,0.07,67112,0.07486307079670951
145149,1460,1116,84.22,-2.6351405464602213,0.07,67568,0.08105191864888184
146269,1470,1125,88.8,-2.7822582106148617,0.07,68128,0.046841204253723845
147175,1480,1132,87.97,-2.821702104795372,0.07,68584,0.07953352140611969
147658,1490,1136,81.99,-2.693956151377798,0.07,68824,0.06575675471685827
148191,1500,1141,80.01,-2.6855666922577837,0.07,69088,0.09103972400771454
148887,1510,1147,77.69,-2.66552928843298,0.07,69440,0.06401408095553052
149661,1520,1153,78.87,-2.727619943853696,0.07,69824,0.053688324347604066
150345,1530,1159,79.94,-2.8275813104587697,0.07,70168,0.05528271113871597
150930,1540,1164,78.42,-2.7837997780410793,0.07,70464,0.09854322642786428
151580,1550,1169,72.4,-2.667205252624706,0.07,70784,0.0652597987500485
151911,1560,1172,66.62,-2.5181086634325234,0.07,70952,0.08182768660481088
152386,1570,1176,60.17,-2.3528657655423344,0.07,71192,0.12327126061427407
153061,1580,1181,57.86,-2.2270135684356567,0.07,71528,0.11249559844145551
153666,1590,1186,59.08,-2.273069963745357,0.07,71832,0.06591025146190077
154275,1600,1191,59.84,-2.2834478851981923,0.07,72136,0.10439275903627276
155460,1610,1201,64.73,-2.4254355630818822,0.07,72728,0.08674745552707464
