rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-2.6959077548930885,0,63.5,10,0.9850037499999998,645,,
-3.9954854253676033,2,86.1,20,0.9594985,1742,,
-4.818092665394179,3,97.66666666666667,30,0.9311799999999999,2960,,
-4.391379199624862,4,90.05,40,0.9153235000000003,3642,,
-6.083219277773711,8,113.32,50,0.8671029999999997,5716,,
-5.799161159414559,9,108.25,60,0.84759625,6555,,
-5.989470607400217,11,110.97142857142858,70,0.8177664999999997,7838,,
-5.763028953377885,12,106.5625,80,0.7999337500000001,8605,,
-5.786536885558564,14,106.68888888888888,90,0.7746610000000003,9692,,
-5.899842273324571,21,108.54,100,0.7453195000000001,10954,472,0.0650564903698978
-6.263727765645626,31,115.31,110,0.7145830000000001,12276,1136,0.09299010627000825
-6.465237951027493,41,118.8,120,0.6809634999999998,13722,1856,0.09294127798057161
-6.765867694241447,54,124.69,130,0.6389507500000002,15529,2760,0.009907645737257553
-7.104457241935056,64,132.01,140,0.6060752500000002,16943,3464,0.04703437154239509
-6.724743053113035,76,128.21,150,0.5666897500000002,18637,4312,0.0759526483452646
-7.110637770490956,89,137.98,160,0.5244677499999999,20453,5224,0.0854529500065837
-7.19873503852408,102,142.48,170,0.4841755000000002,22186,6088,0.011077236151322722
-7.3584765461928,112,148.02,180,0.4534622500000003,23507,6752,0.04968112229835242
-7.48371512939609,124,152.75,190,0.41719225000000015,25067,7528,0.09634169773198664
-7.232013930878919,132,150.92,200,0.3921055,26146,8072,0.0684115377953276
-6.9906232152719046,139,146.36,210,0.3719710000000003,27012,8504,0.0605020405491814
-6.802060516055271,148,144.09,220,0.34362925,28231,9112,0.0787725071713794
-6.482338406290475,158,139.46,230,0.31238125000000017,29575,9784,0.03176912528579123
-6.442996560673359,168,137.49,240,0.28408600000000017,30792,10392,0.05068564516841434
-6.248061782912093,180,135.54,250,0.24923425,32291,11144,0.09933980542700738
-6.351575569768347,195,136.81,260,0.20405949999999995,34234,12112,0.09916970791528001
-6.069253391240686,204,130.91,270,0.1774847500000003,35377,12688,0.03255182850989513
-5.942829356978001,212,128.86,280,0.15153775000000025,36493,13240,0.060706315154675394
-5.68557316242811,220,123.18,290,0.1284737500000004,37485,13736,0.06056010440806858
-5.666018901804552,228,122.74,300,0.10441000000000022,38520,14256,0.07022984072682448
-5.587354108704701,233,121.29,310,0.08764675000000022,39241,14616,0.06108089361805469
-5.41957833003394,240,117.54,320,0.07,40085,15040,0.07154931867262349
-5.0400875703453,244,110.1,330,0.07,40685,15336,0.09016926272306591
-4.723764462799417,249,104.29,340,0.07,41321,15656,0.07061379397055134
-4.327845091616095,255,95.93,350,0.07,41984,15984,0.07082164695020765
-3.666952297231839,260,82.91,360,0.07,42625,16312,0.0805920043203514
-3.431327226486286,265,77.67,370,0.07,43244,16616,0.03263427258934826
-3.116164706501966,268,69.64,380,0.07,43557,16776,0.07109507254790515
-2.8633564384015515,271,64.5,390,0.07,44035,17016,0.10936886421404779
-2.64269850764867,275,58.38,400,0.07,44458,17224,0.05164406751282513
-2.5881476757539925,280,57.43,410,0.07,45084,17536,0.04241600088425912
-2.3565543784640473,282,52.27,420,0.07,45412,17704,0.08178552245954052
-2.3485074336369194,287,52.18,430,0.07,46003,18000,0.061126230808440596
-2.224846592604609,290,49.52,440,0.07,46373,18184,0.09857656341046095
-2.3677843625864528,297,52.46,450,0.07,47330,18664,0.07249644445255399
-2.303979316851355,301,51.03,460,0.07,47828,18912,0.07138623611535877
-2.219773233206311,304,49.53,470,0.07,48297,19144,0.053626225679181516
-2.3879742312948897,309,53.18,480,0.07,48975,19480,0.062340840231627226
-2.345266523215712,313,52.83,490,0.07,49418,19704,0.10001111659221351
-2.342389065140935,316,53.0,500,0.07,49858,19928,0.10820399288786575
-2.325718316778837,321,52.95,510,0.07,50479,20232,0.07162427948787808
-2.4871869215242834,326,56.62,520,0.07,51174,20584,0.05128222441999242
-2.459761404727549,330,55.96,530,0.07,51699,20848,0.0911506421980448
-2.624089980088542,336,59.91,540,0.07,52464,21224,0.13997253333218396
-2.35310829811763,340,55.18,550,0.07,52948,21472,0.07027412904426455
-2.327237754649001,343,54.8,560,0.07,53408,21696,0.060917443566722795
-2.338134947483539,346,54.71,570,0.07,53868,21928,0.13670784287387505
-2.447163094633351,354,57.94,580,0.07,54869,22432,0.07911459510796703
-2.4849684077247503,357,57.85,590,0.07,55303,22648,0.09887626918498427
-2.5554881692399873,363,60.45,600,0.07,56003,23000,0.1370034248684533
-2.6019882793393503,370,62.73,610,0.07,56852,23424,0.07931727389222942
-2.6004938127860346,376,63.33,620,0.07,57607,23800,0.1366961470048409
-2.637344977548971,380,63.7,630,0.07,58169,24080,0.13812555008917116
-2.643470017860181,387,65.01,640,0.07,59065,24528,0.1349296441185288
-2.754657006446923,394,68.42,650,0.07,59890,24944,0.09083319909404963
