rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
6.5556919441899435,1,127.1,10,0.9702167500000001,1281,,
6.806084722681218,3,120.5,20,0.9435025,2430,,
6.8871431633644296,4,120.6,30,0.9151839999999999,3648,,
6.212276202091379,5,109.85,40,0.8969094999999999,4434,,
6.705977205268164,8,116.22,50,0.8637317499999999,5861,,
6.3569105167937,9,111.18333333333334,60,0.8435042500000001,6731,,
6.566564530649604,11,113.62857142857143,70,0.8134419999999998,8024,,
6.520972224562465,13,111.2375,80,0.7912382499999999,8979,,
6.214693631315448,14,106.84444444444445,90,0.7743355000000002,9706,,
6.331047990153468,23,110.4,100,0.7409950000000002,11140,568,0.04782358599186409
6.783704066851004,38,117.61,110,0.6944484999999998,13142,1568,0.07725502805078577
7.12305863801419,50,123.44,120,0.6541794999999999,14874,2432,0.09775374136552273
7.194423811409885,62,127.32,130,0.6168399999999999,16480,3232,0.059170425793126924
7.194432919473838,69,128.59,140,0.5956127500000001,17393,3696,0.079824981141428
7.310253845040762,84,133.5,150,0.5510192500000003,19311,4648,0.08101350162178278
7.707892572895625,96,140.59,160,0.5143074999999999,20890,5440,0.031073284131707624
7.415519739774253,104,137.98,170,0.4903135000000002,21922,5960,0.06192741715494776
7.402593875838356,115,141.59,180,0.4597165,23238,6616,0.11439549617352895
7.681730492689423,126,148.48,190,0.4267945000000001,24654,7320,0.08482872050080914
7.896589319455074,141,153.03,200,0.3828752499999999,26543,8264,0.05428315004974138
7.573409005534671,154,148.82,210,0.34611700000000023,28124,9056,0.07664313500572462
7.33083701132505,168,148.05,220,0.3076382500000001,29779,9888,0.05607959303597454
7.181274427406956,178,144.38,230,0.27883150000000034,31018,10504,0.10235735823516734
7.08555760736345,184,141.93,240,0.2633005000000004,31686,10840,0.06965870498970617
6.713008197838287,195,136.62,250,0.23105275000000025,33073,11536,0.03589307721995283
6.245389160106993,202,129.62,260,0.21061600000000003,33952,11968,0.07237179094227031
6.4392430724180745,214,133.67,270,0.17720575000000005,35389,12688,0.07083078092546202
6.435709399134253,226,134.13,280,0.14553925000000012,36751,13368,0.09624502866063267
6.198190396273419,233,128.68,290,0.12528850000000002,37622,13808,0.06097559128829744
5.898290578402441,245,125.02,300,0.0898787499999999,39145,14568,0.07306437875377014
5.462546240660873,251,116.52,310,0.07288300000000014,39876,14936,0.08467579938587733
5.005222234256467,257,107.42,320,0.07,40621,15304,0.07601549464743584
4.750677001785776,264,103.26,330,0.07,41444,15720,0.07549077141447924
5.156276267365445,277,112.82,340,0.07,43068,16528,0.0859754866687581
4.968286527175949,285,108.17,350,0.07,43990,16992,0.1401873922732193
4.927056202015708,292,108.0,360,0.07,44852,17424,0.10097866164869629
4.724666306146281,302,104.78,370,0.07,45967,17976,0.10080529472907074
4.475187524321741,309,99.46,380,0.07,46797,18392,0.03792281649657525
4.668492705599524,320,104.13,390,0.07,48135,19064,0.040373794559855014
4.590363861138362,331,102.34,400,0.07,49479,19736,0.06623775459593162
4.71278752111176,340,105.91,410,0.07,50567,20280,0.07782710404717363
4.761791712719574,348,108.62,420,0.07,51583,20784,0.10498220691806637
4.703960608282504,354,108.22,430,0.07,52366,21176,0.11790835813735612
4.21958754531799,359,98.05,440,0.07,52973,21480,0.05561049495008774
4.141022878492477,366,97.68,450,0.07,53858,21928,0.1683638880494982
4.561387319837237,382,108.73,460,0.07,55825,22912,0.17124658604734577
4.525063382091249,393,109.43,470,0.07,57010,23504,0.14642672435729764
4.505316555866518,401,110.6,480,0.07,57957,23976,0.16049642526195385
4.3123939671110465,411,108.96,490,0.07,59131,24560,0.11915338528342545
4.132195665933609,420,107.14,500,0.07,60293,25144,0.13411171379266307
4.129447193885686,431,110.01,510,0.07,61668,25832,0.06944479333469644
4.3956482358570215,443,114.39,520,0.07,63122,26560,0.10753674624720588
4.616225110857823,454,120.51,530,0.07,64517,27256,0.16013782733352855
4.848593454056715,466,128.3,540,0.07,65903,27944,0.14503902089199983
5.126441984837221,481,137.48,550,0.07,67706,28848,0.08270660464768298
4.792000222616651,491,129.74,560,0.07,68899,29448,0.08364947748486884
4.814068550014786,503,131.36,570,0.07,70246,30120,0.11881042618188076
5.158798841259011,520,142.37,580,0.07,72294,31144,0.13504836437641643
5.2594027352252475,533,146.25,590,0.07,73856,31920,0.13734276976902038
5.173037364182729,540,142.87,600,0.07,74680,32336,0.16800931122270413
5.159483823962173,552,142.61,610,0.07,76029,33008,0.12418688624165952
4.761641628251218,558,135.53,620,0.07,76775,33384,0.08515559413353913
4.484378282319735,565,128.94,630,0.07,77511,33752,0.1955737395619508
4.1786905427252234,569,120.67,640,0.07,78070,34032,0.059775638015707955
3.7854178373048786,576,110.22,650,0.07,78828,34408,0.09447508590528741
3.6610547503121635,585,108.15,660,0.07,79814,34904,0.11058040283387527
3.454910445143909,591,102.34,670,0.07,80580,35288,0.13894753335625865
3.1124582411247577,600,92.59,680,0.07,81653,35824,0.10052581020863727
2.7808675596553964,604,81.93,690,0.07,82149,36072,0.11447940734797157
2.768790839835707,610,81.27,700,0.07,82907,36448,0.0819075248145964
2.583878317969808,616,75.46,710,0.07,83675,36832,0.12055984875769354
2.5439869210694677,622,74.5,720,0.07,84325,37160,0.12078181703691371
2.68959425822595,632,79.79,730,0.07,85590,37792,0.11221901833778247
