time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
10,137.5,1,1385,0.9677987500000002,7.3159798987683855,,
20,111.2,2,2244,0.947827,5.513622815479078,,
30,92.6,3,2808,0.9347139999999998,4.523004069625281,,
40,83.625,4,3385,0.9212987500000002,4.1844733184239,,
50,79.58,5,4029,0.9063257500000002,3.9860125047162795,,
60,80.21666666666667,6,4873,0.8867027500000002,3.95281893400053,,
70,83.18571428571428,8,5893,0.8629877500000002,4.100947331716759,,
80,82.3875,9,6671,0.8448992499999999,4.094565884408375,,
90,81.21111111111111,10,7399,0.82797325,4.018650321991159,,
100,78.37,11,7937,0.8154647500000002,3.8557051531985267,,
110,72.13,12,8698,0.7977714999999999,3.4687867623129125,,
120,74.54,14,9798,0.7721965000000002,3.588493334451707,,
130,75.88,18,10496,0.7559680000000002,3.6228481158049313,0.13349812669548555,240
140,80.3,25,11515,0.7322762499999999,3.8362824696879243,0.05792893041507341,752
150,85.66,33,12695,0.7048412500000003,4.197632342629552,0.10651153171056649,1344
160,85.6,40,13533,0.6853577500000001,4.189355487096751,0.10733222144335741,1760
170,87.7,49,14763,0.6567602500000003,4.346319089986436,0.09808622796845157,2376
180,92.88,58,16059,0.62662825,4.5716841787564615,0.1383108986337902,3024
190,102.16,70,17715,0.5881262500000002,5.0651352581002,0.17885406874120235,3856
200,104.57,76,18494,0.5700144999999998,5.128794483497355,0.060643694811005844,4240
210,104.37,81,19235,0.55278625,5.127900815405932,0.09236696206062334,4616
220,105.58,90,20456,0.5243979999999999,5.145527737506268,0.09287958267668728,5224
230,106.43,96,21239,0.5061932499999999,5.178389498432729,0.11295196280116215,5616
240,109.07,106,22522,0.47636350000000016,5.150671639967538,0.10487935980199836,6256
250,107.36,113,23531,0.45290425000000023,4.908343864961859,0.07368517563736532,6760
260,108.91,121,24524,0.42981700000000034,4.9643559235747565,0.10561417990538757,7256
270,111.09,132,25972,0.39615100000000014,4.953215962199712,0.034170485218055546,7984
280,102.14,135,26373,0.38682775,4.471498055855058,0.10874320979928598,8184
290,93.4,141,27155,0.3686462500000003,3.9983466235262726,0.14416061184601858,8576
300,93.15,147,27909,0.35111574999999995,3.9811540996960413,0.13255916006164625,8952
310,93.23,152,28658,0.3337015,3.9544083128090093,0.11199989172746427,9328
320,89.11,159,29467,0.3148922500000001,3.788314464368691,0.05963249030173756,9728
330,90.87,166,30426,0.29259550000000023,3.905717263921213,0.1369758154032752,10208
340,84.52,171,31074,0.2775295000000001,3.695985874771273,0.11380027828272432,10536
350,81.58,177,31789,0.26090575000000005,3.561189313584627,0.11736095265951008,10888
360,76.64,181,32288,0.24930399999999986,3.3514202768298493,0.12755705331801437,11136
370,72.51,189,33323,0.22524025000000025,3.192718183312298,0.14175769209396094,11656
380,76.13,195,34086,0.2075005000000002,3.4138905456898114,0.08614047907758504,12040
390,77.09,202,34964,0.18708700000000023,3.4376641234885312,0.10031310108024627,12480
400,75.03,206,35512,0.17434600000000033,3.3958655202135453,0.13366337784100324,12752
410,76.09,213,36367,0.15446725000000017,3.499692522891706,0.1685142443748191,13176
420,76.73,220,37240,0.13417,3.5847658053304503,0.15421553567284718,13616
430,79.79,230,38505,0.10475874999999979,3.7304008162001905,0.09226653212681413,14248
440,78.67,234,39041,0.09229675000000037,3.704352660191402,0.1171780350850895,14520
450,82.25,243,40114,0.07,3.8869905296025458,0.054986962757539004,15056
460,90.55,254,41443,0.07,4.218286235064084,0.1602418746915646,15720
470,86.05,258,42028,0.07,3.9699686302037667,0.15989173762500286,16008
480,87.41,265,42927,0.07,3.990892381026865,0.18320541270077229,16456
490,89.5,274,44014,0.07,4.093438269987747,0.17631977621931583,17000
500,91.16,279,44728,0.07,4.1395739986953295,0.14713129418669268,17360
510,86.86,283,45153,0.07,3.922541406681006,0.16709148604422808,17576
520,83.63,287,45703,0.07,3.7218850571563205,0.14581102598458529,17848
530,76.72,292,46277,0.07,3.3729495642982177,0.14225574617739767,18136
540,80.1,299,47151,0.07,3.4821041492870237,0.17998494300991297,18568
550,74.13,303,47627,0.07,3.2139527900228155,0.12923195422627032,18808
560,65.61,307,48104,0.07,2.861844116587603,0.14412582200020552,19048
570,64.39,311,48567,0.07,2.82940909288739,0.09973603032995015,19280
580,58.91,313,48918,0.07,2.5902649415955654,0.23083199007669464,19456
590,51.52,316,49266,0.07,2.2388926823971693,0.1972897993400693,19632
600,47.57,319,49585,0.07,2.0855183870843654,0.2559061849024147,19792
610,47.05,322,49958,0.07,2.0548820416475597,0.17234908748650923,19976
620,44.85,325,50288,0.07,1.9450693542882092,0.14687132055405527,20136
630,47.23,331,51100,0.07,2.0052531631216515,0.14342887740349397,20544
640,43.22,335,51573,0.07,1.800982427739251,0.23021144419908524,20784
650,40.74,337,51801,0.07,1.6525971840513143,0.1721720992354676,20896
660,40.96,341,52300,0.07,1.62516303675038,0.0880082577932626,21144
670,43.42,347,53009,0.07,1.6590761635627893,0.20108020666521043,21504
680,45.62,351,53580,0.07,1.7231876512539912,0.0905582225532271,21784
690,46.6,355,54026,0.07,1.751409138310224,0.14997908525401726,22008
700,54.04,364,55089,0.07,1.9640722543705487,0.22757350374013186,22544
710,60.8,372,56138,0.07,2.108949268318706,0.24565241672098637,23064
720,61.16,375,56504,0.07,2.0836605388311122,0.21101781487232074,23248
730,58.8,380,57080,0.07,1.9561032504471465,0.12846506631467491,23536
740,62.46,386,57919,0.07,2.0114567514807367,0.14321134245255962,23952
750,67.59,392,58660,0.07,2.1429965053606734,0.20910838950658217,24328
760,71.5,400,59550,0.07,2.24019438271423,0.19075375807005912,24768
770,76.07,409,60716,0.07,2.320371572444966,0.13572149723768234,25352
780,78.34,415,61514,0.07,2.310928225447824,0.14855494123185053,25752
790,80.66,421,62192,0.07,2.328259091079632,0.15811573871178553,26088
800,81.28,430,63317,0.07,2.2662528765211216,0.22894256067229435,26656
810,78.0,436,64038,0.07,2.1268957465529104,0.2640078095719218,27016
820,85.06,444,65110,0.07,2.3282571440464688,0.16244402580196038,27552
830,87.65,451,65945,0.07,2.39388483687464,0.13020329037681222,27968
840,86.07,456,66626,0.07,2.3574736536853256,0.11104748595971614,28312
850,91.97,467,67957,0.07,2.504680722945597,0.1623826803988777,28976
860,95.17,476,69167,0.07,2.5717586152294656,0.18852340336889029,29576
870,93.87,484,70203,0.07,2.5393951533108954,0.19100729376077652,30096
880,103.42,497,71956,0.07,2.856535512554665,0.21469425183022395,30976
890,112.75,510,73567,0.07,3.146553264780087,0.13240999908884987,31776
900,128.06,530,76223,0.07,3.6609209849015905,0.16516992333345115,33104
910,145.97,549,78735,0.07,4.212103120659529,0.16899678597110324,34360
920,161.32,569,81342,0.07,4.697803357754331,0.17615938949165866,35664
930,177.16,588,83761,0.07,5.181859525950512,0.14938478328986093,36880
940,183.87,598,85113,0.07,5.3900435193461,0.06267439539078623,37552
950,187.89,611,86846,0.07,5.587751262746151,0.1388972036947962,38416
960,185.91,619,87858,0.07,5.587284267709914,0.2581922062963713,38928
970,191.59,632,89462,0.07,5.794152480609244,0.23386894358554855,39728
980,189.14,643,90970,0.07,5.775350076761994,0.13824139797361568,40480
990,184.61,652,92128,0.07,5.701019729695443,0.23174056876450777,41056
1000,174.76,665,93799,0.07,5.4586928464042455,0.08047838864149526,41896
1010,160.87,674,94922,0.07,5.152111909164305,0.15356249833712354,42456
1020,141.58,679,95600,0.07,4.653606721580781,0.08203025461989455,42792
1030,127.89,687,96650,0.07,4.3025522534830465,0.17299858172191307,43320
1040,120.91,692,97304,0.07,4.133180417108921,0.12714876217069104,43648
1050,111.68,698,98114,0.07,3.8792143537872876,0.158056971791666,44056
1060,106.41,702,98599,0.07,3.7416151491291942,0.21942582802148536,44296
1070,97.2,707,99282,0.07,3.4862189931937517,0.23574227094650269,44640
1080,90.94,714,100164,0.07,3.3368450762506097,0.15522570395842195,45080
1090,84.98,718,100726,0.07,3.1804002652950203,0.14732113014906645,45360
1100,75.13,724,101412,0.07,2.855235377923454,0.15989062562584877,45704
1110,70.46,729,102068,0.07,2.6950517428877157,0.16042734868824482,46032
1120,71.44,735,102844,0.07,2.6740036922419534,0.19050909421639517,46416
1130,66.04,739,103354,0.07,2.5151557146287398,0.15968812763458118,46672
1140,66.22,744,104026,0.07,2.5197613360472317,0.16144507296849042,47008
1150,66.93,751,104907,0.07,2.563834667382285,0.11689510295400396,47448
1160,66.64,755,105363,0.07,2.532800220824381,0.19248932506889105,47680
1170,66.22,760,106004,0.07,2.5248284130879193,0.19081993214786053,48000
1180,65.85,767,106849,0.07,2.470022031331258,0.15865399519680068,48424
1190,66.7,772,107496,0.07,2.4940993767657424,0.20890083158155903,48744
1200,70.65,781,108577,0.07,2.6106702216397384,0.11261985817691311,49288
1210,76.13,791,109781,0.07,2.6891174100316366,0.18622358789434657,49888
1220,79.22,799,110866,0.07,2.7365976174422046,0.09722614794736728,50432
1230,88.42,811,112296,0.07,2.967430635953118,0.21278097163303755,51144
1240,90.85,819,113211,0.07,3.017049199327882,0.21735543623799458,51600
1250,93.73,828,114380,0.07,3.0649409823033755,0.29174517121282406,52184
1260,99.24,836,115387,0.07,3.2021456704087625,0.10827612387947738,52688
1270,104.94,846,116598,0.07,3.3150591151057944,0.12383325517293997,53296
1280,108.86,855,117835,0.07,3.3302743412212696,0.167218872171361,53912
1290,115.44,865,119140,0.07,3.445267028887842,0.19990717037580907,54568
1300,123.46,879,121023,0.07,3.632519036203145,0.16837351204594597,55504
1310,121.59,887,122040,0.07,3.598865409198331,0.13865010411245748,56016
1320,117.14,892,122680,0.07,3.4638640106784013,0.21150259536807425,56336
1330,118.36,904,124232,0.07,3.467129312398017,0.10573687913711183,57112
1340,124.64,916,125775,0.07,3.647205626974521,0.046028828917769715,57880
1350,122.85,924,126765,0.07,3.5575128651570624,0.16273801418719813,58376
1360,123.23,932,127810,0.07,3.556660820445294,0.16619622526923195,58904
1370,121.92,941,128890,0.07,3.572094678920537,0.2503032134845853,59440
1380,120.46,950,129981,0.07,3.627499064185004,0.16413583332905546,59984
1390,123.29,962,131569,0.07,3.753519820154182,0.09209639813343529,60784
1400,115.95,971,132718,0.07,3.5414113200738866,0.07811992635834031,61352
1410,118.97,981,134037,0.07,3.6402056190082845,0.20667195873102173,62016
1420,134.07,997,136187,0.07,4.038295553073272,0.15147710271412507,63088
1430,137.16,1011,138048,0.07,4.111945558116508,0.06070506401010789,64016
1440,128.47,1017,138722,0.07,3.8475525616228854,0.1515186611795798,64360
1450,128.32,1024,139697,0.07,3.863557459019432,0.14765970356529579,64848
1460,136.07,1038,141517,0.07,4.050031090776935,0.1181929198501166,65752
1470,139.65,1049,142955,0.07,4.081829868793833,0.10622326849261299,66472
1480,142.5,1060,144331,0.07,4.083918262752458,0.149200323066907,67160
1490,136.48,1068,145317,0.07,3.8838694463557952,0.0757787850452587,67656
1500,136.4,1077,146458,0.07,3.855606902550865,0.11889933989732526,68224
1510,136.78,1087,147815,0.07,3.817443463467754,0.13327126140939072,68904
1520,122.05,1092,148492,0.07,3.4721860205335537,0.20594682171940804,69240
1530,115.08,1102,149656,0.07,3.312392408440344,0.07437167456373572,69824
1540,117.8,1109,150602,0.07,3.3979891220922025,0.11995003822084982,70296
1550,118.23,1117,151620,0.07,3.3835571337350676,0.11796446386142634,70808
1560,110.24,1126,152641,0.07,3.189966500986728,0.08898006845265627,71320
1570,102.19,1131,153274,0.07,3.0069413864274153,0.10526652848056983,71632
1580,93.79,1135,153810,0.07,2.790327718126216,0.08911497704684734,71904
1590,89.36,1140,154353,0.07,2.6407432262539228,0.13483919863938354,72176
