time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
10,90.2,1,912,0.978796,-5.497617331394908,,
20,114.35,2,2307,0.9463622500000002,-7.1158979055753875,,
30,89.83333333333333,3,2725,0.93664375,-5.496250092756569,,
40,88.975,4,3599,0.91632325,-5.449479026544414,,
50,88.3,6,4465,0.8961887499999999,-5.611264917300962,,
60,92.81666666666666,8,5629,0.8691257500000001,-5.936789143390865,,
70,92.34285714285714,9,6534,0.8480845000000001,-5.7643951105917015,,
80,84.8875,10,6871,0.84024925,-5.308104411312472,,
90,82.91111111111111,11,7552,0.8244159999999999,-5.212417257059046,,
100,93.37,14,9437,0.7805897499999999,-6.112501021264956,,
110,97.44,21,10756,0.7499229999999998,-6.461400145237933,0.139192508533597,376
120,98.79,31,12286,0.7143505000000001,-6.522790815667142,0.13125193218729692,1136
130,113.45,45,14170,0.6705475000000002,-7.35766456955491,0.06634834873693762,2080
140,123.83,60,16082,0.6260935000000001,-7.974607971936555,0.038181808860827005,3040
150,126.15,68,17180,0.6005650000000002,-8.194796961028473,0.10670835025666747,3584
160,125.13,76,18242,0.5758734999999999,-8.13964787082686,0.048639924156304915,4120
170,123.46,82,18980,0.5587150000000001,-8.217886962358259,0.05839123760961229,4488
180,127.95,88,19766,0.5404405000000002,-8.462301034711858,0.10631333111814456,4880
190,130.84,95,20736,0.5178880000000001,-8.676432352059733,0.08707904763286933,5360
200,123.06,103,21843,0.4921502499999998,-7.992513534147114,0.06000958554795943,5920
210,124.23,114,23279,0.45876324999999996,-7.899926738443469,0.06930951640242711,6632
220,113.73,118,23759,0.4476032500000001,-7.189022522243585,0.08901422715280205,6872
230,110.38,130,25308,0.4115890000000002,-7.095734856628244,0.049834168632514775,7648
240,99.89,137,26171,0.39152425000000035,-6.42625323314674,0.12818222062196583,8080
250,97.51,144,27031,0.37152925000000003,-6.09035197393141,0.11913689505308867,8512
260,97.39,152,28081,0.3471167500000001,-5.941202477864343,0.09130360890412703,9040
270,96.16,157,28696,0.33281799999999984,-5.7531356724085265,0.09163262846414,9344
280,101.21,167,29987,0.30280224999999994,-6.1113208583720215,0.06111719735781662,9992
290,100.91,175,30927,0.2809472500000003,-6.016313883572024,0.07236093207029626,10456
300,99.24,182,31867,0.25909225,-5.854033510108483,0.10083226169808768,10928
310,95.6,191,32939,0.23416824999999986,-5.678619117913168,0.09271506840013899,11464
320,109.53,206,34812,0.19062100000000015,-6.54069522233072,0.06615617626812309,12400
330,104.24,214,35832,0.1669060000000001,-6.168188164257807,0.06378645988297649,12912
340,105.24,222,36795,0.14451625000000012,-6.262782509892703,0.1051488893572241,13392
350,111.08,234,38239,0.11094325000000016,-6.635632669655226,0.07468281546607614,14112
360,114.56,246,39637,0.07843974999999992,-6.871040293877511,0.06500988197512925,14816
370,121.34,256,40930,0.07,-7.205573144903085,0.10314180294517428,15464
380,122.74,269,42361,0.07,-7.193271995152172,0.06420851754955947,16176
390,123.4,278,43367,0.07,-7.183720836026811,0.07518372655613348,16680
400,128.85,289,44852,0.07,-7.464777875333002,0.08263125811936334,17424
410,138.96,305,46935,0.07,-7.838203713463911,0.06400020414730534,18464
420,132.1,314,48122,0.07,-7.3279262095069395,0.14291522174607962,19056
430,125.73,317,48505,0.07,-6.901648822906477,0.10378983605187386,19248
440,122.87,322,49182,0.07,-6.641690141490368,0.10039366275304928,19584
450,117.06,329,50045,0.07,-6.105884567441509,0.07530796260107309,20016
460,113.75,338,51112,0.07,-5.807456923101006,0.08351287880213931,20552
470,108.3,344,51860,0.07,-5.432135626984855,0.06326504825847223,20928
480,100.29,349,52490,0.07,-4.889268770495729,0.07405585108790547,21240
490,95.35,353,53002,0.07,-4.573286486906342,0.06572038901504129,21496
500,90.82,361,54034,0.07,-4.088402201447803,0.12590426462702453,22016
510,77.28,367,54763,0.07,-3.3605992984993764,0.034360243880655617,22376
520,68.48,369,55070,0.07,-2.917057336293146,0.03551309712929651,22528
530,73.21,376,55926,0.07,-3.0711981010153537,0.12473307107575238,22960
540,75.02,383,56784,0.07,-3.043753974267209,0.10660187224857509,23384
550,75.86,391,57731,0.07,-3.0128765538361804,0.09646334295393899,23864
560,75.97,399,58809,0.07,-2.9542538518726538,0.11607307917438447,24400
570,78.88,407,59848,0.07,-3.0427955529208486,0.11151005793362856,24920
580,85.51,416,61141,0.07,-3.220197601385162,0.11398292053490877,25568
590,89.38,423,62040,0.07,-3.3719237443330377,0.12443363841157407,26016
600,86.95,429,62829,0.07,-3.322513009788551,0.0676736239111051,26408
610,84.53,433,63316,0.07,-3.217456283985945,0.10199514479609206,26656
620,85.74,437,63744,0.07,-3.274688549607167,0.09733162692282349,26864
630,82.82,442,64308,0.07,-3.1747607954536243,0.06644344489905052,27152
640,75.99,443,64483,0.07,-2.971381996500477,0.083564268425107,27240
650,72.31,448,65062,0.07,-2.8991660080405985,0.0920473950682208,27528
660,66.79,452,65588,0.07,-2.6977062513506347,0.08397358789807186,27792
670,63.54,457,66302,0.07,-2.548136138399768,0.0769809948396869,28144
680,55.66,461,66807,0.07,-2.3414392112613047,0.0629076199256815,28400
690,52.09,466,67349,0.07,-2.1987698487940044,0.12092947529163212,28672
700,48.53,470,67782,0.07,-2.0791172817333616,0.08989010594086722,28888
710,48.6,474,68276,0.07,-2.1307770435557445,0.07397739484440535,29136
720,48.87,477,68731,0.07,-2.152694261736173,0.07999670004937798,29360
730,48.43,482,69251,0.07,-2.1525484508016888,0.08310522802639753,29624
740,52.75,487,69858,0.07,-2.2996841758738666,0.0862506001139991,29928
750,50.63,489,70225,0.07,-2.240163410554712,0.06231989880325273,30112
760,50.04,493,70692,0.07,-2.2321568132227876,0.10327092511579394,30344
770,48.17,498,71219,0.07,-2.166589190174292,0.13044112548232079,30608
780,48.83,502,71790,0.07,-2.225000908620402,0.06250405358150601,30888
790,49.48,507,72397,0.07,-2.2442192733909536,0.1082121437357273,31192
800,49.58,511,72840,0.07,-2.289051660298364,0.0749376326566562,31416
810,54.68,519,73844,0.07,-2.5404389398559166,0.12380365934222937,31920
820,56.1,524,74441,0.07,-2.6093323996200537,0.06828521742136218,32216
830,58.11,529,75162,0.07,-2.7452315516946424,0.11008798360126093,32576
840,59.62,536,75920,0.07,-2.874462408254808,0.0736967867705971,32952
850,62.61,541,76586,0.07,-3.01273985702748,0.11199824931100011,33288
860,65.25,547,77317,0.07,-3.1827937073831993,0.09976953957811929,33656
870,65.66,552,77885,0.07,-3.2805594013627313,0.1194487534230575,33936
880,65.6,556,78450,0.07,-3.2565854604042723,0.09911898814607412,34224
890,68.6,563,79357,0.07,-3.4151542896694695,0.0820734677836299,34672
900,71.64,569,80104,0.07,-3.5131894827948265,0.11669282952789217,35048
910,67.08,574,80652,0.07,-3.280790558242162,0.07864183670608327,35320
920,69.32,580,81473,0.07,-3.347919647709442,0.07289791898801923,35736
930,70.15,587,82277,0.07,-3.3143321241234696,0.09790778730530292,36136
940,69.92,593,83012,0.07,-3.311719870439153,0.11127577116712928,36504
950,69.38,597,83624,0.07,-3.2463995134012062,0.09854797623120248,36808
960,72.6,606,84677,0.07,-3.261681032319678,0.13468570756958798,37336
970,75.35,613,85520,0.07,-3.308677613276294,0.13274490315234289,37752
980,75.01,617,86051,0.07,-3.2889984548300997,0.10002869932213798,38024
990,76.51,625,87108,0.07,-3.231599797766951,0.10957589244935662,38552
1000,77.43,632,87947,0.07,-3.2324892094725612,0.12407412123866379,38968
1010,84.35,642,89187,0.07,-3.447765197914646,0.0766644311370328,39592
1020,82.0,646,89773,0.07,-3.3728975380201707,0.16976203094236553,39880
1030,87.97,657,91174,0.07,-3.5677503379701907,0.1391762436251156,40584
1040,95.05,669,92617,0.07,-3.782777612904369,0.10294903698377311,41304
1050,104.53,681,94177,0.07,-4.095906767454649,0.15002086840104312,42088
1060,106.06,691,95383,0.07,-4.162195259340316,0.08176391082815826,42688
1070,112.52,703,96872,0.07,-4.413909687525515,0.09435988968471065,43432
1080,127.03,717,98854,0.07,-5.026054319750988,0.06013731367420405,44424
1090,131.18,729,100326,0.07,-5.246596499473539,0.04361514333868399,45160
