time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
0,52.0,10,530,0.9876774999999998,-3.2982972322723034,,
1,47.1,20,962,0.9776335,-2.505680940957688,,
2,65.83333333333333,30,2005,0.9533837500000002,-3.6831746142831188,,
4,78.825,40,3193,0.92576275,-4.803295952432566,,
5,85.44,50,4322,0.8995135,-5.341255338990315,,
7,87.05,60,5283,0.8771702500000002,-5.530874920180262,,
8,88.87142857142857,70,6291,0.85373425,-5.738869149522263,,
10,88.0,80,7120,0.8344600000000002,-5.81786841654318,,
13,95.6,90,8694,0.7978645,-6.45944999850099,,
15,96.01,100,9701,0.7744517499999999,-6.544312197163252,,
21,100.48,110,10678,0.7517364999999998,-6.861762612584165,336,0.07421428549969278
32,109.96,120,12058,0.7196515000000003,-7.440584565431216,1024,0.0657379282056354
44,114.22,130,13527,0.6854972500000001,-7.748102399721144,1760,0.10393698464758927
54,113.92,140,14685,0.6585737500000002,-7.5239203431052,2336,0.12292753862129757
65,115.19,150,15941,0.62937175,-7.397651489603941,2968,0.11382598265481647
76,118.64,160,17247,0.5990072499999998,-7.4480108846891895,3616,0.06742307091190014
84,117.2,170,18111,0.5789192500000003,-7.217906212978554,4048,0.048534108078456484
93,119.17,180,19137,0.5550647499999999,-7.127904157288916,4568,0.09536956500960514
101,112.43,190,20037,0.5341397500000002,-6.480836756237226,5016,0.11531412973999977
106,108.88,200,20689,0.51898075,-6.074492721033462,5344,0.08833482142654248
115,109.34,210,21712,0.4951960000000001,-5.9280834479323055,5848,0.06946848970255814
122,102.38,220,22396,0.4792930000000002,-5.498892050883666,6192,0.07944472707458772
129,95.7,230,23197,0.4606697500000001,-4.980395463834544,6592,0.08793875080300495
134,90.3,240,23815,0.44630124999999987,-4.727837475718801,6904,0.09107138239778578
143,87.44,250,24785,0.42374875000000034,-4.533399902457147,7392,0.14578383695334196
150,81.37,260,25484,0.4074970000000002,-4.188878026115655,7736,0.0881934316130355
154,77.7,270,25981,0.3959417500000003,-3.996401606326009,7984,0.07129437278490514
160,74.33,280,26670,0.3799225000000003,-3.805750326178372,8328,0.1629550627549179
166,71.59,290,27296,0.36536800000000036,-3.598000179765774,8640,0.08129975473275408
172,71.82,300,27971,0.34967424999999985,-3.5651508588334826,8984,0.06222792336484417
177,67.32,310,28544,0.3363520000000003,-3.363359642728997,9264,0.07840001286240295
182,65.0,320,28996,0.3258430000000001,-3.2890724672473,9496,0.08137696824269369
187,62.61,330,29558,0.3127765000000001,-3.1491411832131484,9776,0.12486118887318298
192,61.45,340,30060,0.30110500000000007,-3.025399405688304,10024,0.09184470778563991
197,57.34,350,30619,0.2881082500000003,-2.891452501323011,10304,0.13765797653468326
203,56.74,360,31258,0.27325149999999987,-2.8119758336875393,10624,0.11836865823715925
206,55.65,370,31646,0.26423050000000015,-2.6768887879438217,10816,0.10365307563915849
210,52.75,380,32045,0.25495374999999987,-2.503706288673044,11016,0.10051044111605734
216,52.92,390,32688,0.24000399999999988,-2.444166535550072,11336,0.06216316611971706
220,50.52,400,33123,0.22989024999999985,-2.326109020758926,11560,0.08848949777893722
226,51.4,410,33784,0.21452200000000032,-2.289928436754036,11888,0.15359160397201777
231,51.63,420,34259,0.2034782500000003,-2.244704791131199,12128,0.10975985554978251
235,50.5,430,34708,0.19303899999999996,-2.204700586490726,12352,0.08422407868783921
242,52.47,440,35407,0.17678724999999995,-2.3256326526167173,12696,0.13657924346625805
247,51.96,450,35915,0.16497624999999982,-2.2281817245338886,12952,0.14924301579594612
251,49.68,460,36326,0.1554205000000003,-2.20771561145343,13160,0.12751637410838157
255,49.94,470,36740,0.14579500000000023,-2.24581872736086,13368,0.12957583914976567
258,49.39,480,37084,0.13779699999999995,-2.220948971861727,13536,0.1079964425880462
263,47.92,490,37580,0.1262650000000003,-2.1838512029654864,13784,0.1171853031264618
267,47.33,500,37956,0.11752299999999982,-2.1923441031504827,13976,0.04763023869600147
271,45.41,510,38425,0.1066187500000001,-2.0985991697479185,14208,0.12061113899108022
275,44.86,520,38845,0.09685375000000018,-2.0950248649371286,14416,0.07747535314410925
280,45.95,530,39403,0.08388025000000032,-2.1300412496904517,14696,0.08914440986700356
287,45.24,540,40031,0.07,-2.0296739333044447,15008,0.07413653947878629
294,47.56,550,40771,0.07,-2.045718084014639,15384,0.12043160782195628
299,48.58,560,41284,0.07,-1.9541299197840296,15640,0.16043302230536938
303,47.93,570,41633,0.07,-1.9353816910249548,15816,0.12827406008727849
306,47.83,580,41967,0.07,-1.9217543257722587,15976,0.1629978605778888
313,50.38,590,42718,0.07,-1.996338057079697,16352,0.14626488438807428
318,51.51,600,43207,0.07,-1.9501301788881356,16600,0.13481069752015173
321,49.72,610,43497,0.07,-1.914143822838954,16744,0.12093393900431693
325,49.45,620,43890,0.07,-1.9028187461270767,16944,0.1641668708762154
329,48.45,630,44348,0.07,-1.846460600273798,17168,0.1442726468667388
332,45.91,640,44722,0.07,-1.7739443970527164,17360,0.12996608763933182
336,42.82,650,45153,0.07,-1.7460191211793634,17576,0.18715129513293505
340,40.95,660,45479,0.07,-1.731295665917685,17736,0.15283038513734937
343,41.46,670,45879,0.07,-1.7283257156155942,17936,0.18094865477178246
349,43.83,680,46450,0.07,-1.8405887930652052,18224,0.09934771410189569
352,39.98,690,46816,0.07,-1.7551967259146897,18400,0.1230327885132283
358,41.11,700,47418,0.07,-1.8555490033049125,18704,0.1236969445599243
362,41.86,710,47783,0.07,-1.8781755414857682,18888,0.11018596822395921
365,41.07,720,48097,0.07,-1.8176188317793411,19048,0.11222131096292287
369,40.61,730,48509,0.07,-1.8242083175076271,19248,0.19825384265277535
371,39.4,740,48762,0.07,-1.7665029073307001,19376,0.13801411038730294
373,37.39,750,48992,0.07,-1.6910183428291865,19488,0.18288932950235903
377,37.69,760,49348,0.07,-1.712961694417543,19672,0.1889181025326252
379,36.25,770,49604,0.07,-1.6641445462044384,19800,0.1334284683689475
382,33.68,780,49918,0.07,-1.5604417821939576,19952,0.16994055546820164
386,34.29,790,50345,0.07,-1.5713932273784863,20168,0.17799953278154135
390,31.84,800,50702,0.07,-1.4589504697532336,20344,0.08445302757900208
393,31.56,810,51039,0.07,-1.4302083116564364,20512,0.1366535285487771
397,33.03,820,51500,0.07,-1.5228161508968503,20744,0.19130909233354032
401,33.14,830,51923,0.07,-1.5135444720301543,20960,0.175181501545012
406,35.5,840,52412,0.07,-1.6046322103981554,21200,0.12502680823672563
410,37.11,850,52803,0.07,-1.6725905036597897,21400,0.09372417698614299
412,36.16,860,53064,0.07,-1.6177553552533956,21528,0.1998729594051838
415,36.86,870,53390,0.07,-1.6196954370255663,21688,0.14395048236474395
420,38.43,880,53861,0.07,-1.6743490314015508,21928,0.16997743491083384
423,37.32,890,54177,0.07,-1.6021732820777133,22088,0.16548828966915607
425,36.8,900,54482,0.07,-1.615439123599986,22240,0.1576609353069216
428,36.47,910,54786,0.07,-1.6352563515130094,22392,0.13591081416234374
432,35.39,920,55139,0.07,-1.584624691684776,22568,0.16327515884768218
435,34.81,930,55504,0.07,-1.5575221767808392,22744,0.15777710592374206
439,34.23,940,55935,0.07,-1.6159606630526628,22960,0.14889688370749354
442,33.65,950,56268,0.07,-1.5953764866677347,23128,0.16549061425030231
446,34.64,960,56628,0.07,-1.655085911867796,23312,0.1515059215016663
448,33.9,970,56880,0.07,-1.6367273924112,23432,0.16726433602161705
451,32.55,980,57216,0.07,-1.5681854943345837,23600,0.10703829117119312
454,32.98,990,57575,0.07,-1.6048899169669264,23784,0.18076978996396065
458,33.99,1000,57981,0.07,-1.644094132856707,23984,0.1651979172602296
462,35.36,1010,58422,0.07,-1.7054452323998077,24208,0.08971395180560648
465,35.11,1020,58750,0.07,-1.7535677478181222,24368,0.15454861405305564
469,35.2,1030,59124,0.07,-1.7499018538591269,24560,0.1590388733893633
472,33.98,1040,59433,0.07,-1.630036534752356,24712,0.1847649198025465
475,33.92,1050,59760,0.07,-1.6243156980786428,24872,0.14589765015989542
479,34.35,1060,60163,0.07,-1.6600895411050953,25080,0.1140389668289572
483,36.06,1070,60586,0.07,-1.78212467734453,25288,0.20611553359776735
487,37.23,1080,61039,0.07,-1.8295982237017028,25512,0.15695359650999308
490,37.36,1090,61411,0.07,-1.897861197421144,25704,0.15121173998340964
494,37.03,1100,61784,0.07,-1.8999158942824694,25888,0.15977816469967365
497,35.93,1110,62115,0.07,-1.8741176940637714,26056,0.12022576434537768
500,35.66,1120,62416,0.07,-1.7856143768965194,26200,0.24106752686202526
504,36.14,1130,62838,0.07,-1.8462618344704713,26416,0.15522202756255865
508,36.86,1140,63219,0.07,-1.8850394789657858,26608,0.1919783828780055
511,37.3,1150,63590,0.07,-1.9535145755786671,26792,0.12052291911095381
514,36.34,1160,63897,0.07,-1.8838164276168632,26944,0.11448803078383207
518,36.26,1170,64312,0.07,-1.8701764136182601,27152,0.13662788667716086
522,35.96,1180,64735,0.07,-1.9236756162215118,27360,0.17676827847026289
525,35.8,1190,65091,0.07,-1.8714423429421834,27544,0.2275980282574892
