rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss
-5.745703802541669,1027,2,0.97612225,10,101.7,,
-4.73827538292543,1690,3,0.9607075000000002,20,83.5,,
-4.6962349893991595,2462,4,0.9427584999999998,30,81.06666666666666,,
-4.366702783608398,3133,4,0.9271577499999998,40,77.325,,
-4.320610653762732,3783,5,0.9120452499999999,50,74.66,,
-5.515138070823199,5586,8,0.8701255,60,92.1,,
-5.642962098525744,6670,10,0.8449225,70,94.28571428571429,,
-5.79167120848218,7855,12,0.8173712500000003,80,97.1875,,
-5.963567811466687,8962,15,0.7916335,90,98.57777777777778,,
-6.239215894138105,10649,21,0.7524107500000001,100,105.49,320,0.06445309405899025
-7.14692674523185,12884,38,0.7004469999999998,110,117.57,1440,0.06514138491729682
-8.060669858253084,14818,52,0.6554815,120,130.28,2408,0.12178903029780486
-8.29891566217316,16003,61,0.6279302500000002,130,134.41,3000,0.047433029758394696
-8.612123616139067,17118,70,0.6020064999999998,140,138.85,3552,0.07602997912908904
-8.781279017309112,18053,77,0.5802677499999999,150,141.7,4024,0.04889331795857288
-8.32881368903674,19452,87,0.547741,160,137.66,4720,0.038583546251174994
-8.21048599174984,20463,95,0.5242352499999998,170,136.93,5224,0.07785546843660995
-7.953308153624189,21371,103,0.5031242499999999,180,134.16,5680,0.07804871880216524
-7.7897144241023035,22501,111,0.47685175000000024,190,134.39,6248,0.06036168604623526
-7.225723537405615,23156,117,0.4616230000000001,200,124.07,6576,0.09694108125404455
-6.08719425011042,23799,122,0.44667325000000024,210,108.15,6896,0.0681691637437325
-5.121560430761584,24510,129,0.43014249999999987,220,95.92,7248,0.10690634531783871
-4.8995522309093404,25310,135,0.41154250000000037,230,92.07,7648,0.06788286965456791
-4.6879766572517845,26216,142,0.3904780000000002,240,89.98,8104,0.10993258852977306
-4.57031659824099,27099,148,0.36994825,250,89.46,8544,0.05002838029759005
-4.192085954953736,27775,153,0.3542312500000002,260,82.23,8880,0.05077022156910971
-4.133830382220553,28681,160,0.33316675000000007,270,81.18,9336,0.12657932194997557
-4.284344116513687,29670,168,0.3101725000000002,280,81.99,9832,0.08908461517421529
-4.041417646423742,30304,173,0.29543200000000014,290,77.03,10144,0.08161466586170718
-4.573332439804346,31903,186,0.25825525000000027,300,86.47,10944,0.1289786595152691
-4.8541112389603525,33156,196,0.22912299999999997,310,92.57,11576,0.07178805739386007
-5.276767225781624,34616,208,0.19517799999999996,320,100.06,12304,0.1308634536108002
-5.232224283745296,35493,216,0.17478775000000013,330,100.83,12744,0.11947625549510121
-5.319945203863837,36590,225,0.14928250000000032,340,102.74,13288,0.07130622252589092
-5.5716441347901915,38124,238,0.11361699999999997,350,109.25,14056,0.05301715328823775
-5.809831536693523,39259,247,0.08722825000000012,360,113.84,14624,0.07444111880613491
-5.981277879921066,40604,258,0.07,370,118.23,15296,0.07501995662460104
-6.196496088761475,42205,272,0.07,380,124.35,16096,0.10172817343845963
-6.942555559613819,44425,291,0.07,390,140.21,17208,0.0836492829839699
-6.858643911830822,45950,304,0.07,400,139.47,17968,0.10832080332329497
-6.789380703055676,47088,316,0.07,410,138.32,18536,0.10284807288553566
-6.970819204592885,48981,331,0.07,420,142.65,19488,0.04679123073583469
-7.1298403816988465,50227,342,0.07,430,146.34,20112,0.09578282927395776
-7.083177247856149,51217,350,0.07,440,145.27,20608,0.08523022994631901
-7.001157127586204,52594,363,0.07,450,143.7,21296,0.06345353898359463
-6.678880339330663,53074,367,0.07,460,137.15,21536,0.07367901015095413
-6.272236571139647,53568,371,0.07,470,128.64,21776,0.0647559137432836
-5.717340482510176,54043,375,0.07,480,117.38,22016,0.05755731149110943
-4.911341989722539,54546,379,0.07,490,100.21,22272,0.08254680165555328
-4.507004193705141,55282,385,0.07,500,92.32,22640,0.054750890703871846
-4.191234111238634,55796,389,0.07,510,86.08,22896,0.1601567966863513
-3.4959059331236007,56215,393,0.07,520,71.34,23104,0.09677862649550661
-3.326216637856533,57144,401,0.07,530,68.17,23568,0.11484968941658735
-3.123288107073973,57719,405,0.07,540,64.02,23856,0.06345889961812645
-2.7257288749444393,58262,410,0.07,550,55.68,24128,0.06263348076026887
-2.845042234016555,59047,416,0.07,560,58.73,24520,0.13292054936755449
-3.0490817018461787,59924,424,0.07,570,62.56,24960,0.07211100409040228
-3.362473019029157,60975,433,0.07,580,68.32,25480,0.09383783407974988
-3.840254502292515,62453,446,0.07,590,78.07,26224,0.06352951133158058
-4.137119137206486,63625,458,0.07,600,82.43,26808,0.12857380229979753
-4.568299443517649,64964,469,0.07,610,90.68,27480,0.10188739700242877
-4.679997078721302,65632,476,0.07,620,93.17,27808,0.10640799184329808
-4.488808594795692,66105,480,0.07,630,88.61,28048,0.07539211894618347
-4.5774694334386234,66780,486,0.07,640,89.61,28384,0.061651418916881084
-4.885087274377727,67714,494,0.07,650,93.52,28856,0.08316325501073152
-4.7091817936264135,68022,498,0.07,660,88.75,29008,0.07181586773367599
-4.52724435351162,68457,502,0.07,670,84.33,29224,0.13749449385795742
-4.272340753208483,69033,507,0.07,680,79.58,29512,0.13135875947773457
-3.951465917658334,69907,515,0.07,690,73.54,29952,0.10082680289633572
-3.690252359567972,70713,523,0.07,700,69.88,30352,0.08986996076419018
-3.5608559295547515,71690,531,0.07,710,66.26,30840,0.09238641511183232
-3.646119587129881,72574,538,0.07,720,68.42,31280,0.0817914372892119
-3.721217470335405,73231,545,0.07,730,70.26,31608,0.05288343079155311
-3.6950734897903863,73933,552,0.07,740,70.53,31960,0.0648113630595617
-3.771509032532115,75281,563,0.07,750,74.67,32640,0.07519487559329718
-4.084712744816824,76264,573,0.07,760,81.42,33128,0.08024898963049054
-4.547273968331962,77843,587,0.07,770,92.86,33920,0.09145918220747262
-4.771224225025461,78936,597,0.07,780,98.03,34464,0.1023380440310575
-4.9694847112289775,80222,608,0.07,790,102.15,35104,0.07242067536571994
-5.395441699662266,81957,624,0.07,800,111.44,35976,0.08926885394612327
-5.9998102245427845,84139,643,0.07,810,123.49,37064,0.09908224892569706
-6.361235161074782,85833,660,0.07,820,131.59,37912,0.05288603721419349
-7.0252550344885245,87988,679,0.07,830,146.57,38992,0.10955970117356628
-7.200463486277386,89312,690,0.07,840,152.79,39648,0.10412348149111494
-7.072566961959175,90451,700,0.07,850,150.7,40224,0.07224497059360147
-7.177425805845761,92182,716,0.07,860,158.18,41088,0.06408456357894465
-7.012030773645047,93511,729,0.07,870,155.68,41752,0.09077956265537068
