rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss
4.3646208857536655,1027,2,0.97612225,10,101.7,,
3.8509113671059234,1690,3,0.9607075000000002,20,83.5,,
3.8678248384419143,2462,4,0.9427584999999998,30,81.06666666666666,,
3.6804053741789153,3133,4,0.9271577499999998,40,77.325,,
3.5904476704081367,3783,5,0.9120452499999999,50,74.66,,
4.718938421133462,5586,8,0.8701255,60,92.1,,
4.783937918257332,6670,10,0.8449225,70,94.28571428571429,,
4.8679199877279276,7855,12,0.8173712500000003,80,97.1875,,
4.989344628118454,8962,15,0.7916335,90,98.57777777777778,,
5.26300387810807,10649,21,0.7524107500000001,100,105.49,320,0.09533636279957136
6.053914634471473,12884,38,0.7004469999999998,110,117.57,1440,0.03873092199137318
6.749399403588551,14818,52,0.6554815,120,130.28,2408,0.04928960269171512
6.920164646547985,16003,61,0.6279302500000002,130,134.41,3000,0.05978223514830461
7.092490955897967,17118,70,0.6020064999999998,140,138.85,3552,0.08087341783539159
7.221041877776185,18053,77,0.5802677499999999,150,141.7,4024,0.11123286001384258
6.793569824036842,19452,87,0.547741,160,137.66,4720,0.06187178098480217
6.68735430975545,20463,95,0.5242352499999998,170,136.93,5224,0.0633585486211814
6.467304752567703,21371,103,0.5031242499999999,180,134.16,5680,0.07426853675860912
6.339540807984102,22501,111,0.47685175000000024,190,134.39,6248,0.0537784302723594
5.819191817446988,23156,117,0.4616230000000001,200,124.07,6576,0.08577275009884033
4.869516847857853,23799,122,0.44667325000000024,210,108.15,6896,0.0978762307058787
4.083476342854299,24510,129,0.43014249999999987,220,95.92,7248,0.06542838060704526
3.837338103174844,25310,135,0.41154250000000037,230,92.07,7648,0.12140304080094211
3.732898814039465,26216,142,0.3904780000000002,240,89.98,8104,0.07917526588425972
3.6661749303256346,27099,148,0.36994825,250,89.46,8544,0.12513264158042148
3.3185631082863387,27775,153,0.3542312500000002,260,82.23,8880,0.0803821732988581
3.296925404233063,28681,160,0.33316675000000007,270,81.18,9336,0.16986171063035727
3.419281458802846,29670,168,0.3101725000000002,280,81.99,9832,0.10377172887092456
3.2222308176110386,30304,173,0.29543200000000014,290,77.03,10144,0.1263428657548502
3.681533650346032,31903,186,0.25825525000000027,300,86.47,10944,0.09825949958758429
3.946483318997177,33156,196,0.22912299999999997,310,92.57,11576,0.08534390333807096
4.354865929915991,34616,208,0.19517799999999996,320,100.06,12304,0.12124285622849129
4.416216522731771,35493,216,0.17478775000000013,330,100.83,12744,0.12161453679436818
4.506340893918991,36590,225,0.14928250000000032,340,102.74,13288,0.11112248394056223
4.746936237879288,38124,238,0.11361699999999997,350,109.25,14056,0.07791313869529404
4.966645769176446,39259,247,0.08722825000000012,360,113.84,14624,0.13962123781675473
5.131380572536163,40604,258,0.07,370,118.23,15296,0.10267495299922302
5.357313451302581,42205,272,0.07,380,124.35,16096,0.09346017695497721
6.034313476455338,44425,291,0.07,390,140.21,17208,0.1101162051782012
5.94007585636891,45950,304,0.07,400,139.47,17968,0.12217943056020886
5.872768103781042,47088,316,0.07,410,138.32,18536,0.10875186935300007
6.007183269192788,48981,331,0.07,420,142.65,19488,0.04473041062010452
6.13873667137444,50227,342,0.07,430,146.34,20112,0.16903933743014932
6.091487063425133,51217,350,0.07,440,145.27,20608,0.03166982519906014
6.032861521413473,52594,363,0.07,450,143.7,21296,0.12789319531293586
5.747274016064806,53074,367,0.07,460,137.15,21536,0.1433371612802148
5.385097650073223,53568,371,0.07,470,128.64,21776,0.142405932827387
4.9072072315651125,54043,375,0.07,480,117.38,22016,0.07410589884966612
4.144462424204701,54546,379,0.07,490,100.21,22272,0.14480074355378747
3.818457495734714,55282,385,0.07,500,92.32,22640,0.03175670781638473
3.5565868370200917,55796,389,0.07,510,86.08,22896,0.1854813446989283
2.952768038045107,56215,393,0.07,520,71.34,23104,0.10057612872333266
2.8183753154155675,57144,401,0.07,530,68.17,23568,0.0735721908567939
2.636242526034191,57719,405,0.07,540,64.02,23856,0.16702181263826787
2.2800021741467607,58262,410,0.07,550,55.68,24128,0.21732511976733804
2.397903321372615,59047,416,0.07,560,58.73,24520,0.15786596504040062
2.5753989081146194,59924,424,0.07,570,62.56,24960,0.08705709272180684
2.811786296655307,60975,433,0.07,580,68.32,25480,0.11675056707463227
3.2471761131582677,62453,446,0.07,590,78.07,26224,0.07361903847777285
3.468515807597201,63625,458,0.07,600,82.43,26808,0.15971046293270774
3.8178038103849343,64964,469,0.07,610,90.68,27480,0.12905327160842717
3.9005589539589898,65632,476,0.07,620,93.17,27808,0.1458194546867162
3.6910154525503374,66105,480,0.07,630,88.61,28048,0.15618654253194109
3.7319114601089685,66780,486,0.07,640,89.61,28384,0.13145999572589062
3.9596231902463326,67714,494,0.07,650,93.52,28856,0.14518822902755346
3.770065445552814,68022,498,0.07,660,88.75,29008,0.05826428880391177
3.5796698165863625,68457,502,0.07,670,84.33,29224,0.10171431183698587
3.3782501344917377,69033,507,0.07,680,79.58,29512,0.15678725321777165
3.131256889407311,69907,515,0.07,690,73.54,29952,0.1295302173239179
2.9413138631636544,70713,523,0.07,700,69.88,30352,0.11620001929986756
2.765584930487273,71690,531,0.07,710,66.26,30840,0.14365162409376353
2.8632098210436765,72574,538,0.07,720,68.42,31280,0.10342828134889714
2.9507413817671595,73231,545,0.07,730,70.26,31608,0.16209191357484087
2.947560878550168,73933,552,0.07,740,70.53,31960,0.11663731238513719
3.076286804611703,75281,563,0.07,750,74.67,32640,0.12012055009836331
3.356348139933717,76264,573,0.07,760,81.42,33128,0.15742629338637926
3.766904756181782,77843,587,0.07,770,92.86,33920,0.09009850904112682
3.9533392368525195,78936,597,0.07,780,98.03,34464,0.20464922330575064
4.116654095025911,80222,608,0.07,790,102.15,35104,0.13130625753547065
4.507394837548726,81957,624,0.07,800,111.44,35976,0.1324402966129128
5.078513687418595,84139,644,0.07,810,123.49,37064,0.14804402148001827
5.426322645611475,85833,660,0.07,820,131.59,37912,0.10356238903477788
6.057471206768656,87988,679,0.07,830,146.57,38992,0.18361636227928102
6.246793539976775,89312,690,0.07,840,152.79,39648,0.1448560991557315
6.098977111634773,90451,700,0.07,850,150.7,40224,0.07552077891887166
