rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9924670000000002,10,31.4,0,324,-1.484360750789894,,
0.9782147499999998,20,45.85,1,937,-2.3467612428283227,,
0.9673569999999999,30,45.8,1,1404,-2.6361576156998776,,
0.9402940000000002,40,63.2,3,2568,-3.569992931461158,,
0.9216242500000003,50,66.42,4,3371,-3.872805715002402,,
0.8974675,60,72.5,5,4410,-4.0760138238225245,,
0.8862145,70,68.91428571428571,6,4894,-3.8646453593457424,,
0.8604535000000001,80,74.025,8,6002,-4.098250156168957,,
0.8372732500000001,90,76.76666666666667,10,6999,-4.302424418134304,,
0.8066530000000003,100,82.16,12,8316,-4.697300078159866,,
0.7978412499999998,110,82.71,13,8695,-4.757840909047481,,
0.7678254999999999,120,89.49,15,9986,-5.19115073681723,,
0.7303929999999998,130,100.92,25,11596,-5.980538959269275,792,0.14843066024695872
0.6987265,140,102.9,35,12958,-6.307416206737437,1472,0.1387708114743873
0.6588062500000003,150,112.04,47,14675,-6.84316424353463,2336,0.0835591326613212
0.6351842500000003,160,111.81,54,15691,-6.906033583250051,2840,0.06708135141525418
0.60202975,170,121.23,64,17117,-7.371922234375472,3552,0.05786472969339229
0.583918,180,117.94,69,17896,-7.195634663571794,3944,0.12286493318970315
0.5638532500000002,190,116.6,75,18759,-7.090931025948873,4376,0.0870394217199646
0.5437420000000002,200,112.08,82,19624,-6.747412797693373,4808,0.0981064845691435
0.5167952500000002,210,119.88,90,20783,-7.09096074982767,5384,0.06945316740893759
0.49705599999999994,220,115.46,96,21632,-6.783036694950908,5808,0.0520956467371434
0.4738757499999998,230,109.33,103,22629,-6.190133715550595,6312,0.08925382437882945
0.45662424999999995,240,103.13,109,23371,-5.59891291362307,6680,0.09093060530722141
0.43718725,250,94.32,115,24207,-4.992207352794077,7096,0.14252476207911968
0.4229582500000003,260,90.28,119,24819,-4.721959900188285,7408,0.12395562010351568
0.40333525000000026,270,84.46,126,25663,-4.395953059773238,7824,0.10894766746787354
0.38615350000000026,280,84.06,131,26402,-4.354616889136005,8200,0.0996777638210915
0.37039000000000033,290,82.21,136,27080,-4.23737005938961,8536,0.061925898131448776
0.35625399999999996,300,79.64,141,27688,-4.0193694863798335,8840,0.08888164476957172
