rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9750759999999998,10,106.2,1,1072,5.550478190905756,,
0.9634510000000001,20,77.6,1,1572,4.224837935829915,,
0.9460599999999998,30,76.33333333333333,2,2320,4.255533493350284,,
0.9337375000000001,40,70.25,3,2850,3.844919591286368,,
0.91078975,50,75.74,5,3837,4.104046847998787,,
0.8851682499999999,60,81.31666666666666,6,4939,4.325034205792804,,
0.8699162500000002,70,78.92857142857143,7,5595,4.179497795466793,,
0.8488750000000002,80,80.25,9,6500,4.151563063507142,,
0.8418069999999997,90,74.6,9,6804,3.8427651285051803,,
0.8292520000000001,100,72.44,10,7344,3.7285784017787824,,
0.8041419999999998,110,72.52,12,8424,3.7482899433316974,,
0.7892619999999999,120,73.92,13,9064,3.80800827425281,,
0.7637102499999997,130,77.43,16,10163,3.9170623735857073,80,0.12762463698163629
0.734578,140,84.66,24,11416,4.2942572675082245,704,0.08713793792412616
0.70990975,150,85.4,32,12477,4.280884020671755,1232,0.06676933951530373
0.6796847500000002,160,87.38,41,13777,4.377654957092289,1888,0.18039631803549128
0.6449957500000001,170,95.74,51,15269,4.686298390789997,2632,0.12429704693204258
0.6208157500000002,180,97.09,59,16309,4.7625179402489906,3152,0.12819309253245592
0.5943804999999999,190,105.42,67,17446,5.117955601339155,3720,0.09092261269688606
0.5772452500000003,200,107.39,72,18183,5.181004561208661,4088,0.0516711343661882
0.5537859999999999,210,106.68,79,19192,5.049712455410265,4592,0.0917353596596513
0.5373249999999999,220,107.36,84,19900,4.973271144760913,4944,0.11336217375355773
0.5070535000000003,230,109.39,94,21202,4.952338058688883,5600,0.1358586143469438
0.4790605000000002,240,108.9,103,22406,4.828316878636487,6200,0.1162543321843259
0.46371549999999984,250,104.89,108,23066,4.629761314117099,6528,0.13780423114076257
0.43679200000000007,260,103.47,116,24224,4.468583991512697,7104,0.1715793227776885
0.4085897500000001,270,100.68,125,25437,4.369089717930094,7712,0.10128185764187947
