rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9662642499999999,1451,10,1,144.1,-6.847029474401305,,
0.9514772500000002,2087,20,2,103.35,-5.150087899210453,,
0.9390152500000001,2623,30,3,86.43333333333334,-4.332927102087438,,
0.9083485,3942,40,5,97.55,-4.719789876985826,,
0.885331,4932,50,6,97.64,-4.707075300892158,,
0.86256925,5911,60,8,97.51666666666667,-4.69820945158318,,
0.849154,6488,70,9,91.68571428571428,-4.376772770431182,,
0.8339485,7142,80,10,88.275,-4.280392873693685,,
0.82104475,7697,90,11,84.52222222222223,-4.083191082574337,,
0.8106520000000002,8144,100,12,80.44,-3.8574540705143368,,
0.7911685,8982,110,13,74.31,-3.569271049587733,,
0.7521085000000002,10662,120,19,84.75,-4.241977136398992,328,0.12832894269376993
0.7175357499999998,12149,130,30,94.26,-4.8500234030280005,1072,0.12849431741778972
0.69684325,13039,140,36,89.97,-4.770387410362092,1512,0.10089434547990095
0.6599222500000003,14627,150,48,95.95,-5.063900598177658,2312,0.17491651159798494
0.63079,15880,160,57,98.69,-5.142744212837267,2936,0.08425112001714297
0.60235525,17103,170,66,105.15,-5.445666898384397,3544,0.08329579803103115
0.5702237500000003,18485,180,76,112.43,-5.656008132722155,4240,0.04825040383730084
0.5506472499999999,19327,190,82,115.3,-5.75943792298576,4656,0.1133250908460468
0.5184460000000002,20712,200,92,124.68,-6.13982644378785,5352,0.04822453920496628
0.48354775000000016,22213,210,103,131.31,-6.452441897302613,6104,0.050234053283929825
0.4620647499999999,23137,220,110,123.75,-5.841566077119752,6568,0.08538670255802572
0.4293985000000001,24542,230,121,122.93,-5.580406446303909,7264,0.059148711850866675
0.41070550000000006,25346,240,127,122.07,-5.428918946775017,7672,0.07012804527767003
0.3818522499999999,26587,250,137,118.6,-5.247814060004242,8288,0.06997945817420259
0.3603924999999998,27510,260,144,115.3,-5.14666762719032,8752,0.08615354442736134
0.32579650000000027,28998,270,155,117.95,-5.336119719219232,9496,0.09465578966774046
0.3067315000000004,29818,280,162,112.33,-5.138681525312203,9904,0.07764515373855829
0.28645750000000025,30690,290,169,112.63,-5.161132098588403,10344,0.10461004974786192
