rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9803072500000001,847,10,0,83.7,3.810393830561762,,
0.9540115000000002,1978,20,2,97.9,4.812882501531537,,
0.9444790000000003,2388,30,2,78.6,3.7983925444051976,,
0.9122312500000002,3775,40,4,93.375,4.802606901216826,,
0.8905854999999998,4706,50,6,93.12,4.892954907618536,,
0.8779375,5250,60,6,86.5,4.479076899650029,,
0.8514790000000001,6388,70,8,90.25714285714285,4.723936880013616,,
0.8257180000000002,7496,80,10,92.7,4.963285858048884,,
0.8067925000000001,8310,90,12,91.33333333333333,4.950882627576806,,
0.7700575000000001,9890,100,14,97.9,5.419074909611014,,
0.7546427500000003,10553,110,18,96.06,5.3406096363489635,272,0.028663290744589176
0.7303697500000003,11597,120,25,95.19,5.269884117959366,792,0.11394839833883452
0.7063524999999999,12630,130,32,101.42,5.696595619376829,1312,0.0770854579131992
0.66485125,14415,140,45,105.4,5.961964955124569,2200,0.08988393098115921
0.624187,16164,150,57,113.58,6.295285892838248,3080,0.10713041939015966
0.5969380000000002,17336,160,65,119.86,6.603875424847445,3664,0.05891600545874098
0.5643414999999998,18738,170,76,122.5,6.647939341687703,4368,0.05116970473318361
0.5313730000000001,20156,180,86,125.6,6.627686031152159,5072,0.022461654734797776
0.5090065000000003,21118,190,93,127.08,6.538937562437785,5552,0.08372060139663517
0.4792930000000002,22396,200,102,124.06,6.083282535443841,6192,0.12824860686669126
0.4568102500000001,23363,210,109,127.1,6.172849087340848,6680,0.10601276095258072
0.42598075,24689,220,119,129.92,6.320721027715234,7344,0.1406867905461695
0.3878972500000003,26327,230,132,135.97,6.361783467388664,8160,0.059858952241484076
0.3591835000000001,27562,240,141,130.47,5.8571863560946245,8776,0.08189615097944625
0.3312137500000002,28765,250,150,125.01,5.539425590294022,9376,0.03658377629471943
0.3027092499999997,29991,260,159,125.55,5.53733006944202,9992,0.0947485743672587
0.27994750000000035,30970,270,167,121.32,5.366687892097483,10480,0.08140089159132913
0.24988525000000006,32263,280,177,120.07,5.305562598509589,11128,0.05334068473894149
0.23356375000000007,32965,290,183,117.47,5.235188000261704,11480,0.11999903217656538
0.20171125,34335,300,193,118.39,5.357468310429377,12160,0.08830670360475779
0.18464575000000027,35069,310,199,116.06,5.2807283866765315,12528,0.0904709393507801
0.15967525000000027,36143,320,207,113.54,5.071951659774919,13064,0.05354352598078549
0.13712275000000018,37113,330,215,106.86,4.870144485866442,13552,0.029700619605137035
0.12066175000000023,37821,340,220,101.59,4.620164635282112,13904,0.06476849393220618
0.09631900000000027,38868,350,228,100.03,4.487311218724828,14432,0.13532253977609798
0.07237150000000037,39898,360,236,98.07,4.412527976932898,14944,0.1685966404620558
0.07,40671,370,241,96.01,4.2859763869327425,15328,0.11875845619942993
0.07,41404,380,247,90.41,4.157538325147345,15696,0.11898064939305186
0.07,43013,390,260,99.48,4.575300568297431,16504,0.1969725190429017
0.07,44464,400,271,100.29,4.59414668534901,17224,0.11070078815100715
0.07,46089,410,283,109.2,4.996964722846387,18040,0.11361736431717873
0.07,47739,420,295,114.96,5.245487935598168,18864,0.10674568876856938
0.07,48223,430,299,110.1,5.006881319734214,19104,0.13670974946580827
0.07,49740,440,311,118.19,5.3283696174708055,19864,0.10457540093921125
0.07,51301,450,324,123.33,5.544585060706831,20648,0.11595436080824584
0.07,52757,460,335,127.59,5.708002874323374,21376,0.08940141036873683
0.07,54340,470,347,135.69,6.001920340710024,22168,0.12637592339888215
0.07,55138,480,354,136.34,5.86889526253479,22568,0.11812871799338609
0.07,56292,490,363,131.79,5.626207731630781,23144,0.1077554938965477
0.07,57272,500,371,127.08,5.4679766046662985,23632,0.10407196631422266
0.07,58559,510,380,123.7,5.32453429520255,24272,0.05260060291038826
0.07,59836,520,390,119.97,5.163687160706753,24912,0.11001417139777914
0.07,60455,530,395,121.32,5.214942818423133,25224,0.14041010104119778
0.07,61309,540,401,114.69,4.99609749192052,25648,0.1551162307150662
0.07,62216,550,408,108.15,4.742816241574887,26104,0.0642326059169136
0.07,62915,560,413,100.58,4.390393746818961,26456,0.08334763796301559
0.07,63759,570,420,93.19,4.092454865628419,26872,0.12467717047547922
0.07,64745,580,428,95.07,4.245352853567489,27368,0.098033967835363
0.07,65537,590,434,91.45,4.066435479520793,27768,0.11001586518250406
0.07,66062,600,438,86.9,3.7828984821321443,28024,0.13797087973216549
0.07,66955,610,444,82.96,3.5914155357121444,28472,0.08139127481263131
0.07,68009,620,452,80.73,3.522308590646174,29000,0.14220642461441457
0.07,68532,630,457,79.77,3.4842534424607714,29264,0.18177806783933192
0.07,69283,640,462,78.74,3.37099188901742,29640,0.1261060636024922
0.07,69899,650,467,75.83,3.2408508292954474,29944,0.15310060617048293
0.07,71231,660,478,82.16,3.4936122109074392,30608,0.2026869747787714
0.07,72207,670,486,83.48,3.518995480447026,31096,0.1545623496058397
0.07,73102,680,493,82.57,3.3635563089537266,31544,0.1365500029642135
0.07,73975,690,500,83.38,3.3778019318330883,31984,0.14178118365816772
0.07,75572,700,513,94.1,3.8936591318082954,32784,0.06652872636914253
0.07,77248,710,526,101.93,4.206013837816496,33616,0.17282832425553352
0.07,78421,720,534,103.12,4.203095479368546,34208,0.11479244247311726
