rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9870497499999998,54.7,10,0,557,2.579969079092931,,
0.9731927499999999,56.65,20,1,1153,2.5483595608270395,,
0.9558017500000001,62.36666666666667,30,2,1901,2.9040517691031984,,
0.93301675,71.025,40,3,2881,3.399398785476521,,
0.9164860000000001,70.84,50,4,3592,3.332829300706895,,
0.8923989999999997,76.13333333333334,60,6,4628,3.7524460525937733,,
0.8724737499999999,77.35714285714286,70,7,5485,3.946594051062237,,
0.8381800000000004,86.0,80,9,6960,4.433934150510169,,
0.8250670000000001,82.6,90,10,7524,4.215208744106577,,
0.7977250000000001,86.0,100,12,8700,4.333729295908234,,
0.7673604999999999,93.49,110,15,10006,4.7690861625508445,,
0.7552705000000003,92.73,120,18,10526,4.816465068166732,0.1422053231362952,256
0.7282075,96.89,130,27,11690,5.07854058618092,0.07641891977255,840
0.7031672500000001,97.86,140,34,12767,5.13056083550991,0.08630922118754825,1376
0.6708730000000003,104.64,150,44,14156,5.513197500436668,0.08731744995020563,2072
0.636556,109.04,160,55,15632,5.6054257813171775,0.02103961851389613,2808
0.6146545000000001,109.89,170,62,16574,5.449271634314285,0.07945962972007692,3280
0.58896325,106.19,180,70,17679,5.181828767284773,0.08139898513036314,3832
0.5725952500000002,107.59,190,75,18383,5.185789150882647,0.12222555308835581,4184
0.5449742499999999,107.71,200,84,19571,5.156623867019748,0.0725192813843023,4784
0.5273275,102.24,210,90,20330,4.793273014103406,0.19356658030301332,5160
0.5025430000000002,107.7,220,98,21396,4.964297510619077,0.06477059770259075,5696
0.48496600000000023,103.62,230,104,22152,4.628113230934377,0.14488673117011786,6072
0.456322,105.17,240,114,23384,4.557035582476617,0.07548492460045964,6688
0.43053774999999983,102.37,250,123,24493,4.346296273483312,0.09789377718698233,7240
0.4086362499999999,97.03,260,130,25435,4.083662084691168,0.1427039732807316,7712
0.3916637500000002,94.91,270,135,26165,4.034611786103282,0.11369759094668552,8080
0.3744820000000003,91.25,280,141,26904,3.8046336642527625,0.1269276638631709,8448
0.35206899999999997,93.85,290,149,27868,3.977162815532664,0.14844586793333292,8928
0.33160900000000015,90.77,300,156,28748,3.8328149252316335,0.10773454059381038,9368
0.31777524999999984,89.13,310,161,29343,3.7461086027586994,0.0956882408936508,9664
0.2970130000000001,87.4,320,168,30236,3.661469447702345,0.11120191711233929,10112
0.2667879999999999,92.84,330,178,31536,3.973807842094179,0.056727813149336725,10760
0.2346332499999999,94.35,340,189,32919,4.122394151582597,0.12421946646645665,11456
